instance,period,timestamp,instance_name,rules,user_count,note
pixelfed.art,sept-oct2022,20250425125214,pixelfed.art,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in United States, Canada or the EU""}, {""id"": ""6"", ""text"": ""No content that includes sexual depictions of minors (this includes loli)""}, {""id"": ""7"", ""text"": ""No posting other artist's work without credit AND analysis/opinion""}, {""id"": ""8"", ""text"": ""No AI generated art""}, {""id"": ""9"", ""text"": ""No follow or hashtag spam""}]",9264,available-blue-dot
mastodon.insa.lol,sept-oct2022,20250613220859,Mastodon,"[{""id"": ""1"", ""text"": ""Pas de racisme"", ""hint"": """"}, {""id"": ""2"", ""text"": ""Pas de sexisme"", ""hint"": """"}, {""id"": ""3"", ""text"": ""Pas d'harcèlement "", ""hint"": """"}]",1677,available-blue-dot
mastodon.juggler.jp,sept-oct2022,20230525205429,juggler.jp Mastodon サービス,"[{""id"": ""1"", ""text"": ""日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。""}, {""id"": ""3"", ""text"": ""(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。""}, {""id"": ""4"", ""text"": ""サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。\r\n""}, {""id"": ""7"", ""text"": ""(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。""}, {""id"": ""8"", ""text"": ""公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。""}, {""id"": ""10"", ""text"": ""年齢が14歳未満のユーザはこのサーバを利用できません。""}]",1811,available-blue-dot
tilde.zone,sept-oct2022,20221123043127,tilde.zone,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No fascism, racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in Germany""}, {""id"": ""6"", ""text"": ""Do not share intentionally false or misleading information""}, {""id"": ""7"", ""text"": ""No cryptocurrencies or NFTs""}, {""id"": ""8"", ""text"": ""You must be at least 13 years of age to register here""}]",1421,available-blue-dot
lor.sh,sept-oct2022,,,null,,no valid snapshot Jan-Feb 2023
sciences.social,sept-oct2022,20221107235910,sciences.social,"[{""id"": ""5"", ""text"": ""Treat people with respect. ""}, {""id"": ""4"", ""text"": ""Use your real name and be yourself. Your real world reputation is valuable here and your reputation here is valuable in the real world.""}, {""id"": ""6"", ""text"": ""No sexism, racism, homophobia or transphobia or abusive behavior""}, {""id"": ""7"", ""text"": ""Use content warnings for \""off-topic\"" posts including rants and non-academic political or election content.""}]",357,available-blue-dot
astrodon.social,sept-oct2022,20221107235909,Astrodon - The Astro Community,"[{""id"": ""1"", ""text"": ""No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.""}, {""id"": ""3"", ""text"": ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services.""}, {""id"": ""2"", ""text"": ""Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.""}, {""id"": ""5"", ""text"": ""No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.""}, {""id"": ""4"", ""text"": ""Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original. ""}, {""id"": ""6"", ""text"": ""No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)""}, {""id"": ""7"", ""text"": ""Use content warnings to help keep this a stress-free community. Consider marking off-topic content as sensitive to allow other community members to engage with it or not. Triggering content (see below) must be marked as sensitive.""}]",804,available-blue-dot
flipboard.social,sept-oct2022,20250422163137,Flipboard,"[{""id"": ""6"", ""text"": ""This instance is part of Flipboard and adheres to the same Community Guidelines. You can read them here https://about.flipboard.com/community-guidelines/"", ""hint"": """"}, {""id"": ""7"", ""text"": ""Keep this instance safe, respectful, and fun by not violating the rules."", ""hint"": """"}, {""id"": ""8"", ""text"": ""Consider how your post might impact others - if it might be received as offensive, painful, or otherwise unwanted, please use a content warning (CW.)"", ""hint"": """"}, {""id"": ""34"", ""text"": ""Misgendering, deadnaming, or promotion of so-called \""conversion therapy\"" is prohibited."", ""hint"": """"}]",7331,available-blue-dot
101010.pl,sept-oct2022,20221106161944,101010.pl,"[{""id"": ""2"", ""text"": ""101010.pl jest instancją udostępnioną dla wszystkich dążących do swobodnego przepływu wiadomości, wiedzy, opinii, sztuki i żartów. Nasz serwer i społeczność są do Twojej dyspozycji. Czytaj, pisz, uczestnicz i rozwijaj się wraz z nami. Jako serwer krajowy preferujemy język polski, lub angielski.""}, {""id"": ""3"", ""text"": ""Administracja 101010.pl zachowuje neutralność światopoglądową i promuje wolność słowa. Wierzymy, że sieć jest miejscem dialogu pozwalającym na wymianę różnorodnych poglądów.""}, {""id"": ""4"", ""text"": ""Masz prawo do własnego zdania. Możesz mieć lewicowe, prawicowe albo centrowe poglądy polityczne. Możesz wyznawać dowolną wiarę, albo być ateistą. Możesz reprezentować dowolną orientację seksualną.""}, {""id"": ""5"", ""text"": ""Twoje prawo do wolności to jednocześnie obowiązek. Szanuj innych, jako ludzi, nawet jeśli nie podzielasz i nie szanujesz ich poglądów. Nie agituj nachalnie, dyskutuj korzystając z argumentów i uznając prawo innych do posiadania własnego zdania.""}, {""id"": ""6"", ""text"": ""Szanuj prawo do prywatności. Pamiętaj, że nie każdy musi się z Tobą zgadzać, możesz spotkać się z krytyką. Krytyka nie jest tożsama z nietolerancją. Na tym polega wolność.""}, {""id"": ""7"", ""text"": ""Nie zostaniesz zbanowany za poglądy, ale musisz stosować się do kilku zawartych tutaj zasad. Nie bądź agresywny, nie obrażaj innych i nie groź im. Erotykę i inne treści przeznaczone dla dorosłych wstawiaj, jako treść ukrytą (przycisk CW).""}, {""id"": ""8"", ""text"": ""Powstrzymaj się od agresywnej reklamy (produktów, polityków, ideologii i czegokolwiek innego). Publikuj wyłącznie treści legalne i przestrzegaj prawa (w tym prawa lokalizacji serwera, czyli polskiego). Łamiąc prawo wyrażasz zgodę na wzięcie na siebie za to pełnej odpowiedzialności.""}]",2848,available-blue-dot
c.im,sept-oct2022,20230101141105,C.IM,"[{""id"": ""11"", ""text"": ""Respect the laws of Germany and the Isle of Man, including those related to hate speech and defamation.""}, {""id"": ""12"", ""text"": ""Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final. ""}, {""id"": ""13"", ""text"": ""The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.""}, {""id"": ""14"", ""text"": ""Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.""}, {""id"": ""15"", ""text"": ""Do not harass or bully other users.""}, {""id"": ""16"", ""text"": ""Do not share illegal or copyrighted content.""}, {""id"": ""17"", ""text"": ""Do not spam or engage in any form of malicious activity.""}, {""id"": ""18"", ""text"": ""Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.""}, {""id"": ""19"", ""text"": ""Do not reveal personal information about other people without their consent.""}, {""id"": ""20"", ""text"": ""Use appropriate tags and content warnings when posting potentially sensitive or triggering content.""}, {""id"": ""21"", ""text"": ""If you see a violation of these rules, report it to the moderation team.""}, {""id"": ""22"", ""text"": ""To use our service, you are at least 18 years old.""}]",61784,available-blue-dot
piaille.fr,sept-oct2022,20231204082220,Piaille,"[{""id"": ""1"", ""text"": ""Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).""}, {""id"": ""2"", ""text"": ""La nudité, les contenus érotiques, pornographiques ou visiblement violents doivent être marqués avec le drapeau \""sensible / sensitive\"". Les comptes ne respectant pas cette règle seront supprimés\r\n""}, {""id"": ""3"", ""text"": ""La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation.""}, {""id"": ""4"", ""text"": ""Approchez les personnes avec précaution et politesse. Si une personne vous demande d'arrêter de la mentionner ou qu'elle exprime ne plus vouloir participer à une discussion, arrêtez immédiatement.""}, {""id"": ""5"", ""text"": ""Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes, psychophobes ou transphobes.\r\n""}, {""id"": ""6"", ""text"": ""Sont interdits les avances ou propositions à caractères sexuels non-sollicitées.\r\n""}, {""id"": ""7"", ""text"": ""Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.\r\n""}, {""id"": ""8"", ""text"": ""Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.\r\n""}, {""id"": ""9"", ""text"": ""Il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction. Cela peut être considéré comme du harcèlement, indépendamment de la confidentialité employée.\r\n""}, {""id"": ""10"", ""text"": ""Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».\r\n""}, {""id"": ""11"", ""text"": ""Il est interdit de publier ou diffuser intentionnellement des propos diffamatoires, calomnieux, ainsi que toute désinformation avec intention de tromper (le gorafi ou the onion sont donc autorisés). Les profils satiriques doivent être indiqués comme tels dans leur nom et description publique.\r\n""}]",28577,available-blue-dot
bae.st,sept-oct2022,20220908000321,Baest,[],2824,available-blue-dot
me.pptry.info,sept-oct2022,20250717154153,me.pptry.info,"[{""id"": ""3"", ""text"": ""他人に対して礼儀正しく、敬意を持って接しましょう。""}, {""id"": ""4"", ""text"": ""差別、暴力、嫌がらせをしてはいけません。日本法に触れるコンテンツや、他人の個人情報を無断で共有してはいけません。""}, {""id"": ""5"", ""text"": ""未成年に不適切なコンテンツの共有はできません。必要に応じて、警告ラベル（CW = Content Warning、NSFW = Not Safe For Work）をつけてください。""}, {""id"": ""6"", ""text"": ""スパム（迷惑行為）はいかなる形態でも禁止します。""}]",4,available-blue-dot
autonomous.zone,sept-oct2022,20230521002618,a federated autonomous zone,"[{""id"": ""2"", ""text"": ""    This server is antifa""}, {""id"": ""3"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism""}, {""id"": ""4"", ""text"": ""This server is anti-capitalist""}, {""id"": ""5"", ""text"": ""Respect the consent of others, no harassment""}, {""id"": ""6"", ""text"": ""No borders, no nations""}, {""id"": ""7"", ""text"": ""Community fridges for all!""}, {""id"": ""8"", ""text"": ""The use of image descriptions and content warnings is greatly appreciated""}]",68,available-blue-dot
med-mastodon.com,sept-oct2022,20221107235909,Med-Mastodon,"[{""id"": ""2"", ""text"": ""No hate speech""}, {""id"": ""3"", ""text"": ""No blatant misinformation""}, {""id"": ""4"", ""text"": ""No PHI""}]",1444,available-blue-dot
functional.cafe,sept-oct2022,20250226195629,Functional Café,"[{""id"": ""1"", ""text"": ""Be friendly, be respectful, stay on-topic and avoid derailing discussions."", ""hint"": """"}, {""id"": ""2"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting."", ""hint"": """"}, {""id"": ""3"", ""text"": ""No spam or advertising."", ""hint"": """"}, {""id"": ""4"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism."", ""hint"": """"}, {""id"": ""5"", ""text"": ""No incitement of violence or promotion of violent ideologies."", ""hint"": """"}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users on any instance."", ""hint"": """"}, {""id"": ""7"", ""text"": ""No illegal content."", ""hint"": """"}, {""id"": ""8"", ""text"": ""No spreading of fake news or misinformation."", ""hint"": """"}, {""id"": ""9"", ""text"": ""Off-topic toots should have a CW (content warning) description.\r\n\r\nWhile we encourage this behavior, please note that we will not actively seek out untagged toots."", ""hint"": """"}]",828,available-blue-dot
pol.social,sept-oct2022,20240502054309,Pol.social,"[{""id"": ""1"", ""text"": ""Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.""}, {""id"": ""2"", ""text"": ""Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.""}]",7102,available-blue-dot
cupoftea.social,sept-oct2022,20230201131308,CupOfTea.Social,"[{""id"": ""1"", ""text"": ""Be Respectful, Content that is racist, sexist, hateful, nasty or discriminatory is not welcome.""}, {""id"": ""2"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""Sexually explicit ,violent  or sensitive media must be marked as such when posting\r\n""}, {""id"": ""5"", ""text"": ""No spam , Porn or S**t Posting, Its just not for this server ""}, {""id"": ""6"", ""text"": ""No accounts setup purely to sell something / Fake Engagement (Such As Investments/NFT/Cryptos/Wealth stuff) ""}]",4080,available-blue-dot
merveilles.town,sept-oct2022,20231113064604,Merveilles,"[{""id"": ""11"", ""text"": ""One must respect the Code of Conduct.""}, {""id"": ""12"", ""text"": ""One must remember the Three Gates Of Speech.\r\n""}, {""id"": ""13"", ""text"": ""One must wear a Black & White avatar.\r\n""}, {""id"": ""14"", ""text"": ""Please read through the rest of this extended about page for more information.""}]",646,available-blue-dot
cosocial.ca,sept-oct2022,,,null,,no valid snapshot Jan-Feb 2023
woof.group,sept-oct2022,20250529025037,woof.group,"[{""id"": ""1"", ""text"": ""Be kind!"", ""hint"": """"}, {""id"": ""2"", ""text"": ""If it'd be fine in a bar or public leather event space, it doesn't need a flag here. Use sensitive media flags or content warnings for things you'd take to the back bar or a private room. "", ""hint"": """"}, {""id"": ""3"", ""text"": ""We're trans-inclusive, body-positive, and anti-racist here."", ""hint"": """"}, {""id"": ""4"", ""text"": ""You must be over 18 years of age."", ""hint"": """"}, {""id"": ""5"", ""text"": ""You must have the legal rights to any content you post."", ""hint"": """"}, {""id"": ""6"", ""text"": ""When you apply, tell us a bit about your connection to queer leather/kink/BDSM."", ""hint"": """"}]",2853,available-blue-dot
uuchten.lu,sept-oct2022,20220926222905,uuchten.lu,"[{""id"": ""1"", ""text"": ""Op dësem Server sinn onerwënscht:\r\n\r\n- Duerstellunge vu Gewalt,\r\n- Opruff zu Hass\r\n- Diskriminéierung\r\n- Fakenews\r\n\r\nDës Lëscht ass net ofgeschloss a wiisst mat der Phantasie vun de BenotzerInnen.""}]",2,cdx-window
g0v.social,sept-oct2022,20230323092203,g0v.social,"[{""id"": ""1"", ""text"": ""https://g0v.social/terms""}, {""id"": ""4"", ""text"": ""遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC""}, {""id"": ""5"", ""text"": ""閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/\r\n""}, {""id"": ""12"", ""text"": ""Taiwan is a country""}, {""id"": ""13"", ""text"": ""閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320""}, {""id"": ""16"", ""text"": ""多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw""}]",7245,available-blue-dot
social.opensource.org,sept-oct2022,20230302230912,OSI Mastodon,"[{""id"": ""1"", ""text"": ""All posts carried by this server must abide by OSI's Code of Conduct at https://opensource.org/codeofconduct/""}, {""id"": ""2"", ""text"": ""Posts are carried at the absolute discretion of the OSI Executive Director who will remove any post that is considered against the code of conduct or is considered inappropriate and/or suspend access for any user and/or any server.""}]",3,available-blue-dot
oslo.town,sept-oct2022,20230727080154,Ditt lokale sosiale nettverk — oslo.town,"[{""id"": ""7"", ""text"": ""Treat people with kindness 💖 🏳️‍🌈""}, {""id"": ""10"", ""text"": ""No racism, homophobia, xenophobia, sexism, discrimination, nazis. 🛑""}, {""id"": ""12"", ""text"": ""Report bad or suspicious activity ⚠️  Use the block button when needed 🚫  Try not to argue with other members 😡""}, {""id"": ""19"", ""text"": ""Use a Content Warning (CW) when posting sexual, graphic, and potentially triggering subject matters 🫣""}, {""id"": ""20"", ""text"": ""Think carefully before sharing personal information 🔐 ""}, {""id"": ""21"", ""text"": ""No robots 🤖 ""}]",2229,available-blue-dot
digitalcourage.social,sept-oct2022,,,null,,no valid snapshot Jan-Feb 2023
sciencemastodon.com,sept-oct2022,20221107235909,Science Mastodon,"[{""id"": ""6"", ""text"": ""Please be as kind, polite, and understanding as you would be in a cocktail party of friends and strangers. Harassment, racism, bullying will get you shown to the door.""}, {""id"": ""2"", ""text"": ""Users may not be anonymous, at least while this site is in its infancy. ""}, {""id"": ""4"", ""text"": ""Users should be scientists or journalists. ""}, {""id"": ""5"", ""text"": ""If your application is rejected, please see rules 2 and/or 3.""}]",194,available-blue-dot
mastodon.gamedev.place,sept-oct2022,20240103092320,Gamedev Mastodon,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in EU""}, {""id"": ""6"", ""text"": ""Do not share intentionally false or misleading information""}]",30276,available-blue-dot
social.treehouse.systems,sept-oct2022,20221017060435,Treehouse Mastodon,"[{""id"": ""1"", ""text"": ""NSFW content (you know what this is) must be posted behind a content warning.  Anything else where a content warning makes reasonable sense should probably have one.""}, {""id"": ""3"", ""text"": ""Respect people's boundaries, if you don't, you will be banned.  We have a zero-tolerance policy.""}, {""id"": ""4"", ""text"": ""Doxing will not be tolerated.  Again, zero-tolerance policy and all that.""}, {""id"": ""5"", ""text"": ""Office politics stay at the office.  Some of us don't want to talk about work all the time.""}]",86,cdx-window
social.mikutter.hachune.net,sept-oct2022,20221020153255,mikutter,"[{""id"": ""1"", ""text"": ""えあい""}, {""id"": ""2"", ""text"": ""みたらしだんご""}, {""id"": ""3"", ""text"": ""kb10uy""}]",420,cdx-window
mastodon.math.unipd.it,sept-oct2022,,,null,,no valid snapshot Jan-Feb 2023
journa.host,sept-oct2022,20230624145043,Mastodon,"[{""id"": ""9"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting.""}, {""id"": ""10"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism.""}, {""id"": ""11"", ""text"": ""No incitement of violence or promotion of violent ideologies.""}, {""id"": ""12"", ""text"": ""No harassment of or dogpiling other users.""}, {""id"": ""13"", ""text"": ""Do not share intentionally false or misleading information.""}, {""id"": ""14"", ""text"": ""This is a server for journalists. If you are not a journalist, please look to one of the many other servers that exist. There are HUNDREDS you can find: https://joinmastodon.org/servers or https://instances.social/.""}, {""id"": ""16"", ""text"": ""No ad hominem attacks. Don’t discredit someone because of who they are. ""}, {""id"": ""17"", ""text"": ""Do not propagate misinformation or disinformation. ""}, {""id"": ""19"", ""text"": ""Don’t harass anyone, especially the moderators. Harassment can be difficult to define fully, but any sort of slurs or prejudicial comments based on identity will be removed. Repeated harassment will prompt a suspension.""}, {""id"": ""20"", ""text"": ""Do not encourage violence, either implicitly or explicitly.""}, {""id"": ""21"", ""text"": ""Hate speech is not tolerated. This includes racism, misogyny, transphobia, homophobia and religious intolerance such as anti-semitism. This list is illustrative but not exhaustive. ""}]",3003,available-blue-dot
kommentakerfid.is,sept-oct2022,20240919145213,Kommentakerfið - Vertu virkur!,"[{""id"": ""1"", ""text"": ""Enginn hatursáróður\r\n\r\nÞað er bannað að vera með eða endurbirta hatursáróður. Dæmi: rasismi, transfóbía""}, {""id"": ""2"", ""text"": ""Innihaldsviðvörun (CW) á nekt\r\n\r\nSetjið innihaldsviðvörun á nekt. Auðvitað geta verið undantekningar þannig að þið notið dómgreindina.""}, {""id"": ""3"", ""text"": ""Crypto (Bitcoin, NFT og þess háttar)\r\n\r\nFarið varlega þegar þið deilið efni sem fjallar um Crypto af því það er mikið um vafasamar fullyrðingar og tilboð.""}, {""id"": ""4"", ""text"": ""Ofbeldi og fólk í neyð\r\n\r\nNotið innihaldsviðvaranir á efni sem inniheldur ofbeldi. Ekki deila myndum af fólki í neyð ef líkur eru á því að það vilji ekki að slíkt efni fari í dreifingu.""}, {""id"": ""5"", ""text"": ""Engar falsfréttir\r\n\r\nEkki deila tenglum á falsfréttamiðla (þó allir geri stundum mistök í að meta slíkt).""}, {""id"": ""6"", ""text"": ""Breytingar á færslum\r\n\r\nÞað er mögulegt að breyta færslum á Mastodon. Vinsamlegast farið varlega í að breyta færslum sem þegar eru komnar í dreifingu (og búnar að fá endurbirtingar). Sumsé, ekki breyta færslum á villandi hátt þannig að meining þeirra breytist.""}]",20,available-blue-dot
pixelfed.fr,sept-oct2022,20250710073801,Pixelfed,"[{""id"": ""1"", ""text"": ""Pas de diffusion des idées d’extrême droite""}, {""id"": ""2"", ""text"": ""Pas de racisme""}, {""id"": ""3"", ""text"": ""Pas de xénophobie en général""}, {""id"": ""4"", ""text"": ""Pas de confusionnisme""}, {""id"": ""5"", ""text"": ""Utilisation du CW pour la nudité ou la pornographie""}, {""id"": ""6"", ""text"": ""Pas de spam""}, {""id"": ""7"", ""text"": ""Principalement francophone""}, {""id"": ""8"", ""text"": ""Discussions dans le respect des autres utilisateurs""}, {""id"": ""9"", ""text"": ""Pas d'intelligence artificielle""}]",11707,available-blue-dot
veganism.social,sept-oct2022,20240218215217,Veganism Social,"[{""id"": ""25"", ""text"": ""No speciesism, animal abuse, carnists, omnivores, vegetarians, or other non-vegans""}, {""id"": ""26"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""27"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, fatphobia, or casteism""}, {""id"": ""28"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""29"", ""text"": ""No harassment or doxxing of other users""}, {""id"": ""30"", ""text"": ""Do not share intentionally false or misleading information""}]",2891,available-blue-dot
podcastindex.social,sept-oct2022,20230117140452,PodcastIndex Social,"[{""id"": ""1"", ""text"": ""Not for promotion of podcasts. ""}]",1299,available-blue-dot
