instance,rule_preelon,GPT category preelon,rule_postelon2023,GPT category postelon2023,rule_postelon2024,GPT category postelon2024
furry.engineer,"['Rule #1 – No illegal content or conduct. Content or conduct that is illegal in the United States is strictly prohibited.', 'Rule #2 – Racism, sexism, homophobia, transphobia, and other discrimination is prohibited. Users who engage in such conduct are not welcome on our platform.', 'Rule #3 – Don’t stalk or harass other users. Respect other users of our service and other federated instances.', 'Rule #4 – Misinformation and deceptive content is prohibited. Misinformation, scams, Ponzi schemes, and other deceptive tactics have become rampant on other platforms and we don’t want to see a resurgence of it in the Fediverse.', 'Rule #5 – Content warnings (CW) are required for NSFW content, political discussion and debate, religious promotion and debate, and drug mentions.', ""Rule #5.2 – Don't put polarizing, graphic, or sensitive content in the content warning (CW) description."", 'Rule #6 – Respect the service. Spam and advertising is not acceptable, but friendly automated bots are welcome.', 'Rule #7 – Use the report system. If a user or instance is breaking the rules, we recommend just reporting the content and not engaging.', 'Rule #8.1 – Account / post language identification. We require that all posts are properly marked with the language used, which can be done at the account level through the account preferences page, or per-post by clicking the language button next to “CW” (Content Warning).', 'Rule #8.2 – Misleading or deceptive impersonation. You may not impersonate an individual, group, or organization with the intent to deceive, confuse, and exploit other users. Parody accounts should tag themselves clearly in their profile description.', 'Rule #8.3 – Bot accounts must mark themselves as a bot and must post using “Unlisted”, “Followers only”, or “Mentioned people only”, so we can keep the local and federated timelines clear and focused on users.', 'Rule #8.4 – No brand or government-affiliated account may be registered on Pawb.Social services without prior written and publicly recorded approval, except furry fandom-operated brands and events covered by the exception in our full rules.', 'Rule #8.5 – If you have been suspended from any Pawb.Social instance, you may not create another account on any of our services.', 'Rule #8.6 – All avatars and header images must not contain any content that is prohibited by any other rule in the Code of Conduct, especially content that requires a Content Warning (CW).', 'The full Code of Conduct can be found at https://docs.google.com/document/d/1jXkulJKMWEmv-cb_jaYkG2L0sTcZeHKdcqwImNkf6Ko – Some rules and wording listed here have been summarized for brevity.']","{'Illegal Content': 1, 'Hate Speech': 1, 'Harassment': 1, 'Mis/Disinformation/Conspiracy': 1, 'Content Warnings, NSFW': 1, 'Content Warnings': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Not Applicable': 1, 'Off-topic/topic specific, Content Warnings': 1, 'Impersonation': 1, 'Automated tools, Links & Outside Content': 1, 'Advertising & Commercialization, Impersonation': 1, 'A: Impersonation': 1, 'Images, Content Warnings': 1, 'Links & Outside Content': 1}","['Rule #1 – No illegal content or conduct. Content or conduct that is illegal in the United States is strictly prohibited.', 'Rule #2 – Racism, sexism, homophobia, transphobia, and other discrimination is prohibited. Users who engage in such conduct are not welcome on our platform.', 'Rule #3 – Don’t stalk or harass other users. Respect other users of our service and other federated instances.', 'Rule #4 – Misinformation and deceptive content is prohibited. Misinformation, scams, Ponzi schemes, and other deceptive tactics have become rampant on other platforms and we don’t want to see a resurgence of it in the Fediverse.', 'Rule #5 – Content warnings (CW) are required for NSFW content, political discussion and debate, religious promotion and debate, and drug mentions.', ""Rule #5.2 – Don't put polarizing, graphic, or sensitive content in the content warning (CW) description."", 'Rule #6 – Respect the service. Spam and advertising is not acceptable, but friendly automated bots are welcome.', 'Rule #7 – Use the report system. If a user or instance is breaking the rules, we recommend just reporting the content and not engaging.', 'Rule #8.1 – Account / post language identification. We require that all posts are properly marked with the language used, which can be done at the account level through the account preferences page, or per-post by clicking the language button next to “CW” (Content Warning).', 'Rule #8.2 – Misleading or deceptive impersonation. You may not impersonate an individual, group, or organization with the intent to deceive, confuse, and exploit other users. Parody accounts should tag themselves clearly in their profile description.', 'Rule #8.3 – Bot accounts must mark themselves as a bot and must post using “Unlisted”, “Followers only”, or “Mentioned people only”, so we can keep the local and federated timelines clear and focused on users.', 'Rule #8.4 – No brand or government-affiliated account may be registered on Pawb.Social services without prior written and publicly recorded approval, except furry fandom-operated brands and events covered by the exception in our full rules.', 'Rule #8.5 – If you have been suspended from any Pawb.Social instance, you may not create another account on any of our services.', 'Rule #8.6 – All avatars and header images must not contain any content that is prohibited by any other rule in the Code of Conduct, especially content that requires a Content Warning (CW).', 'The full Code of Conduct can be found at https://docs.google.com/document/d/1jXkulJKMWEmv-cb_jaYkG2L0sTcZeHKdcqwImNkf6Ko – Some rules and wording listed here have been summarized for brevity.']","{'Illegal Content': 1, 'Hate Speech': 1, 'Harassment': 1, 'Mis/Disinformation/Conspiracy': 1, 'Content Warnings, NSFW': 1, 'Content Warnings': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Not Applicable': 1, 'Links & Outside Content, Content Warnings': 1, 'Impersonation': 1, 'Automated tools': 1, 'Advertising & Commercialization, Impersonation': 1, 'A: Impersonation': 1, 'Images, Content Warnings': 1, 'Links & Outside Content': 1}","['Rule #1 – No illegal content or conduct. Content or conduct that is illegal in the United States is strictly prohibited.', 'Rule #2 – Racism, sexism, homophobia, transphobia, and other discrimination is prohibited. Users who engage in such conduct are not welcome on our platform.', 'Rule #3 – Don’t stalk or harass other users. Respect other users of our service and other federated instances.', 'Rule #4 – Misinformation and deceptive content is prohibited. Misinformation, scams, Ponzi schemes, and other deceptive tactics have become rampant on other platforms and we don’t want to see a resurgence of it in the Fediverse.', 'Rule #5 – Content warnings (CW) are required for NSFW content, political discussion and debate, religious promotion and debate, and drug mentions.', ""Rule #5.2 – Don't put polarizing, graphic, or sensitive content in the content warning (CW) description."", 'Rule #6 – Respect the service. Spam and advertising is not acceptable, but friendly automated bots are welcome.', 'Rule #7 – Use the report system. If a user or instance is breaking the rules, we recommend just reporting the content and not engaging.', 'Rule #8.1 – Account / post language identification. We require that all posts are properly marked with the language used, which can be done at the account level through the account preferences page, or per-post by clicking the language button next to “CW” (Content Warning).', 'Rule #8.2 – Misleading or deceptive impersonation. You may not impersonate an individual, group, or organization with the intent to deceive, confuse, and exploit other users. Parody accounts should tag themselves clearly in their profile description.', 'Rule #8.3 – Bot accounts must mark themselves as a bot and must post using “Unlisted”, “Followers only”, or “Mentioned people only”, so we can keep the local and federated timelines clear and focused on users.', 'Rule #8.4 – No brand or government-affiliated account may be registered on Pawb.Social services without prior written and publicly recorded approval, except furry fandom-operated brands and events covered by the exception in our full rules.', 'Rule #8.5 – If you have been suspended from any Pawb.Social instance, you may not create another account on any of our services.', 'Rule #8.6 – All avatars and header images must not contain any content that is prohibited by any other rule in the Code of Conduct, especially content that requires a Content Warning (CW).', 'The full Code of Conduct can be found at https://docs.google.com/document/d/1jXkulJKMWEmv-cb_jaYkG2L0sTcZeHKdcqwImNkf6Ko – Some rules and wording listed here have been summarized for brevity.']","{'Illegal Content': 1, 'Hate Speech': 1, 'Harassment': 1, 'Mis/Disinformation/Conspiracy': 1, 'NSFW, Content Warnings': 1, 'Content Warnings': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Not Applicable': 1, 'Off-topic/topic specific, Content Warnings': 1, 'Impersonation': 1, 'Automated tools': 1, 'Advertising & Commercialization, Impersonation': 1, 'A: Impersonation': 1, 'Images, Content Warnings': 1, 'Links & Outside Content': 1}"
g0v.social,"['https://g0v.social/terms', '遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC', '閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/', 'Taiwan is a country', '閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320', '多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw']","{'Links & Outside Content': 3, 'Not Applicable': 1, 'Mis/Disinformation/Conspiracy': 1, 'Off-topic/topic specific': 1}","['https://g0v.social/terms', '遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC', '閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/', 'Taiwan is a country', '閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320', '多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw']","{'Links & Outside Content': 3, 'A: Links & Outside Content': 1, 'Mis/Disinformation/Conspiracy': 1, 'A: Not Applicable': 1}",[nan],{'Not Applicable': 1}
genomic.social,"['Be kind to each other.', 'No sexually explicit images or video', 'No incitement of violence or promotion of violent ideologies', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No illegal content', 'No harassment, dogpiling or doxxing of other users. This includes private harassment.', 'No intentionally false or misleading information', 'No abuse or manipulation of the server instance']","{'Not Applicable': 1, 'NSFW, Images': 1, 'Incitement of Violence': 1, 'Hate Speech': 1, 'Illegal Content': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Automated tools, Harassment': 1}","['Be kind to each other.', 'No sexually explicit images or video', 'No incitement of violence or promotion of violent ideologies', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No illegal content', 'No harassment, dogpiling or doxxing of other users. This includes private harassment.', 'No intentionally false or misleading information', 'No abuse or manipulation of the server instance']","{'Not Applicable': 1, 'NSFW, Images': 1, 'Incitement of Violence': 1, 'Hate Speech': 1, 'Illegal Content': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Harassment, Automated tools': 1}",[nan],{'Not Applicable': 1}
h4.io,"['Soyez respectueux, civils et accueillants.', 'Votre contenu doit être en français pour préserver une cohérence des fils et faciliter la modération.', 'Nous n\'autorisons pas le cross-postage (se référer à la page ""À propos"" pour plus d\'explication).', 'Ne rejoignez pas h4 simplement pour promouvoir un contenu en le spammant.', 'La désinformation vérifiable est proscrite.', 'Les propos illégaux (racistes, homophobes, transphobes, sexistes) sont proscrits.', 'Les propos discriminants, incitants à la violence ou contribuant au harcèlement sont proscrits.', 'Les tentatives de retournement d\'oppressions systémiques (""racisme anti-blanc, sexisme anti-homme, hétérophobie, cisphobie, etc) sont proscrites.', 'Les contenus répréhensibles par la loi française sont proscrits.', ""Les contenus pornographiques ne sont pas autorisés sur la plateforme puisque nous n'avons pas la capacité d'en assurer la provenance éthique et légale."", 'Les contenus érotiques (ou explicites et personnel) sont autorisés mais doivent avoir un avertissement de contenu pour ne pas les imposer à la communauté.']","{'Not Applicable': 1, 'Off-topic/topic specific': 1, 'Reposting/Crossposting': 1, 'A: Advertising & Commercialization, Spam': 1, 'Mis/Disinformation/Conspiracy': 1, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Incitement of Violence, Harassment': 1, 'Hate Speech': 1, 'Illegal Content': 1, 'NSFW, Illegal Content': 1, 'A: NSFW, Content Warnings': 1}","['Soyez respectueux, civils et accueillants.', 'Votre contenu doit être en français pour préserver une cohérence des fils et faciliter la modération.', 'Nous n\'autorisons pas le cross-postage (se référer à la page ""À propos"" pour plus d\'explication).', 'Ne rejoignez pas h4 simplement pour promouvoir un contenu en le spammant.', 'La désinformation vérifiable est proscrite.', 'Les propos illégaux (racistes, homophobes, transphobes, sexistes) sont proscrits.', 'Les propos discriminants, incitants à la violence ou contribuant au harcèlement sont proscrits.', 'Les tentatives de retournement d\'oppressions systémiques (""racisme anti-blanc, sexisme anti-homme, hétérophobie, cisphobie, etc) sont proscrites.', 'Les contenus répréhensibles par la loi française sont proscrits.', ""Les contenus pornographiques ne sont pas autorisés sur la plateforme puisque nous n'avons pas la capacité d'en assurer la provenance éthique et légale."", 'Les contenus érotiques (ou explicites et personnel) sont autorisés mais doivent avoir un avertissement de contenu pour ne pas les imposer à la communauté.']","{'Not Applicable': 1, 'A: Off-topic/topic specific': 1, 'Reposting/Crossposting': 1, 'Advertising & Commercialization, Spam': 1, 'Mis/Disinformation/Conspiracy': 1, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Incitement of Violence, Harassment': 1, 'Hate Speech': 1, 'Illegal Content': 1, 'NSFW, Illegal Content': 1, 'A: NSFW, Content Warnings': 1}","['Soyez respectueux, civils et accueillants.', 'Votre contenu doit être en français pour préserver une cohérence des fils et faciliter la modération.', 'Nous n\'autorisons pas le cross-postage (se référer à la page ""À propos"" pour plus d\'explication).', 'Ne rejoignez pas h4 simplement pour promouvoir un contenu en le spammant.', 'La désinformation vérifiable est proscrite.', 'Les propos illégaux (racistes, homophobes, transphobes, sexistes) sont proscrits.', 'Les propos discriminants, incitants à la violence ou contribuant au harcèlement sont proscrits.', 'Les tentatives de retournement d\'oppressions systémiques (""racisme anti-blanc, sexisme anti-homme, hétérophobie, cisphobie, etc) sont proscrites.', 'Les contenus répréhensibles par la loi française sont proscrits.', ""Les contenus pornographiques ne sont pas autorisés sur la plateforme puisque nous n'avons pas la capacité d'en assurer la provenance éthique et légale."", 'Les contenus érotiques (ou explicites et personnel) sont autorisés mais doivent avoir un avertissement de contenu pour ne pas les imposer à la communauté.']","{'A: Not Applicable': 1, 'Off-topic/topic specific': 1, 'Reposting/Crossposting': 1, 'A: Advertising & Commercialization, Spam': 1, 'Mis/Disinformation/Conspiracy': 1, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Incitement of Violence, Harassment': 1, 'Hate Speech': 1, 'A: Illegal Content': 1, 'NSFW, Illegal Content': 1, 'A: NSFW, Content Warnings': 1}"
hachyderm.io,"[""Don't be a dick."", 'No hacking.', 'No violence.', 'No fascism.', 'No colonialism.', 'No white supremacy.', 'No religious extremism.', 'No nationalism.', 'No racism.', 'No homophobia.', 'No transphobia.', 'Safe Space: LGTBQIA+', 'Safe Space: neurodivergent (ADHD, Autism, etc.)']","{'Hate Speech': 8, 'A: Not Applicable': 1, 'Illegal Content': 1, 'Incitement of Violence': 1, 'Hate Speech, Incitement of Violence': 1, 'Not Applicable': 1}","[""Don't be a dick."", 'No hacking.', 'No violence.', 'No fascism.', 'No colonialism.', 'No white supremacy.', 'No religious extremism.', 'No nationalism.', 'No racism.', 'No homophobia.', 'No transphobia.', 'Safe Space: LGTBQIA+', 'Safe Space: neurodivergent (ADHD, Autism, etc.)']","{'Hate Speech': 8, 'Not Applicable': 2, 'Illegal Content': 1, 'Incitement of Violence': 1, 'Hate Speech, Incitement of Violence': 1}","[""Don't be a dick."", 'No hacking.', 'No violence.', 'No fascism.', 'No colonialism.', 'No white supremacy.', 'No religious extremism.', 'No nationalism.', 'No racism.', 'No homophobia.', 'No transphobia.', 'Safe Space: LGTBQIA+', 'Safe Space: neurodivergent (ADHD, Autism, etc.)']","{'Hate Speech': 8, 'Not Applicable': 2, 'Illegal Content': 1, 'Incitement of Violence': 1, 'Hate Speech, Incitement of Violence': 1}"
hackaday.social,"['Respect Others. Harassment of other users in any form will not be tolerated.', 'Stay Work Safe. Sexual language and imagery is not appropriate for this server, and excessive foul language will get you muted or kicked.', 'No Illegal Activity. We aren’t those kinds of hackers, so keep discussion on-topic.', 'No Spam. Repeatedly posting the same messages and images is disruptive and annoying.', 'No Ads. Personal projects are OK, but links to commercial products or paid services may be deleted.']","{'Harassment': 1, 'NSFW': 1, 'Illegal Content, Off-topic/topic specific': 1, 'Spam, Reposting/Crossposting': 1, 'Advertising & Commercialization, Links & Outside Content': 1}","['Respect Others. Harassment of other users in any form will not be tolerated.', 'Stay Work Safe. Sexual language and imagery is not appropriate for this server, and excessive foul language will get you muted or kicked.', 'No Illegal Activity. We aren’t those kinds of hackers, so keep discussion on-topic.', 'No Spam. Repeatedly posting the same messages and images is disruptive and annoying.', 'No Ads. Personal projects are OK, but links to commercial products or paid services may be deleted.']","{'Harassment': 1, 'NSFW': 1, 'Illegal Content, Off-topic/topic specific': 1, 'Spam, Reposting/Crossposting': 1, 'Advertising & Commercialization, Links & Outside Content': 1}",[nan],{'Not Applicable': 1}
hci.social,"['Treating everyone with respect and consideration; under the umbrella of respect, we expect all participants to be mindful of their speech and behaviors.', 'Communicating openly and thoughtfully with others and being considerate of the multitude of views and opinions that may be different than your own.', 'Being respectful and mindful in your critique of ideas.', 'Respecting others’ identities in full, e.g., using their specified pronouns.', 'Respecting others’ right to engage or disengage in conversation.', 'Accepting responsibility to take action, as bystanders and advocates, to call out and report misbehavior and to hold each other accountable to these rules.', 'Comments that target other participants based on characteristics such as gender, gender identity and expression, sexual orientation, race, ethnicity, age, ability, status, physical appearance, body size, or religion.', 'Unwelcome personal attention, particularly when one individual has authority over the other.', 'Persistent, unwanted attempts to contact another group member, particularly when one individual has authority over the other.', 'Deliberate intimidation, stalking, or threats of violence.', 'Sustained disruption of presentations, events, or online discussion.', 'Advocating for, or encouraging, any of the above behavior.']","{'Harassment': 3, 'Not Applicable': 2, 'A: Harassment, Hate Speech': 1, 'A: Not Applicable': 1, 'Hate Speech, Harassment': 1, 'Hate Speech': 1, 'Harassment, Incitement of Violence': 1, 'Harassment, Trolling': 1, 'Incitement of Violence': 1}",[nan],{'Not Applicable': 1},"['Treating everyone with respect and consideration; under the umbrella of respect, we expect all participants to be mindful of their speech and behaviors.', 'Communicating openly and thoughtfully with others and being considerate of the multitude of views and opinions that may be different than your own.', 'Being respectful and mindful in your critique of ideas.', 'Respecting others’ identities in full, e.g., using their specified pronouns.', 'Respecting others’ right to engage or disengage in conversation.', 'Accepting responsibility to take action, as bystanders and advocates, to call out and report misbehavior and to hold each other accountable to these rules.', 'Comments that target other participants based on characteristics such as gender, gender identity and expression, sexual orientation, race, ethnicity, age, ability, status, physical appearance, body size, or religion.', 'Unwelcome personal attention, particularly when one individual has authority over the other.', 'Persistent, unwanted attempts to contact another group member, particularly when one individual has authority over the other.', 'Deliberate intimidation, stalking, or threats of violence.', 'Sustained disruption of presentations, events, or online discussion.', 'Advocating for, or encouraging, any of the above behavior.']","{'Not Applicable': 4, 'Harassment': 2, 'A: Harassment, Hate Speech': 1, 'A: Not Applicable': 1, 'Hate Speech, Harassment': 1, 'Hate Speech': 1, 'Harassment, Incitement of Violence': 1, 'Harassment, Trolling': 1}"
hcommons.social,"['No racism, sexism / misogyny, ableism, anti-semitism / religious-based hate, homophobia, transphobia, xenophobia, or casteism.', 'No incitement of violence or promotion of violent, white supremecist, incel, Holocaust denial or Nazi ideologies.', 'No harassment, dogpiling, or doxxing of other users.', 'Sexually explicit or violent media must be marked as sensitive. Pornographic material may not be posted.', 'No intentionally false or misleading information (this includes COVID-19 and vaccine misinformation).', 'No spam.']","{'Hate Speech': 1, 'Incitement of Violence, Hate Speech, Mis/Disinformation/Conspiracy': 1, 'Doxxing/ Personal Info, Harassment, Dogpiling': 1, 'NSFW, Images': 1, 'Mis/Disinformation/Conspiracy': 1, 'Spam': 1}","['No racism, sexism / misogyny, ableism, anti-semitism / religious-based hate, homophobia, transphobia, xenophobia, or casteism.', 'No incitement of violence or promotion of violent, white supremecist, incel, Holocaust denial or Nazi ideologies.', 'No harassment, dogpiling, or doxxing of other users.', 'Sexually explicit or violent media must be marked as sensitive. Pornographic material may not be posted.', 'No intentionally false or misleading information (this includes COVID-19 and vaccine misinformation).', 'No spam.']","{'Hate Speech': 1, 'Incitement of Violence, Hate Speech, Mis/Disinformation/Conspiracy': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'NSFW, Images': 1, 'Mis/Disinformation/Conspiracy': 1, 'Spam': 1}",[nan],{'A: Not Applicable': 1}
historians.social,"['Be respectful.', 'No hate.', 'No harassment.', 'No content that is illegal in Germany and/or France, such as Holocaust denial or Nazi symbolism', 'No disinformation.', 'No fascism.', 'No violence.', 'No white supremacy.', 'No Spam.', 'No racism.', 'No homophobia.', 'No transphobia.', 'No conspiracy theories unless in historical context.', 'Safe Space: LGTBQIA+', 'Safe Space: neurodivergent (ADHD, Aspie, Autism, etc)', 'No hacking.', 'No pornography.', 'No impersonation accounts unless linked to an actual person visible to site admin.']","{'Hate Speech': 7, 'Mis/Disinformation/Conspiracy': 2, 'Not Applicable': 1, 'Harassment': 1, 'Illegal Content, Hate Speech': 1, 'Incitement of Violence': 1, 'Spam': 1, 'A: Not Applicable': 1, 'Illegal Content': 1, 'NSFW': 1, 'Impersonation': 1}",[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1}
indieweb.social,"['No spam or self-promoting posts.', 'No bots that are not labeled as such in their profile.', 'Keep conversations civil and respectful even in disagreement.']","{'A: Advertising & Commercialization, Spam': 1, 'Automated tools': 1, 'Harassment': 1}","['No spam or excessive self-promoting in posts.', 'No bots that are not labeled as such in their profile.', 'Keep conversations civil and respectful even in disagreement.', 'No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism', 'No sexually explicit or violent posts or media allowed', 'No incitement of violence or promotion of violent ideologies', 'No illegal content.']","{'Spam, Advertising & Commercialization': 1, 'Automated tools, Impersonation': 1, 'Harassment': 1, 'Hate Speech': 1, 'NSFW, Images': 1, 'Incitement of Violence': 1, 'Illegal Content': 1}","['No spam or excessive self-promoting in posts.', 'No bots that are not labeled as such in their profile.', 'Keep conversations civil and respectful even in disagreement.', 'No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism', 'No sexually explicit or violent posts or media allowed', 'No incitement of violence or promotion of violent ideologies', 'No illegal content.']","{'Spam, Advertising & Commercialization': 1, 'Automated tools': 1, 'Harassment': 1, 'Hate Speech': 1, 'NSFW, Images': 1, 'Incitement of Violence': 1, 'Illegal Content': 1}"
infosec.exchange,"['Do unto others as you think they would want done to them.', 'Mark sensitive content with a content warning.', 'Gratuitous obscenity that serves no practical benefit to a discussion is not permitted.', 'Illegal content such as child pornography, unsurprisingly, is not permitted', 'Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services.', 'Hate speech and abusive or threatening behavior is not permitted, specifically that which directed at any gender, nationality, religion, race, age, pizza topping preference, or sexual identity.  One can hate on systemd all day long here.', ""Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior.  Each of us has a limited amount of time in this world.  Don't be a jerk."", 'Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.', 'You may not impersonate a person or brand without a clear indication the account is unofficial and/or a parody. Parody accounts are permitted, as are legitimate brand accounts.', 'No attacks against (or from) the instance.\r\n\r\nYou may not do anything which may impact confidentiality, integrity or availability of Infosec.Exchange, the users of the service or their data.\r\nFor more details see https://wiki.infosec.exchange/rules/start', 'No doxing (aka doxxing) or disclosing personal information without consent and as a means of harassing or causing others to harass another person.', 'No harassment in the form of continued engagement after a person has requested contact to stop', 'Automated posting:\r\n- accounts that post >50% using automation must be labeled as a “bot” in the user profile to help provide a visual indicator to visitors\r\n- automated posts must be limited to one post per hour/24 per day with post visibility set to “public”. There is no limit on “unlisted” posts.']","{'Not Applicable': 2, 'A: Not Applicable': 1, 'A: Content Warnings': 1, 'NSFW': 1, 'Illegal Content': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech, Harassment': 1, 'Impersonation': 1, 'A: Harassment, Links & Outside Content, Illegal Content': 1, 'Doxxing/Personal Info, Harassment': 1, 'Harassment': 1, 'Automated tools': 1}","['Do unto others as you think they would want done to them.', 'Mark sensitive content with a content warning.', 'Gratuitous obscenity that serves no practical benefit to a discussion is not permitted.', 'Illegal content such as child pornography, unsurprisingly, is not permitted', 'Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services.', 'Hate speech and abusive or threatening behavior is not permitted, specifically that which directed at any gender, nationality, religion, race, age, pizza topping preference, or sexual identity.  One can hate on systemd all day long here.', ""Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior.  Each of us has a limited amount of time in this world.  Don't be a jerk."", 'Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.', 'You may not impersonate a person or brand without a clear indication the account is unofficial and/or a parody. Parody accounts are permitted, as are legitimate brand accounts.', 'No attacks against (or from) the instance.\r\n\r\nYou may not do anything which may impact confidentiality, integrity or availability of Infosec.Exchange, the users of the service or their data.\r\nFor more details see https://wiki.infosec.exchange/rules/start', 'No doxing (aka doxxing) or disclosing personal information without consent and as a means of harassing or causing others to harass another person.', 'No harassment in the form of continued engagement after a person has requested contact to stop', 'Automated posting:\r\n- accounts that post >50% using automation must be labeled as a “bot” in the user profile to help provide a visual indicator to visitors\r\n- automated posts must be limited to one post per hour/24 per day with post visibility set to “public”. There is no limit on “unlisted” posts.']","{'Not Applicable': 3, 'A: Content Warnings': 1, 'NSFW': 1, 'Illegal Content, NSFW': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech, Harassment': 1, 'Impersonation': 1, 'A: Harassment, Links & Outside Content': 1, 'Doxxing/Personal Info, Harassment': 1, 'Harassment': 1, 'Automated tools': 1}","['Do unto others as you think they would want done to them.', 'Mark sensitive content with a content warning.', 'Gratuitous obscenity that serves no practical benefit to a discussion is not permitted.', 'Illegal content such as child pornography, unsurprisingly, is not permitted', 'Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services.', 'Hate speech and abusive or threatening behavior is not permitted, specifically that which directed at any gender, nationality, religion, race, age, pizza topping preference, or sexual identity.  One can hate on systemd all day long here.', ""Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior.  Each of us has a limited amount of time in this world.  Don't be a jerk."", 'Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.', 'You may not impersonate a person or brand without a clear indication the account is unofficial and/or a parody. Parody accounts are permitted, as are legitimate brand accounts.', 'No attacks against (or from) the instance.\r\n\r\nYou may not do anything which may impact confidentiality, integrity or availability of Infosec.Exchange, the users of the service or their data.\r\nFor more details see https://wiki.infosec.exchange/rules/start', 'No doxing (aka doxxing) or disclosing personal information without consent and as a means of harassing or causing others to harass another person.', 'No harassment in the form of continued engagement after a person has requested contact to stop', 'Automated posting:\r\n- accounts that post >50% using automation must be labeled as a “bot” in the user profile to help provide a visual indicator to visitors\r\n- automated posts must be limited to one post per hour/24 per day with post visibility set to “public”. There is no limit on “unlisted” posts.']","{'Not Applicable': 2, 'A: Not Applicable': 1, 'A: Content Warnings': 1, 'NSFW': 1, 'Illegal Content, NSFW': 1, 'Spam, Advertising & Commercialization': 1, 'Hate Speech, Harassment': 1, 'Impersonation': 1, 'A: Links & Outside Content, Harassment': 1, 'Doxxing/Personal Info, Harassment': 1, 'Harassment': 1, 'Automated tools': 1}"
ioc.exchange,"['Be Nice!', 'Mark sensitive content with a content warning.', 'No Spam and No Advertisement. (Promoting your own work is fine.)', 'No Hate Speech!', 'Reason for joining: What is your connection to the infosec/cybersecurity community?']","{'Not Applicable': 1, 'A: Content Warnings': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech': 1, 'Off-topic/topic specific': 1}","['Be Nice!', 'Mark sensitive content with a content warning.', 'No Spam and No Advertisement. (Promoting your own work is fine.)', 'No Hate Speech!', 'Reason for joining: What is your connection to the infosec/cybersecurity community?']","{'Not Applicable': 1, 'A: Content Warnings': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech': 1, 'Off-topic/topic specific': 1}",[nan],{'A: Not Applicable': 1}
