,rules
280,abide by the liner notes club terms of use
281,do not break the code of conduct
282,do not break the laws of the state of georgia or the united states
283,
284,
285,
286,
287,all users must comply with the code of conduct
288,all posts with references to the following topics must have a useful content warning violence sexual content electoral politics auspol uspol etc twitter selfharm and suicide hate speech descriptions of descrimination and traumatic experiences
289,any images depicting violence nudity or selfharm must be hidden behind a useful content warning and must be marked as sensitive
290,all images should come with a description using the alttext description tools provided by mastodon and relevant apps
291,accounts created for the sole purpose of federating the public timeline to another server federation bots will be blocked when found and servers that host them may be serverblocked without notice
292,accounts promoting cryptocurrencies and similar scams will be blocked without warning
293,users must not crosspost from twitter or other corporate social media into mastodon
294,users must not crosspost nonpublic mastodon posts onto any platform that does not use the activitypub protocol eg to twitter
295,no nazis no brands no corporations no terfs
296,上手いことやってね
297,あえていがみ合うきっかけをつくらないでください すべてのユーザー間で仲良くしていくことは難しいです適切にミュートやブロックなどの機能を駆使してくださいまたそれらによってフィルタしていることをわざと公表しないでくださいそれらの発言は削除される可能性があります bestfriendschat から流用
298,えあい
299,みたらしだんご
300,kb10uy
301,no discrimination of any kind no racism sexism ableism homophobia transphobia fatmisia or similar bigotry
302,no harassment of any kind in any language
303,no nazism or nazi sympathy fascism or white supremacism
304,no illegal content
305,no bot accounts or accounts used solely for automated crossposting redirection or data farming
306,法律を守る
307,人に優しく
308,家に帰ったら手洗いうがい
309,早寝早起き朝ごはん
310,みんななかよく
311,auf wpsocialnet ist kein platz für beleidigende diskriminierende rassistische extremistische hetzerische oder sonstwie menschenverachtende inhalte
312,wpsocialnet dient dem meinungsaustausch nicht der werbung wir akzeptieren dass teilnehmer im rahmen ihres meinungsaustauschs für eigene dienstleistungen werben wir akzeptieren aber nicht wenn teilnehmer unsere plattform überwiegend zu werbezwecken verwendet
313,wir erwarten dass die auf wpsocialnet veröffentlichten inhalte nicht gegen gesetzliche oder behördliche bestimmungen verstoßen dies gilt auch für urheber und sonstige schutzrechte sowie die vorschriften zum jugendschutz
314,der meinungsaustausch auf wpsocialnet kann auch zu hitzigen debatten führen wir bitten aber alle hierbei sachlich zu bleiben und auf die allgemein üblichen grenzen zu achten insbesondere akzeptieren wir weder trollverhalten noch argumentationen ad personam
315,omanual reviewはただのスパム避けですああああでもにゃーんでもいいのでなんか入れてね
316,oアカウントを作成したらプロフィールを編集してくださいプロフィールを未編集のまま放置しているアカウントは削除する場合があります
317,o日本国内の法律で刑罰等の対象になる投稿はやめてくれ
318,assume good intentions
319,pretend you know people irl and be nice to them like you would in person
320,no spam
321,moderation and rule enforcement is done on a best effort basis to keep the above rules and coc operating it may be inconsistent but always working to the goals of making space for everyone read the about page or coc for more info
322,keine belästigung stalking doxxing
323,kein rassismus sexismus beschimpfungen oder deren befürwortung
324,keine diskriminierung von geschlechtern und sexuellen minderheiten
325,keine gewalttätige nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus
326,keine leute kontaktieren die klar gemacht haben dass sie keinen kontakt wollen dogpiling
327,kein nicht markierter sexueller inhalt gewaltdarstellungen oder werbung
328,werbung ist grundsätzlich erlaubt wir bitten euch eure werbung mit dem hashtag werbung zu kennzeichnen wir behalten uns vor jeweils situationsabhängig vereinzelte werbetoots von dieser regelung auszunehmen
329,keine bots die ohne ihre expliziten anfragen mit nutzer interagieren
330,diese instanz ist eine gefälligkeit mit dem erstellen eines accounts akzeptiert ihr dass wir euch keine uptimegarantien etc machen können wir die admins betreiben diese instanz auf unsere kosten und zum spaß als hobbyprojekt
331,日本法に反する行為は禁止です
332,公序良俗に反する行為は禁止です
333,サービスの運営に支障をきたす行為は禁止です
334,宣伝のみを目的とした利用はできません
335,他人に特定の行為を強要することは禁止です
336,les attaques lancées contre ce serveur sont enregistrés analysés et susceptible dêtre fournies aux autorités lutilisation de ce serveur est un privilège pas un droit langage courtois pas dabus gratuits politesse de rigueur le racisme sexisme et autres ne sont pas acceptés ici
337,une sauvegarde journalière est faite automatiquement
338,vous avez tous droits sur vos données personnelles vous pouvez faire une demande pour récupérer supprimer vos informations à tout moment
339,pour toute question signalement autre abusemastodonhosnetfr merci
340,
341,
342,
343,
344,sexually explicit or violent media must be marked as sensitive when posting
345,no racism sexism homophobia transphobia xenophobia or casteism
346,no incitement of violence or promotion of violent ideologies
347,no harassment dogpiling or doxxing of other users
348,no content illegal in united states
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,日本国内の法律に抵触するようなことはお控えください
361,本サーバーはごちそう画像投稿専用サーバであることを理解した上で節度のある投稿をお願いいたします
362,テーマに沿わない投稿が繰り返される場合は管理者の判断により投稿非表示などの処置が行われる場合がありますあらかじめご了承ください
363,その他他のユーザーの迷惑になるようなことはお控えください
364,chud behavior is never allowed racism sexism homophobia transphobia ableism and etc will catch you a ban
365,no advertising bots
366,cw all nsfw if youre unsure about something cw it
367,no scraping or archiving
368,be respectful of one another
369,hate speech racism sexism homophobia transphobia ableism fatmisia xenophobia andor violent nationalism or the advocation of all of the above will not be tolerated and any account engaging in such acts will be suspended immediately
370,no content that includes sexual depictions of minors this includes loli content illegal in germany andor france such as holocaust denial or nazi symbolism conduct promoting the ideology of national socialism
371,we dont allow any illegal activity in the eu andor any link to that
372,no harassment dogpiling or doxxing of other users
373,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images
374,no nft content dao web3 promotion or any kind of cryptobros content there are more suitable instances available for this type of content and communities
375,no registrations of famous trademarks or username squatting impersonification of famous personalities
376,no spamming andor 4chan style memes
377,no advertising unless it is strictly sefpromotion see code of conduct for more details
378,no users under 16 years of age as per eu and eea jurisdiction regulations gdpr
379,请阅读站点介绍心怀善意地与人交流
380,this is a pony first instance its expected most users will be fans of the show my little pony friendship is magic
381,expect all sorts of topics to be discussed here not necessarily just ponies
382,this is not a safe space you may be offended by the things you see here we will not regulate anyones speech except for the next two rules
383,do not spam or abuse the server
384,do not post illegal content anything exploitative of real life minors anything showing animals being abused etc foalcon lolicon etc is allowed as long as it does not represent actual people
385,add cw for all visual nsfw content this helps maintain our federation status
386,do not abuse this server if the admins of socialdivaexchange do not like some content the account will be wiped without notice be nice and ask in advance social if you have doubts
387,add meaningful text to your profile and post a short introduction
388,regular maintenance accounts are removed without notice after three months of inactivity
389,be kind
390,slashine嘟友以欧美slash爱好者和创作者为主不限发布内容 发言相互尊重求同存异️
391,本站反对禁止骚扰行为
392,在本站公开发布cp相关内容时需要打tag发布边缘梗和敏感内容需要预警隐藏
393,尊重知识产权credit他人作品非原创内容请标上来源至少说明转载出处
394,sexually explicit or violent media must be marked as sensitive when posting
395,no spam or advertising
396,no racism sexism homophobia transphobia xenophobia or casteism
397,no incitement of violence or promotion of violent ideologies
398,no harassment dogpiling or doxxing of other users
399,no illegal content
400,根據伺服器所在地區的法規猥褻色情惡意謠言種族主義的相關言論將受到限制或禁止尤其禁止與納粹相關的言論和圖片在互聯網上的傳播
401,以下行為可能受到站務警告或封禁惡意騷擾攻擊其它用戶在本站公開時間軸發佈未進行敏感標記的成人信息在本站公開時間軸刷屏推廣垃圾信息但除此之外僅僅是言論的不同並不能成為站務級封禁的理由
402,為節約運營成本不建議將本站作爲圖床使用希望大家上傳媒體文件時體積不要太大
403,courtesy
404,solidarity
405,irradiate the rich
406,intersectionality
407,privacy
408,advocacy
409,ephemerality
410,禁止公序良俗に反する行為违背公理的行为
411,禁止日本国内の法律に違反する行為违反日本国内法律的行为
412,禁止他者に中傷脅迫経済的もしくは精神的に損害や不利益を与える行為毁谤胁迫经济上或精神上损害或损害他人的行为
413,禁止人種差別国籍差別その他一切の差別に該当する行為种族歧视国籍歧视其他一切歧视行为
414,禁止実在の人物団体になりすます行為冒充实际人物团体的行为
415,禁止他者の著作物を無断転載する行為擅自转载他人著作的行为
416,禁止作為的にサーバに極端な負荷をかける行為故意给服务器造成极端负荷的行为
417,no sexually explicit or violent content allowed
418,no racism sexism homophobia transphobia xenophobia or casteism
419,no incitement of violence or promotion of violent ideologies
420,no harassment dogpiling or doxxing of other users
421,no content illegal in european union usa or canada
422,so that we can moderate the instance content has to be in a language for which free machine translation eg deeplcom is available
423,advertising is permitted if activities are not predominantly commercial
424,prove you read the rules your application must include the confirmation password at the end of the full etiquette applications without it will be rejected unless sufficiently detailed
425,be decent do not insult doxx or harass do not spread conspiracy theories and misinformation
426,be sentient do not create bot or brand accounts without permission
427,be active crossposting is only allowed if you regularly check your account
428,be lawful no content illegal in germany no sexual content without content warnings no sexual content involving animals minors or sexual assault
429,be mindful respect the needs of other users use content warnings and describe your media
430,you should still read the full etiquette on this instances website these rules are merely a summary
431,the password to add to your application is confelicity
432,regla 1 nunca olvide que la persona que lee el mensaje es otro ser humano con sentimientos que pueden ser lastimados
433,regla 2 adhiérase a los mismos estándares de comportamiento en línea que usted sigue en la vida real
434,regla 3 escribir todo en mayúsculas se considera como gritar y además dificulta la lectura
435,regla 4 respete el tiempo y el ancho de banda de otras personas
436,regla 5 muestre el lado bueno de sí mismo mientras se mantenga en línea
437,regla 6 comparta sus conocimientos con la comunidad
438,regla 7 ayude a mantener los debates en un ambiente sano y educativo
439,regla 8 respete la privacidad de terceras personas
440,regla 9 no abuse de su poder o de las ventajas que pueda usted tener
441,regla 10 excuse los errores de otros comprenda los errores de los demás igual que usted espera que los demás comprendan los suyos
442,sexually explicit or violent media must be marked as sensitive when posting
443,no racism sexism homophobia transphobia xenophobia or casteism
444,no incitement of violence or promotion of violent ideologies
445,no harassment dogpiling or doxxing of other users
446,must comply with the universitys acceptable use policy for it httpsupeduphaup
447,sei immer freundlich und höflich und behandle andere mit respekt
