,rules
188,bij herhaling provoceren of uitlokken trolling is niet toegestaan
189,dont do anything thats illegal in the uk or eu
190,aggression and elitism are unwelcome here its not a competition dont assume you know better than the person youre talking to
191,we want to be inclusive do not engage in exclusionary behaviour or language against anyone based on their race caste gender binary assigned or otherwise disability mental health sexual orientation level of education or age
192,dont make exclusionary jokes dont even make them ironically
193,dont harass people unconsented contact or sexual attention can constitute harassment even if it wasnt intended to cause upset dressing or acting in a certain way is not consent
194,this includes content that is particularly provocative even if it may not show specific body parts as well as dead bodies bloody injuries and other gore particularly obscene content may be prohibited entirely profile pictures and header images may not contain sexually explicit or violent media
195,transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited promotion of conversion therapy is strictly prohibited criticism of governments and religions is permissible unless being used as a proxy for discrimination
196,calling for people or groups to be assassinated murdered or attacked physically is strictly prohibited support for violent groups or events is prohibited
197,repeat attempts to communicate with users who have blocked you or creation of accounts solely to harass or insult individuals is strictly prohibited coordinated activity to attack other users is prohibited posting of private personal information about others is prohibited
198,false and misleading information and links from lowquality sources may not be posted especially if they are likely to mislead or confuse others or endanger their safety
199,content created by others must clearly provide a reference to the author creator or source for adult content this should include performers accounts may not solely post aigenerated content
200,no explicit content allowed
201,erotic content must have content warning
202,no harassment allowed
203,no backlink accounts allowed
204,unlawful content is forbidden
205,no pornography
206,no insulting hate speech
207,no racism
208,no extremist political content
209,this server is for humans not for bots if you intend to bulksend posts this instance is not for you use botsinspace
210,upload distribute only content that you have permission for
211,no ads except for featuring your own creative metal music content music articles reviews
212,misusing unrelated hashtags on posts for better visibility is prohibited
213,do not use slurs or racist sexist homophobic transphobic ableist or otherwise discriminatory or hateful jokes or language or promote white supremacy antisemitism transphobia or other hateful ideologies
214,do not harass anyone participate in group harassment of anyone or otherwise engage in personal attacks posting or threatening to post other peoples personally identifying information doxing constitutes harassment
215,do not be intentionally antagonistic a post or reply designed to provoke a confrontation is not acceptable
216,do not post adult content including pictures containing nudity or unwelcome sexual attention including sexualized comments or jokes
217,do not post spam toots that are nothing other than a link andor contain an inordinate number of hashtags are spam as does any overly commercial selfpromotion it is fine to toot about your own projects and share what you are excited to be working on just keep the toot itself interesting
218,do not use automated tools to toot without participating in the community it is fine to post with an automated tool so long as you are an active member of the fosstodon community and respond to replies you receive here unmonitored accounts that post automatically are not acceptable
219,do not shitpost while humorous posts are allowed and actually encouraged there is no place for shitposting on fosstodon
220,do not post about inflammatory controversial subjects without a content warning
221,do not engage in name calling ad hominem attacks or any other uncivil behaviour criticize ideas never people
222,do not tone police toots may violate the standards of civility we set on fosstodon but you should not criticize users for their tone report them or feel free to block them in neither case should you criticize their tone
223,sexually explicit or violent media must be marked as sensitive when posting
224,no racism sexism homophobia transphobia xenophobia or casteism
225,no incitement of violence or promotion of violent ideologies
226,no harassment dogpiling or doxxing of other users
227,no content illegal in eu
228,do not share intentionally false or misleading information
229,
230,
231,
232,
233,
234,
235,
236,
237,성적이거나 다른 사용자들에게 불쾌감을 줄 수 있는 내용을 공개적으로 올리지 말아주세요
238,보고 싶지 않은 내용이 있을 때는 뮤트 차단이나 신고 기능을 이용해 주세요
239,모두의 취향을 존중해주세요
240,스포일러성 내용은 cw글 가리기 기능을 이용해 가려서 올려주세요 어떤 스포일러인지도 명시해주세요
241,생성형 ai를 사용한 컨텐츠를 업로드할때는 반드시 ai를 사용했음을 명시해주세요
242,자캐 커뮤니티를 위해 플래닛에 가입하시는 분은 가이드라인 httpsplanetmoeplanet110982616964439643 을 반드시 확인해 주세요
243,拒绝真人不雅内容 no inappropriate reallife content
244,不参与三次元键政包括转发 avoid realworld politics
245,禁止发送 违反香港法律 的内容 dont post anything illegal in hong kong
246,nsfw 图片须标记为 敏感内容 mark nsfw images as sensitive
247,nsfw 内容使用 cw 功能折叠 fold nsfw content with cw
248,谢绝 无意义刷屏广告推送 类用户注册使用 no spam or ads
249,尊重他人勿引战勿发表攻击性言论 be respectful no trolling or aggression
250,注册审核请回答下列问题 to complete your registration please answer the following questions
251,为什么注册呜呜站 why do you want to register on this instance
252,简答 acgn 的含义 what does acgn stand for
253,同意呜呜站的社区规则 do you agree with the community rules of this instance
254,缺项或错误将被拒绝 incomplete or nonsensical responses will result in rejection
255,详细社区规则见 for detailed community rules please see
256,httpswxwmoeabout
257,使用本站代表您同意了这些规则与政策注册前请务必仔细阅读 by using this instance you agree to these rules and policies please be sure to read them carefully before registering
258,sei immer freundlich und höflich behandle andere mit respekt
259,belästige und beleidige niemanden und unterlasse persönliche angriffe weder allein noch als gruppe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen doxing wird als belästigung ausgelegt
260,kontaktiere keine nutzerinnen die angegeben haben dass sie nicht kontaktiert werden möchten
261,nochmal ganz deutlich wir dulden keine nationalistische propaganda keine nazisymbolik und keine förderung der ideologie des nationalsozialismus
262,poste keine pornographischen oder sexualisierten inhalte dazu gehören auch witze und kommentare
263,veröffentliche keinen spam oder kommerzielle werbung kommerzielle werbung in diesem zusammenhang bedeutet wenn die veröffentlichten inhalte keinen persönlichen bezug aufweisen und eindeutig dazu gedacht sind direkt oder indirekt geld zu erwirtschaften
264,keine killerphrasen scheinargumente schwarze rhetorik oder sophismus
265,diskutiere moderationsentscheidungen nicht zuerst in öffentlichen toots
266,die nutzung oder befürwortung von rassistischer sexistischer homophober transphober behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter sprache wird nicht geduldet
267,verharmlosende oder gutheißende inhalte zu weißer vorherrschaft antisemitismus transphobie oder anderen hasserfüllten ideologien werden nicht geduldet
268,halte dich an die in deutschland geltenden gesetze verbietet ua auch gewaltverherrlichende inhalte
269,nutze inhaltswarnungen für posts und nsfwmarker bei medien im falle von kontroversen aufrührerischen oder triggernden themen
270,nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht
271,no racism sexism homophobia transphobia or xenophobia
272,topic vissocial is a topical server focused particularly on sciart scicomm data visualization creative coding and related topics there is no reporting of offtopic posts but the central idea of the server is to gather a community around these shared interests
273,language english is the common language of the instance other languages are welcome but please be kind and post english translations so that we can all read your posts
274,inclusion we want everyone to feel welcome safe and respected this is a free service please be welcoming and kind to everyone especially when you have a difference of opinion then be extra kind
275,harassment if you experience or notice any harassment or other aggressive behaviors report itby clicking on the three dots next to the message or profile and selecting report personname and help keeping this platform a safe space for everyone
276,ai images please do not use vissocial to share your creations from texttoimage tools such as midjourney or stable diffusion we welcome critical discussion of these tools particularly about the legal and ethical issues surrounding these tools and the implications for artists and society
277,no nfts we know many people involved in computational art sell nfts however on vissocial weve made the decision that we dont want to be involved in nfts so wed love to see your art but we ask that you dont post your nfts here
278,no bots if youd like to experiment with bots creating a dedicated instance could be an option for you
279,cws the moderation team may ask you to add cws to offtopic posts that contain photos or text about food alcohol and other topics in an attempt to be a more inclusive and welcoming instance on our todolist writing about why we ask this
280,cw on ai topics please add cw for posts about ai especially tools like chatgpt
281,joining vissocial please tell us about your interest in this instance and its topics tell us a little about you your interests be sure to mention green apple candy in your application yes its a test to see if youve read the instance rules
282,todo miembro de la instancia socialpoliticaconcienciaorg acepta de manera voluntaria los términos del servicio
283,todo miembro de esta instancia se obliga voluntariamente a respetar cada uno de los puntos del código de conducta de no hacerlo recibirá hasta un máximo de tres llamadas de atención dependiendo de la severidad de la falta en caso de reincidencia su cuenta será cancelada
284,todo miembro de la instancia socialpoliticaconcienciaorg se compromete a respetar las indicaciones sugerencias o peticiones directas que le realice el equipo de administración no hacerlo es causa de suspensión de la cuenta
285,el equipo de administración de socialpoliticaconcienciaorg está obligado a resolver los problemas que surjan de la interacción entre los miembros de la instancia
286,se permite la expresión libre de las ideas sin importar las creencias las convicciones políticas o religiosas de los miembros de la instancia siempre y cuando no contradigan algún punto del código de conducta
287,no está permitido el uso de palabras altisonantes frases albures composiciones lingüísticas etc empleadas con el propósito claro de ofender denigrar humillar o difamar a cualquier miembro de la instancia o del fediverso
288,está prohibido el uso de imágenes o material multimedia audio video gifs animados etc destinados a ofender denigrar humillar o difamar a cualquier miembro de la instancia o del fediverso
289,se prohíbe cualquier forma de discriminación ya sea por género condición económica nacionalidad condición de salud o similares en contra de cualquier miembro de la instancia o del fediverso
290,cuando un miembro de la instancia desconozca un tema queda prohibido responder en términos que lo disuadan de manifestar sus dudas siempre que le sea posible cada usuario debe ayudar a disipar los vacíos de conocimiento nadie puede ser discriminado por su nivel de conocimiento
291,durante el proceso para dirimir una controversia no se considerará como razón válida en su defensa el que un usuario alegue que desconoce los términos del servicio o el código de conducta para justificar la realización de acciones que vayan en su contra es deber de todos los usuarios conocerlos
292,para la buena convivencia los debates deben favorecer la exposición de los argumentos y no centrarse en ataques contra el objeto o tema del que se hable ni en contra de la persona que lo expone con ello se busca procurar conversaciones constructivas con contenido informativo enriquecedor
293,se prohíbe subir compartir o divulgar material pornográfico de cualquier índole incluida la pedofilia infringir este punto es causa de revocación inmediata de la cuenta de usuario
294,el material artístico con contenido sexual explícito está permitido no obstante debe ser marcado como material sensible cw de lo contrario podría ser eliminado
295,el material audiovisual imágenes audio video gifs etc cuyo contenido sea definible como violento necesariamente debe ser marcado como material sensible cw de otra forma podrá ser eliminado
296,esta instancia no puede ser usada para la realización de actividades consideradas como delictivas por la legislación vigente en méxico
297,casos no previstos aquí serán resueltos por los administradores de la instancia socialpoliticaconcienciaorg
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,ei mainostamiseen tarkoitettuja tilejä
315,ei botteja
316,ei pornografista seksuaalista tai ylettömän väkivaltaista sisältöä
317,palvelimella ei sallita rasismia seksismiä transfobiaa tai muuta vähemmistöön kohdistuvaa syrjintää
318,palvelimella ei sallita suomessa laittomia asioita
319,ei häirintää doksausta valheellisen tiedon levittämistä tai muina esiintymistä
320,mastodonttifi on tarkoitettu aikuisille ihmisille ei organisaatioille tai yhteisöille
321,first think then post preferred in english
322,be respectful of others
323,disagreement and debate are great but personal attacks will not be tolerated
324,we have a zero tolerance for any kind of hateful messaging
325,no bots no ads
326,no porn or nudity
327,no discrimination including racism sexism homophobia or transphobia
328,no incitement of violence or promotion of violent ideologies
329,no spam or posting of malicious links
330,preferably use the mastodon verification feature a company profile using a gmail address is seo spam
331,dont post nsfw without cw
332,dont post ads without permission
333,dont promote violence racism andor discrimination towards other people of other ethnical backgrounds or sexual orientation
334,we dont want cryptoads here aswell
335,dont be rude keep conversations civil and kind
336,all public posts from this instance are indexed by tootfinderch
337,do not flood the timeline with posts if you still want to do that please set the posts as unlisted
338,be excellent to each other
339,pornography or rule 34 content of any kind is not permitted nsfw content ie artistic nudity must be hidden behind a content warning the nsfw filter or marked as unlistedprivate
340,incessant posting soapboxing campaigning or harassment for any causebeliefopinion violates rule no 1 and is not tolerated accounts that engage in such behaviour publicly or direct it towards other users will be terminated
341,please do not spam or advertise for third partiessponsors this includes and is not limited to selling items that are not your own creation selling toots or offering toots for sale and acting as a dealer engaged in trade
342,please report violations of these rules to the admin
343,this instance is hosted by mastohost and abides by its terms of service the server is located in the eu in france and obeys all applicable laws
344,using socel to circumvent restrictions or suspensions on other fediverse servers will result in your account being immediately terminated without warning
345,nft and other blockchainbased works in any form are prohibited even if they are your own creation please do not post share promote offer for sale or otherwise engage in trade any work based on these technologies
346,geht respektvoll und nett miteinander um
347,beiträge mit rassistischen illegalen pornografischen oder gewaltverherrlichenden inhalten sind strengstens untersagt zudem gelten allgemein deutsche gesetze
348,beleidigungen und belästigungen sind generell verboten darunter fallen auch jegliche formen der diffamierung hetze übler nachrede und dergleichen
349,konten für kommerzielle zwecke erfordern eine schriftliche erlaubnis unsererseits bis auf rssbots benötigen alle anderen die schriftliche zustimmung von unserer seite
350,zuwiderhandlungen gegen diese regeln werden mit ermahnung verwarnung oder sperre geahndet
351,no racism sexism homophobia transphobia
352,no harassment or dogpiling
353,do not share intentionally false or misleading information
354,violent or sexually explicit media must be marked as sensitive when posting
355,do not publish others private information such as a physical or electronic address without explicit permission
356,frequent sale or deal posts must be posted unlisted
357,under 18s are not permitted to sign up to this instance
358,media or content involving real or realistic people under 18 even if legal is prohibited nsfw artwork depicting characters wearing diapers is allowed on this website but only if it is not intended to sexualize infantilism or children artwork deemed inappropriate or offensive will be removed
359,posting boosting or linking to any content that is illegal in the finland netherlands or germany is prohibited
360,discrimination of any kind is prohibited this includes but is not limited to racism xenophobia sexism homophobia transphobia etc
361,content that you do not have permission to post is prohibited
362,spam and or bots are prohibited
363,media showing nudity bodily fluids or messy diapers must be marked as sensitive
364,all profile pictures and headers must be sfw safe for work
365,sei kein arschloch du hast eine meinung das ist gut aber bitte beleidige niemanden bei deinen äußerungen
366,diskriminiere niemanden rassistische sexistische frauenfeindliche homophobe transfeindliche ableistische antisemitische und andere menschenfeindliche beiträge sind bei uns verboten
367,halte dich an gesetze ganz einfach auch im internet kann man angezeigt werden
368,du bist für deine privatsphäre verantwortlich wenn du nicht willst dass etwas im internet über dich steht veröffentliche es nicht
369,automatisierte beiträge sollten als nicht gelistet gepostet werden d h sie sind sichtbar aber nicht in der lokalen zeitleiste dies gilt auch für bots feedposter twitterretweets und twittercrossposts crossposterkonten die sich nicht aktiv beteiligen können von uns entfernt werden
370,falls du einen nsfwonly account erstellen möchtest ziehe eventuell eine andere instanz in betracht wahrscheinlich sind wir leider nicht geeignet für dich
371,wir dulden keine belästigung einschließlich brigading dogpiling oder jede andere form der kontaktaufnahme mit einem nutzer der angegeben hat dass er nicht kontaktiert werden möchte
372,wir dulden keine gewalttätige nationalistische propaganda keine nazisymbolik und keine förderung der ideologie des nationalsozialismus
373,inhalte die in deutschland illegal sind werden gelöscht und können zur sofortigen sperrung des kontos führen
374,mach dich nicht lustig über andere und sei nicht herablassend du möchtest auch mit respekt behandelt werden beachte dass sich ironie sarkasmus oder ähnliche ausdrucksformen nicht gut in die schriftsprache übertragen lassen und dazu neigen diskussionen oder missverständnisse zu eskalieren
375,
376,
377,
378,
379,no bots unless theyre cute funny or useful bots should avoid posting to the public timeline
380,no pornography or nudity or something that would be considered nsfw in a workplace even behind a nsfw warning in particular no sexual depictions of children
381,no gore or graphic violence again if you wouldnt post it at work you definitely shouldnt be posting it here
382,use content warnings content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a cw content warning
383,no racism this should go without saying but unfortunately it doesnt
384,no sexism or pretty much any other ism
385,no discrimination any discrimination based on gender sexual minority sexual orientation disability physical appearance body size race ethnicity religion or lack thereof or national origin will result in your account and content being removed
386,no xenophobia this includes violent nationalism
387,no holocaust denialism no nazi symbolism promotion of national socialism or anything that is illegal in the european union
388,no stalking or harassment of any kind
389,no fake accounts even celebrity joke accounts note this rule does not necessarily apply to remote accounts
390,no follow bots we block these and our instance is on a no bots list
391,no advertising or excessive promotion by far the biggest problem weve had running this server are spam accounts that sign up only to promote some company often nothing even to do with ruby and so we take a fairly strong stance against letting such accounts even register on the server now
392,you must read the rules
393,you must describe your link to nz as part of your reason for wanting to join on the next page applications without this will be declined you must be a kiwi or honorary kiwi at home or abroad to join mastodonnz
394,you may only have one account on mastodonnz and be at least 13 years of age
395,personal accounts only we do not allow bots commercial business organisation or purely promotional accounts
396,automated crossposting from other services such as twitter is considered to be a bot and is not allowed if you have a blog or something and you want feed that through this is generally fine
397,no spamming the occasional mention of your shop fundraiser etc is fine its hard to give a defined daily limit of what constitutes spam personal or professional ie mutual aidkickstarters fundraisers must be clearly tagged as such
398,content warnings are mandatory on posts containing gore andor violence posts about politics must be tagged one or more of nzpol tōrangapū pol andor politics and optionally may be content warned
399,no impersonation of others we may consider obvious parody accounts but they must be agreed with themods in advance
400,no hate speech racism sexism ableism homophobia or transphobia
401,no illegal content gore or violence for the sake of it incitement of violence or promotion of violent ideologies or conspiracy theories
402,no nsfw content a bit of casual swearing is fine but dont be derogatory or aggressive to other users see rule 12
403,be kind no abuse or harassment will be tolerated
404,no doxxing other users
405,content hosted on mastodonnz or produced by its users may not be reused outside of the fediverse without the express permission of the authors
406,mastodonnz complies with copyright laws we expect you to as well your content must be your own or acceptable use
407,image descriptions it is expected that users will add image descriptions to their uploads for our visually impaired users unless there is a reason you can not you must do so
408,copy of rules with more detailed guidance can be found at httpsmastodonnzrulespdf
409,be friendly and polite to each other
410,no hate speech no discrimination of others regardless of their age gender nationality or whatever
411,no spamming of any kind
412,dont annoy others and dont get easily annoyed by others
413,no advertisements of commercial products
414,no distribution of copyrighted material
415,do not upload material for which you dont have the rights
416,no automated posts by bots except when you have permission to do so by the server admins
417,dont abuse this service or server
418,treat other how you want to be treated by them with respect
419,this is a service running on a private server and as a friendly user you are welcome to use this service but in the end the server admin can cancel user accounts and will do when the user misbehaves the admin will decide in the end
420,valid mail address required youll receive reminder mail after 6 months of inactivity to log in again if you dont react to those mails your account will be deleted after 7 months of inactivity
421,allowed languages are german and english as main languages while as the following languages are tolerated dutch french spanish italian
422,this service is free of cost for you however offering this service does have cost implications if you can afford some cents per week it would be great when you could contribute in sharing the server costs of course this voluntarily for you
