Rules,Instance group
"'All explicit sexual or violent content should be behind a CW', ",15 to 35
"'No racism or advocation of racism', ",15 to 35
"'No sexism or advocation of sexism', ",15 to 35
"'No discrimination against gender and sexual minorities, or advocation thereof', ",15 to 35
'No xenophobic and/or violent nationalism'],15 to 35
"['No sexually explicit images or video', ",15 to 35
"'No incitement of violence or promotion of violent ideologies', ",15 to 35
"'No false or misleading information', ",15 to 35
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",15 to 35
"'No harassment, dogpiling or doxxing of other users', ",15 to 35
"'No illegal content', ",15 to 35
"'No commercial promotion of NFTs or crypto.', ",15 to 35
"'Please use Content Warnings (CW) on any content that is controversial, ranty, cross-posts from The Other Site, or non-content updates.', ",15 to 35
Follow Wheaton's First Rule:\r\nDon't be a dick.],15 to 35
"['No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",15 to 35
"'No incitement of violence or promotion of violent ideologies', ",15 to 35
"'No harassment, dogpiling or doxxing of other users', ",15 to 35
"'Only post your own media, state original creator / owner if not yours', ",15 to 35
"'Do not share intentionally false or misleading information', ",15 to 35
"No content that's illegal in Germany, ",15 to 35
"'Sexually implicit or violent media must be marked as sensitive when posting; Pornography is not permitted', ",15 to 35
"'Be legally adult  (18 years old in most countries)', ",15 to 35
"'Bots must be marked as bot and its username has to tell: ""_bot""']",15 to 35
"['No fascism, authoritarianism, racism, sexism, homophobia, transphobia, xenophobia, or casteism.', ",15 to 35
"'Tankies fuck right off into the sun.', ",15 to 35
"'Liberals also fuck right off into the sun. This includes DSA members ""progressives"" and equivalent groups in other countries. ', ",15 to 35
"'No harassment or doxxing of other users on any instance.', ",15 to 35
"'No content illegal in Germany or the European Union', ",15 to 35
"'No NFTs.', ",15 to 35
'You will not use social.edist.ro to discuss potentially illegal or illicit activities. '],15 to 35
"['Diese Mastodon-Instanz wird als privates Hobby ohne Garantie fÃ¼r VerfÃ¼gbarkeit betrieben. Es besteht kein Anspruch auf jederzeitigen funktionierenden Zugang zum Konto.', ",15 to 35
"'Auf dieser Instanz sind alle Nutzenden willkommen, egal welcher politischen, religiÃ¶sen oder sexuellen Ausrichtung und geschlechtlicher IdentitÃ¤t.', ",15 to 35
"'Wenn ich den Eindruck habe, dass hier jemand beleidigend, diskriminierend oder schlicht nervtÃ¶tend wird, behalte ich mir das Recht vor, auch ohne AnkÃ¼ndigung Accounts zu sanktionieren oder zu deaktivieren.', ",15 to 35
"'Ich gehe davon aus, dass alle Nutzende dieser Instanz in der Lage sind, sich selbst gegenÃ¼ber anderen zur Wehr zu setzen und Querelen unter einander zu klÃ¤ren.', ",15 to 35
'Es gelten die Nutzungsbedingungen.'],15 to 35
"['Was Du nicht willst, das man Dir tuâ€™, das fÃ¼gâ€™ auch keinem andern zu.']",15 to 35
"['NFSW/Lewd/Adult Content MUST be hidden behind a CW', ",15 to 35
"'Do not post content owned by someone else without permission', ",15 to 35
"'No posts promoting excessive or extremist levels of violence', ",15 to 35
"'No distribution of malware or other potentially unwanted software through the service', ",15 to 35
"'No hurtful or targeted language to attack a certain group or user', ",15 to 35
"'No excessive trolling', ",15 to 35
"'No misappropriating memes as use as hate symbols, this includes posting memes that are largely considered to be hate symbols', ",15 to 35
"'No stalking or harassment ', ",15 to 35
'No intentional attempts to mislead or impersonate a specific user or group'],15 to 35
"['Follow the Code of Conduct.', ",15 to 35
"'Be patient and kind.', ",15 to 35
"'Be inclusive.', ",15 to 35
"'Be considerate.', ",15 to 35
"'Be respectful.', ",15 to 35
"'Choose your words carefully.', ",15 to 35
'Do not harass others.'],15 to 35
"['No spam or advertising.', ",15 to 35
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', ",15 to 35
"'No incitement of violence or promotion of violent ideologies.', ",15 to 35
"'No harassment, dogpiling or doxxing of other users.', ",15 to 35
'No illegal content.'],15 to 35
"['No toxic and hateful speech.', ",15 to 35
"'No incitement of violence and no promotion of misleading or violent ideologies.', ",15 to 35
"No harassment, dogpiling, or unwanted advances.', ",15 to 35
"'No doxxing of other users.', ",15 to 35
"No content illegal in Canada or copyrighted content that you don't own rights to., ",15 to 35
"'Sexually explicit or violent media must be marked appropriately.', ",15 to 35
"'Sexually explicit or violent media must be marked appropriately.', ",15 to 35
'Agree to the Terms of Service and Code of Conduct.'],15 to 35
"['Don\'t be a dink.\r\n\r\n""Being a dink"" includes but is not limited to: racism, sexism, xenophobia, homophobia, transphobia, any form of harassment or promotion of violence, or the posting of sexually explicit or illegal content.']",15 to 35
"['Discrimination & bigotry will not be tolerated\r\nThis is not a safe space for Nazis, TERFS, or hate speech.\r\n', ",15 to 35
"'Respect each other. This instance is meant to be a friendly, welcoming space to all who are willing to reciprocate in helping to create that environment.\r\n', ",15 to 35
"'Consent is key, in any context. If youâ€™re ever unsure, ask first. Use content warnings (CWs) where required.\r\n', ",15 to 35
"'No pedophilia, period.', ",15 to 35
"'Members under the age of 18 are not permitted to post lewd, explicit, nsfw, or otherwise sexual content. This includes as original posts or in reply to other members, as well as boosting content of this type from their accounts.', ",15 to 35
"'No direct threats and incitement to violence. Expressing dissatisfaction is fine, but directly stating interest or intent to commit violent harm are not welcome on this server.']",15 to 35
"['This is a lightly moderated space, but should be a safe space for all and any harassment, bullying or discriminatory behaviour can be reported and will result in intervention from mods and/or admins.', ",15 to 35
"Currently @benbyrne is the only admin and @becfary and @doktorb are the mods, all can be reached by DM, and posts can be reported using the option in the '...' menu., ",15 to 35
"'Please DM @benbyrne if interested in volunteering as an admin or mod.', ",15 to 35
"'Any accounts that show no activity for 3 months will be automatically suspended - you can contest the suspension if you want to keep using your account, but otherwise it will be deleted a month later. This is just to ensure we avoid unnecessary data storage and phantom accounts. Lurking is welcome.']",15 to 35
"['Take all rules as guidelines and act accordingly. In doubt feel free to address @buggie@serenityos.social, @linusg@serenityos.social or @networkexception@serenityos.social directly. The administrator team always has the last word about enforcement of rules and does not have to explain actions taken.', ",35 to 150 
"Do the best you can in communication, try your best to keep a positive attitude, and try to not drag others down if/when you're having a bad day., ",35 to 150 
"'No content condoning or advocating for the oppression of members of marginalised groups, or general discrimination of groups based on characteristics like gender, race, disabilities, nationality, education, religion etc.', ",35 to 150 
"No harassment, stalking, mobbing, deadnaming, misgendering, contacting users who have made it clear they do not wish to be contacted.', ",35 to 150 
"No content that is illegal in Germany.', ",35 to 150 
"'Unlike on the Discord server, the discussion of politics is explicitly allowed here, but please keep things civil.', ",35 to 150 
"'Provide credit for creative works that are not your own.', ",35 to 150 
"'While we do appreciate all kinds of content you post on here, consider other instances for NSFW posts. If you still wish like publishing on here, use descriptive content warnings.']",35 to 150 
"['Geht nett und freundlich miteinander um und respektiert einander.\r\nEs werden keine Beleidigungen und Herabsetzungen akzeptiert.\r\n', ",35 to 150 
"Es ist eigentlich klar, trotzdem sei nochmal darauf hingewiesen: Das Internet ist kein rechtsfreier Raum. Auch hier und auf diesem Server gelten die deutschen und europÃ¤ischen Gesetze und Verordnungen!', ",35 to 150 
"'Es ist nicht erlaubt, sich mit Wegwerf- bzw. temporÃ¤ren E-Mailadressen an diesem Server anzumelden.\r\nDer Betreiber dieses Mastodonservers hat das Recht, entsprechende Konten zu lÃ¶schen.', ",35 to 150 
"'English:\r\nBe nice and friendly to each other and respect each other.\r\nNo insults or put-downs are accepted.', ",35 to 150 
"'English: It is actually clear, but it should be pointed out again: The Internet is not a legal vacuum. German and European laws and regulations also apply here and on this server!', ",35 to 150 
"'English: It is not permitted to log in to this server with disposable or temporary e-mail addresses.\r\nThe operator of this Mastodon server has the right to delete such accounts.', ",35 to 150 
"'EspaÃ±ol: SÃ© amable y cordial con los demÃ¡s y respÃ©tate mutuamente.\r\nNo se aceptan insultos ni menosprecios.\r\n', ",35 to 150 
"'EspaÃ±ol: En realidad estÃ¡ claro, pero conviene volver a seÃ±alarlo: Internet no es un vacÃ­o legal. Las leyes y normativas alemanas y europeas tambiÃ©n se aplican aquÃ­ y en este servidor.', ",35 to 150 
'EspaÃ±ol: No estÃ¡ permitido iniciar sesiÃ³n en este servidor con direcciones de correo electrÃ³nico desechables o temporales.\r\nEl operador de este Mastodon servidor tiene derecho a eliminar dichas cuentas.'],35 to 150 
"['Diese Mastodon-Instanz wird als privates Hobby ohne Garantie fÃ¼r VerfÃ¼gbarkeit betrieben. Es besteht kein Anspruch auf jederzeitigen funktionierenden Zugang zum Konto. Ich werde geplante Downtimes vorab Ã¼ber den Account ""Isidor"" ankÃ¼ndigen.', ",35 to 150 
"' Auf dieser Instanz sind alle Nutzerinnen und Nutzer willkommen, egal welcher politischen, religiÃ¶sen oder sexuellen Ausrichtung und geschlechtlicher IdentitÃ¤t. ', ",35 to 150 
"'Wenn aber der Eindruck entsteht, dass hier jemand beleidigend, diskriminierend oder schlicht nervtÃ¶tend wird, behalte ich mir das Recht vor, auch ohne AnkÃ¼ndigung Accounts zu sanktionieren oder zu deaktivieren.', ",35 to 150 
"'Ich gehe davon aus, dass alle Nutzerinnen und Nutzer dieser Instanz in der Lage sind, sich selbst gegenÃ¼ber anderen zur Wehr zu setzen und Querelen unter einander zu klÃ¤ren. Die Meinungsfreiheit erlaubt auch hitzige Debatten. Werden Grenzen Ã¼berschritten, gilt jedoch Ziffer 3.', 'Sollten deine Posts Themen wie Gewalt, sexuell eindeutige Inhalte, Tod/Krankheit oder politische Inhalte wÃ¤hrend Kriegszeiten behandeln, besonders wenn diese Themen negativ oder kontrovers sind, ist es unerlÃ¤sslich, die ""Inhaltswarnung"" (Content Warning / CW) Funktion zu nutzen.']",35 to 150 
"['All users must be 18 years of age or older.', ",35 to 150 
"No accounts may be made for bots or corporate entities. (External accounts for bots or corporate entities followed by users on this instance will be Limited.)',",35 to 150 
" 'All avatar and header images must be SFW. (They must follow the rest of the Acceptable Content Policies, and cannot be put behind a Content Warning or marked as sensitive.)',",35 to 150 
" 'All content and conduct must comply with the laws of Japan, where this instance is hosted.', ",35 to 150 
"No hate speech of any kind, period. This is not a place for any defamatory, threatening, or harmful messages. By the same logic, any violent calls to action or language that seems to encourage harm is not welcome. (See https://joinmastodon.org/covenant )', ",35 to 150 
"Use Content Warnings (CW) for anything others may find troubling. CWs are required for heated political or socio-economic topics, angry rants, or depressing topics. CWs are recommended for excessively long posts to keep the timelines clean. It is also recommended to use hashtags.', ",35 to 150 
"'Respect Copyright protections. Any media subject to Copyright must be posted by the Copyright owner (typically the artist) or with license from the Copyright owner (permission from the artist provided, typically the commissioner or someone whose character is in the art). Also, please credit artists.', ",35 to 150 
"'Explicit material (ex. porn or gore) must be suitably censored (in compliance with the law where this instance is hosted). Explanations of what constitutes adequate censorship are easy to find on the internet. (Here is one from Pixiv: https://www.pixiv.net/terms/?page=guideline )', ",35 to 150 
"'All NSFW content posted from rodent.life must use Content Warnings. NSFW media must use ""Mark as Sensitive"" where applicable (which should happen automatically when you have a content warning applied).', ",35 to 150 
"'No NSFW photos are permitted. This includes sexually explicit imagery and photos of graphic harm. Any human in a photo must be 18 years of age or older. ', ",35 to 150 
"No realistic CGI renders involving minors in sexual situations. By the same logic, no hyper-realistic, drawn images of minors in sexual situations. ',",35 to 150 
" 'No fully AI-generated art. (This may change in the future if there is a way to verify that the AI was not trained with stolen art, but that seems unlikely at this time.)', ",35 to 150 
"'This instance predominantly exists for furries. If an accountâ€™s content never has to do with furries or furry art, that account may be Limited or Suspended at administrationâ€™s discretion. ', ",35 to 150 
