cleaned_rules,category
"'We do not tolerate discriminatory behaviour and content promoting or advocating the oppression of members of marginalized groups.', ",hate speech
"'We do not tolerate harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted.', ",harassment  
"'We do not tolerate mobbing, including name-calling, intentional misgendering or deadnaming.', ",??
"'We do not tolerate nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism.', ",propaganda  
"We do not tolerate conspiracy narratives or other reactionary myths supporting or leading to the above-mentioned (and/or similar) behavior.',",conspiracy theory 
" 'Actions intended to damage this instance or its performance may lead to immediate account suspension.', ",general
"'Content that is illegal in Germany will be deleted and may lead to immediate account suspension.', ",illegal
"Toots containing a piece of art must be credited, ideally with a link back to the source.', ",copyright
"""Use of bots on this instance is subject to admins' authorization.""]",bots
"['DO: Post content that is meaningful to you', ",general
"'DO: Treat everyone on server and across servers with respect and decency', ",general respectfulness
"'DO: Support claims with clear evidence from reputable sources', ","disclaimer, copyright"
"'DO: Use content warnings when discussing sensitive topics (ex. violence)', ",content warning  
"DON'T: Be tolerant of intolerance - report and disengage from people or servers that do not treat all people with respect and decency,",hate speech
" ""DON'T: Stalk, harass, or dox anyone"", ","harassment, doxxing"
"DON'T: Post gore, graphic violence, pedophilia, necrophilia, etc., ",sexual content  
"DON'T: Discriminate against others (ex. no racism, sexism, xenophobia, homophobia, transphobia, etc.), ",hate speech
"DON'T: Run commercial accounts or post advertisements for business services,",ads
DON'T: Spam people with unwanted or repetitive content (ex. no bots)],spam 
