,rules
57,no conduct intended to stalk harass or intimidate other users or to impede other users from utilizing the community
58,no aggregating posting andor disseminating a persons demographic personal or private data without express permission
59,do not continue to engage in conversation or incite others to engage with a user that has specifically requested for said engagement to cease which may be considered harassment regardless of platformspecific privacy tools employed
60,no trolling insulting or derogatory comments andor personal attacks
61,no unapproved bots no scrapers and no cryptomining operations
62,no corporate advertising residents of kittytown are free to share their work and ask for support including crowdfunding or mutual aid links
63,no plagiarism or posting others work or creations without credit
64,no untagged no use of the cw function andor no images marked as sensitive pornography or sexually explicit content
65,no untagged no use of the cw function andor no images marked as sensitive gore or graphic violence
66,大事なお知らせをお伝えすることがある為 info のフォローは外さないでください
67,el contenido sexual explícito o violento no está permitido
68,no está permitido el racismo sexismo homofobia transfobia xenofobia o cualquier otra actitud de discriminación
69,no incitación a la violencia ni promoción de ideologías violentas
70,no hostigamiento dogpiling o doxxing
71,no se permite contenido ilegal
72,no compartir intencionalmente información falsa o engañosa
73,las cuentas que no tengan actividad en 6 meses podrán ser eliminadas sin previo aviso
74,no está permitido el spam
75,日本国の法律を守ること
76,非倫理的な投稿を行わないブーストしないこと ヘイトスピーチ等
77,周りに迷惑をかけないこと スパムまがい投稿意図的にシステムに負荷をかける行為扇動等
78,商用利用しないこと
79,センシティブな情報を投稿しないこと 個人情報など
80,そのほかの事柄はこのサーバーについてに記載されています新規登録の前に必ずご覧ください
81,法律に反していたり犯罪行為につながるようなトゥートは禁止
82,最低限のマナーや礼節を持ったトゥートを
83,ネットストーキング行為など利用者の不利益になる行動の禁止
84,ブログやまとめサイト等への無断転載無断引用はお断り
85,けんかしないしない
86,ひとにやさしくやさしく
87,みんな仲良くなかよく
88,no nudity without nsfw tag
89,no pornography without nsfw tag
90,no sexism
91,no racism
92,no spam
93,no hate speech
94,no harrassment
95,no advertising except for personal services such as art commissions
96,日本の法律に従ってご利用ください
97,詳細は以下を参照のこと httpswikilalafellorgtos
98,no bigotry discrimination or hatespeech race religion gender sexual orientation nationality ethnicity culture etc this instance is inclusive
99,no trolling doxing or flamewars
100,no sex work commissioned art is fine
101,no spam
102,selfpromotion and spam accounts will be banned immediately some minor activity like for independent artists or nonprofits is permissible
103,bots are allowed but they may be muted from the public feed if they post excessively or come across as promotional
104,nsfw content must be marked this includes content containing nudity excess profanity or extremely graphic imagery
105,spoilers must be marked
106,be mindful of copyright and fair use when posting content flagrant violations will be removed
107,trigger warnings are permitted but be aware that they are a bad idea httpswwwpsychologytodaycomblogtalkingaboutmen201703triggerwarningsandmentalhealthwhereistheevidence
108,be careful with how much you reveal about your identity
109,follow wheatons law httpwwwwheatonslawcom
110,there is no tolerance for harassment or discrimination of any kind directly or indirectly for example racism ableism homophobia transphobia and terf shit fascism general channer garbage and so on
111,were here to encourage and support each other and hopefully make pals and make videogames less bad i will remove accounts that are inactive for a year havent posted anything within two months of their creation or are just here for promotion it probably wont help fyi
112,you must use content warnings following the usual mastodon etiquette for example for politics adultlewd content eye contact food mental health if in doubt ask first please
113,we wont tolerate the harassment or abuse of marginalized people
114,we absolutely will block your nazi ass
115,dont index us dont research us
116,なかよくつかってね
117,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups
118,no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming
119,no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted
120,no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism
121,do not publish private conversations except to the moderation team if you need to report them
122,no corporate accounts no excessive advertising no bots or automated crossposters from other networks
123,use content warnings cw for sexually explicit or violent media and other content that might be common triggers
124,write descriptions to all media if possible else ask for help alt4me imagecaptionpls
125,do not clog the local timeline with frequent short posts use threads and unlisted visibility
126,no illegal content abide by laws
127,管理人の判断で不適切またはこのサーバに相応しくないと判断した時アカウントの停止削除を行う場合があります
128,すべての参加者が楽しく参加できるよう周りの方々にご配慮ください
129,関係者の人種性別性的指向障害の有無見た目政治宗教または無宗教使用言語などに係る表現はいかなる場合も適切ではありません
130,日本語が理解できる方向けに開放しています日本語での意思疎通が難しい場合は登録をご遠慮ください
131,各種法律等を遵守し善良な振る舞いを心がけてください
132,詳細説明の注意事項にも目を通してください
133,常識の範囲内で
134,法律を守りましょう 守らなかった人がこの前哀れにも敗れ去りトイレットペーパーを食べる生活をする羽目になった
135,他者の権利を侵害しないでね ウッ俺の存在が高次存在に塩を振りかけられているぐああああああああああああ
136,公序良俗も守ってください 超えちゃいけないライン考えろよ
137,ハラスメントもやめよう 世の中にどんな人もいるよね
138,cette instance étant hébergée à madagascar sa vocation est plutôt orientée vers des utilisateurs ayant un lien avec ce pays
139,restez courtois dans vos propos nous essayons de garder un endroit sain sans agressivité ni discrimination
140,法律法令や公序良俗に反する行為は禁止します
141,全年齢対象ですいわゆるr18を含むトゥートやブーストは禁止します
142,閲覧に注意が必要な投稿には cw機能 content warning をご利用ください
143,閲覧に注意が必要な画像には nsfw機能 not safe for work をご利用ください
144,不適切な投稿を見かけた場合は通報機能をご利用ください
145,当サービスのご使用または当サービスを使用できなかったことにより生じたいかなる損害や不利益について一切責任を負いません
146,be kind and dont talk shit about people or ill kick you off
147,comics town is a place where anyone interested in making comics can come to share their work connect with other creators and learn to grow a safe inclusive community the following rules are in place
148,harassment hate speech dogpiling doxxing and similar behaviors are not welcome
149,comics town is a welcoming environment for lgbtqia poc and indigenous creators moderation decisions will be made with this as a priority
150,explicit content should use the content warning feature
151,promotional posts are allowed but should be in healthy balance with interaction with the community
152,noncomics content is allowed but please keep fandom discourse to a respectful dull roar
153,no ai generated content aiderived work will be deleted and repeat offenders will lose their comics town accounts
154,behave yourself and do not post anything to the metaverse that can get this server banned no hate speech no adult material
155,少なくとも表面上は仲良くしてください
156,突然サーバのデータが吹っ飛んでも怒らないでください
157,日本国の法律に従ってください
158,公序良俗を守ってください
159,公序良俗に反するトゥートをする方シャドウバースに無関係なトゥートや愚痴ばかりをローカルタイムラインに流す方は管理人の独断でアカウントを凍結する可能性があります
160,登録しただけでトゥートなしアイコン設定なしユーザー名の設定なし等の継続的な利用が認められないアカウントは定期的に削除しています
161,rom専の方はプロフィールにその旨を書いて下さい
162,this is a space for feminists that have been somehow connected to the systerserver network
163,no discrimination no content condoning or advocating for the oppression of members of marginalised groups or general discrimination of groups based on characteristics such as gender race disabilities ethnicity class nationality education religion
164,no harassment stalking mobbing deadnaming misgendering contacting users who have made it clear they do not wish to be contacted
165,content warnings we do not require a content warning cw however we ask that you be kind and considerate include cws if you believe your post may be distressing to others
166,bots bots are allowed try to make them fun
167,crossposting crossposting from twitter rss etc is fine and even encouraged if it helps you become more active here if you do crosspost please do it in a way that adds to the conversation in our community
168,selfpromotion please use your account to promote your work we want to see it or hear about it because we are convinced that the world needs more feminist contributions be they political artistic pointing to history or imagning a better world or anything else
169,just one thing please do so in a respectful tasteful and not spammy manner
170,language there are no language rules on this server english is by default de facto the main language but feel free even encouraged to post in other languages
171,accessibility help make this space more accessible use the available accessibility tools for instance to provide a summarydescription for images yes even for your obscure memes
172,licenses we support free art licenses creative commons licenses copyleft public domain and we dont want to deal with copyright infringements
173,the main moderators for this instance right now are ana anne and gaba please report any post or account through the mastodon interface httpsdocsjoinmastodonorgusermoderating
174,this code of conduct is based on the following server rules httpstldrnettimeorgaboutmore httpsblogchaossocialrules httpspostlurkorgaboutmore
175,no sexism no racism no hate speech no lgbtqphobia no nazis no spam no public unflagged porn etc then i also believe its important to remind you that this server was made and is run by a queer activist
176,
177,
178,
179,auf krefeldlife können sich menschen aus krefeld und vom niederrhein sowie alle die sich für krefeld interessieren finden und austauschen
180,hier wird über veranstaltungen informiert und von veranstaltungen berichtet es gibt tipps rund um kunst und kultur zu gastronomie und freizeitgestaltung und ihr könnt kontakt zu anderen krefelderinnen knüpfen
181,hier gehen krefelderinnen immer freundlich und höflich miteinander um behandle andere personen mit respekt
182,das persönlichkeitsrecht ist uns wichtig belästige und beleidige niemanden unterlasse persönliche angriffe veröffentliche keine sensible information eines menschen beachte das recht am eigenen bild
183,nimm keinen kontakt zu einer person auf wenn du erwarten kannst dass die person keinen kontakt wünscht verwende keine killerphrasen scheinargumente oder schwarze rhetorik
184,bitte keine veröffentlichung die niemand lesen will sexualisierte inhalte pornographie oder nationalistische propaganda führen zur sperrung deines accounts
185,es gibt keine bezahlte werbung auf krefeldlife kulturschaffende personen und kultureinrichtungen sollen gern auf ihre angebote hinweisen wir vertrauen auf das fingerspitzengefühl von geschäftsleuten und gastronomiebetrieben plumpe werbung ist unerwünscht und wird keine leserinnen finden
186,beachtet das urheberrecht die veröffentlichung von bildern texten video und audiodateien ohne ausdrückliches einverständnis verletzt die rechte der fotografinnen autorinnen und kulturschaffenden
187,wir dulden keine bots die ohne explizite anfrage mit nutzern interagieren accounts die eine falsche identität vorgeben sind unzulässig
188,bitte veröffentliche auf krefeldlife nur beiträge in deutscher oder englischer sprache andere sprachen können wir zur zeit nicht zulassen weil uns eine zeitnahe moderation nicht möglich wäre
189,sexually explicit or violent media must be marked as sensitive when posting
190,no racism sexism homophobia transphobia xenophobia or casteism
191,no incitement of violence or promotion of violent ideologies
192,no harassment dogpiling or doxxing of other users
193,do not share intentionally false or misleading information
194,be kind
195,dont hate
196,please dont use an emailaddress or name that can be linked to your real identity trivially google opsec bitte verwende keine emailadressen oder namen die trivial mit deiner echten identität in verbindung gebracht werden können google opsec
197,please dont discuss anything in the dms that you would not also be comfortable to shout accross a marketplace in a busy city bitte diskutieren sie in den dms nichts was sie nicht auch über einen marktplatz in einer belebten stadt schreien würden
198,im not a cop remember cops are atleast accountable in theory ich bin kein cop denk daran dass cops zumindest theoretisch rechenschaftspflichtig sind
199,no cops no nazis keine bullen keine nazis
200,no harassment
201,no illegal content
202,no bots without admin approval if they mention they must be helpful and by that users request they must also limit post volume within reason tbd by admin
203,minimum age 18 years
204,no sexually explicit or violent media
205,no racism sexism homophobia transphobia xenophobia
206,no harassment dogpiling or doxxing of people
207,no content illegal in the eu
208,
209,包括不限于天天发送如下嘟文我要杀光世上所有xx人针对此类账号本站会逐步采取警告隐藏冻结锁定账号等一系列控制措施
210,过多70及以上的公开政治性内容会逐步采取警告隐藏冻结锁定账号的措施
211,
212,
213,
214,nsfw art images of gore extreme blood violence and body horror must be hidden under a descriptive cw or marked sensitive sexually explicit art must be cwedmarked sensitive and posted as unlistedfollowers only
215,photographic pornography is explicitly disallowed nsfw content of minors or persons of questionable age cub porn and lolicon content will result in immediate suspension
216,racism homophobia transphobia ableism violent nationalism fascism hate speech bigotry and advocation thereof is prohibited and will be strictly enforced
217,comicscampclub has a zerotolerance policy for harassment or bullying which includes wilfully committing microaggressions trolling dogpiling and doxing
218,reposting other peoples workcopyrighted content is not allowed without credit and some kind of analysis opinion or critique whenever possible link to anothers work instead of reuploding and respect the rights of creators
219,spam flooding of the publiclocalfederated timelines and unapproved bots or advertising is not allowed this does not include promoting your personal work or storefront please promote yourself
220,we expect our community members to respect the boundaries of others and to have their boundaries respected whenever possible try to deescalate contact our adminmod team for assistance and follow our community guidelines
221,nfts and cryptocurrency excluding critique thereof are not welcome here please find another server for your cryptocontent
222,this list is not exhaustive read and understand the entirety of our community guidelines and moderation policy coc before joining we are trying to foster a safe supportive and inclusive space for as many people as possible and our community guidelines are how we achieve that
223,aigenerated artimages must be tagged with aiart hidden under a descriptive cwmarked sensitive and have the software used to create it listed
224,explicit sexual or violent images should be marked as sensitive before posting
225,no brands or content scrapers
226,no free speech chuds antivaxxers prolifers crypto dorks or anime nonces
227,no racism transphobia homophobia ableism fatphobia whorephobia or sexism
228,free space for gfsw users to report things that simply piss them off management will consider it
229,do no harm
230,be humble respect other opinions beliefs
231,no ads spam excess selfpromotion
232,no hate speech and other ass hattery
233,pravidla se smazaly to neznamena ze nejsou jen jsou nevyrcena nebud vocas a drz se selskyho rozumu a co reknu to plati xd rules were deleted somehow but they are still enforced do not be a douche and keep it civil obviously my word is a infinite truth xd
234,do not post any kind of illegal content
235,do not post content of depictions of children or anything related to them
236,do not post content of necrophilia or death
237,do not spam
238,do not bully
239,do not use racism or hate speech
240,do not perpetuate sexism homophobia or transphobia
241,do not abuse unknown bugs or glitches
242,do not abuse other community members
243,do not post gore injuries of any sort fatalities suicide animal abuse or torture
244,treat everyone as you want to be treated
245,dont post anything which is considered illegal in the united states of america
246,dont encourage selfharm
247,dont harass
248,dont spam
249,dont advertise
250,always assume good faith first
251,always tag and hide nsfw posts
252,yes thats it
253,wollen und dürfen sind zueinander indirekt proportional
254,ein gremium wird mit dem erlass von regeln beauftragt
255,morgen ist auch noch ein tag
256,edel sei der accountinhaber hülfreich und gut
257,veröffentlichen sie nichts was gegen brdgesetze oder interstellares recht verstoßen würde
258,hassrede diskriminierung und belästigung jeglicher art werden nicht geduldet
259,markieren sie jugendfreie inhalte bitte als sensibel damit folgende menschen entscheiden können ob sie diese sehen möchten
260,ein ort für alle aber es gilt kein hass kein rassismus keine beleidigungen kein spam amtssprache ist deutsch
261,dogs are not allowed to play basketball
262,kein sexueller inhalt oder gewaltdarstellungen
263,keine diskriminierung in jeglicher form
264,keine aufruf zur gewalt oder förderung von gewalttätigen ideologien
265,keine illegalen inhalte besondere beachtung findet die rechtslage in deutschland
266,kein vorsätzliches teilen falscher oder irreführenden informationen
267,be nice to each other lets keep the fediverse a fun and friendly space to be in
268,use content warnings appropriately controversial subjects spoilers nsfw and the like should have a content warning to allow people to opt in to seeing such posts and should give the viewer some idea of what they will see if they open it anyway
269,intolerance will not be tolerated this is not the space for bigotry
270,keep it legal
271,be connected to green country this applies to accounts on this server only you must be associated with green country or its vicinity in some way to have an account here
272,dont spread misinformation or propaganda use a content warning to make it obvious if a post might readily be confused as such
273,bezug zu österreich oder dem deutschem sprachraum ist nicht pflicht macht es aber einfacher alles zu verstehen
274,alles was nicht verboten ist ist erlaubt
275,seits bitte trotzdem ned deppat
276,
277,
278,
279,
280,
281,
282,sexually explicit or violent media must be marked as sensitive when posting
283,no racism sexism homophobia transphobia xenophobia or casteism
284,no incitement of violence or promotion of violent ideologies
285,no harassment dogpiling or doxxing of other users
286,no content illegal in the eu
287,do not share intentionally false or misleading information
288,be kind
289,be human
290,no racism sexism homophobia transphobia xenophobia or casteism
291,no incitement of violence or promotion of violent ideologies
292,no harassment dogpiling or doxxing of other users
293,sexually explicit or violent media must be marked as sensitive when posting
294,5 no content illegal in france
295,keine belästigung und kein stalking
296,explizit keine tankies mlm querfrontlerinnen terfs swerfs
297,keine menschen kontaktieren die ausdrücklich keinen kontakt wünschen
298,keine bots die ohne explizite anfragen mit nutzerinnen interagieren
299,keine nationalflaggen in profilbeschreibungen
300,keine in deutschland strafrechtlich relevanten inhalte
301,bitte verwendet bildbeschreibungen und inhaltswarnungen
302,kein rassismus sexismus nationalismus antisemitismus ableismus und transfeindlichkeit
303,utiliser ce service dans le respect de la loi française
304,keine belästigung stalking oder doxxing
305,kein rassismus sexismus beschimpfungen oder deren befürwortung
306,keine diskriminierung von geschlechtern und minderheiten
307,keine gewalttätige nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus
308,keine kontaktaufnahme zu menschen die deutlich gemacht haben dass sie keinen kontakt wollen dogpiling
309,kein posten und verbreiten von sexuellem inhalt gewaltdarstellungen oder falschinformationen
310,werbung muss als solche gekennzeichnet sein keine übermäßige oder automatisierte werbung
311,keine inhalte die gegen die gesetze der bundesrepublik deutschland verstoßen
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,be civil no trolling microaggressions or harassment
327,no nsfw content without content warning
328,illegal content including pornography is not permitted
329,hate speech is not permitted at all
330,share content only that you have permission for
331,no impersonation without clear indication
332,no spam
333,be nice and respectful to each other and dont do illegal stuff please
334,sei kein arschloch du hast eine meinung das ist gut aber bitte beleidige niemanden bei deinen äußerungen
335,respektvoller umgang mach dich nicht lustig über andere und sei nicht herablassend du möchtest auch mit respekt behandelt werden
336,diskriminiere niemanden rassistische sexistische frauenfeindliche homophobe antisemitische und andere menschenfeindliche beiträge sind bei uns verboten
337,halte dich an gesetze ganz einfach auch im internet kann man angezeigt werden
338,du bist für deine privatsphäre verantwortlich wenn du nicht willst dass etwas im internet über dich steht veröffentliche es nicht
339,wir legen wert auf eine gesunde kommunikation untereinander falls du deinen account nur benutzt um links zu teilen und ohne rücksicht crossposter verwendest oder für referrallink nutzt werden wir admins uns bei dir melden
340,falls du einen nsfwonly account erstellen möchtest ziehe eventuell eine andere instanz in betracht wahrscheinlich sind wir leider nicht geeignet für dich
341,mach keinen scheiß und benimm dich zivilisiert
342,ansonsten viel spaß
343,anregungen beschwerden lob und gesang an adminazwenkaude
344,faisez pas les cons sil vous plaît
345,ne partagez pas intentionnellement des informations fausses ou trompeuses
346,aucun contenu illégal en france
347,pas de harcèlement pas de divulgation de données personnelles
348,pas dincitation à la violence ou de promotion didéologies violentes
349,pas de racisme de sexisme dhomophobie de transphobie de xénophobie ainsi que toute tentative de retournement dune oppression systémique
350,pas de contenus pédopornographiques sous toute forme conformément aux lois françaises
351,handle nur nach derjenigen maxime durch die du zugleich wollen kannst dass sie ein allgemeines gesetz werde kant
352,rassismus sexismus homophobie und transphobie sind hier nicht willkommen
353,keine aufforderung zur gewalt keine gewaltverherrlichung keine verbreitung oder förderung von gewaltideologien
354,keine belästigung beleidigung und bloßstellung anderer personen
355,keine in deutschland illegalen inhalte
356,kennzeichne sensible medien als solche und stell dir hierbei immer die frage ob sie für kinder deine eltern oder für deinen arbeitgeber geeignet sind
357,wir wollen keinen spam und keine werbung für bots muss ein sehr guter grund vorliegen
358,die regeln können zu jeder zeit angepasst werden
359,die regeln sind nicht abschließend der moderator hat das letzte wort
360,sexually explicit or violent media must be marked as sensitive when posting
361,no racism sexism homophobia transphobia xenophobia or casteism
362,no incitement of violence or promotion of violent ideologies
363,no harassment dogpiling or doxxing of other users
364,no content illegal in germany
365,no spam advertising or bot accounts
366,a legislação vigente para a república federativa do brasil deve ser respeitada
367,conteúdo pornográfico explícito ou obsceno não deve ser compartilhado nessa instância
368,conteúdos de cunho comercial são liberados desde que passem por diligência pelos administradores da instância como forma de evitar a prática de spam
369,não nos responsabilizamos pelas publicações dos usuários em nossa instância ou em instâncias federadas
370,reservamos o direito de exclusão de publicações e conteúdos tanto em procedimentos de moderação quanto em atividades regulares de manutenção
371,be respectful and courteous to others at all times būkite pakantūs ir mandagūs kitiems visada
372,do not engage in any form of hate speech or discrimination based on race gender sexual orientation religion or any other personal characteristic venkite bet kokios rasės lyties seksualinės orientacijos religijos ar kitų asmeninių charakteristikų diskriminavimo
373,do not engage in any form of harassment or bullying venkite bet kokios formos priekabiavimo ar įžeidinėjimo
374,do not post any illegal or explicitly violent content venkite bet kokios nelegalaus ar aiškiai agresyvaus turinio publikavimo
375,do not spam or post irrelevant content venkite bet kokio spamo ar netinkamo turinio publikavimo
376,do not share personal information about yourself or others without their consent nepublikuokite asmeninių duomenų apie save ar kitus be jų sutikimo
377,do not use the server for commercial purposes without the explicit permission of the server administrator nenaudokite serverio komerciniais tikslais be aiškiai serverio administratoriaus išreikšto leidimo
378,follow any additional rules and guidelines set forth by the server administrator laikykitės bet kokių papildomų taisyklių ir gairių nustatytų serverio administratoriaus
379,its important to note that this is just one example of a code of conduct for a mastodon server and different servers may have different rules and guidelines depending on their specific needs and community values
380,svarbu atkreipti dėmesį kad tai yra tik vienas pavyzdys mastodon serverio normų o skirtingi serveriai gali turėti skirtingas taisykles ir gaires priklausomai nuo jų specifinių poreikių ir bendruomenės vertybių
381,ultimately the goal of a code of conduct is to create a safe and inclusive space for all members of the community to communicate and engage with each other
382,galiausiai taisyklių tikslas yra sukurti saugią ir įtraukiančią erdvę visiems bendruomenės nariams bendrauti vienas su kitu
383,do not post anything that would be considered illegal in the united states
384,you must be 14 years of age or older to create and maintain an account on this server
385,no pornography of any kind is allowed to originate from this instance
386,do not post or request any personally identifying information from users of this or any other instance doxxing
387,do not create an account for the sole purpose of advertising
388,political discussions particularly regarding polarizing topics go against the spirit of this instance however they are not strictly banned the moderation team reserves the right to perform actions should it be determined that a thread is deemed unproductive or has devolved into a hellthread
389,no spamming or flooding of any kind
390,do not ban evade or use this instance as a platform to ban evade
391,1 no se permite la falta de respeto menosprecio o actitud grave sobre la cultura y el patrimonio histórico andaluz en todos sus ámbitos así como a sus costumbres tradiciones y etnias generalmente se deben respetar todas las comunidades autónomas sus leyes y sus lenguas
392,2 como todas las comunidades autónomas andalucía es una comunidad laica donde conviven diferentes religiones no está permitido ningún ataque menosprecio degradación o falta de respeto a alguna de ellas la cuenta quedará fulminantemente eliminada
393,3 cualquier comportamiento actitud o alegoría a favor de racismo nazismo fascismo y otras formas de nacionalimos violentos o excluyentes la cuenta también quedará eliminada y en caso de detectar posible delito de odio se contactará con las autoridades pertinentes
394,4 andalucíasocial es un instancia lgbtiqfriendly y velará activamente contra el acoso a todos sus usuarios y usuarias no se permite ningún tipo de actitud o discriminación machista capacitista homófoba xenófoba transfobas queerfoba suponen bloqueo inmediato de la cuenta
395,5 está prohibido difundir promocionar o indicar algún enlace de pornografía en todas sus modalidades o publicidad de ésta así como cualquier enlace a páginas que contengan algún contenido dañino o peligroso para otros usuarios los contenidos sensibles deben ser indicados con la etiqueta cw
396,6 el equipo de contenidos se reserva el derecho a eliminar una cuenta con actuaciones de cualquier tipo de acoso por parte de los usuarios así como a bloquear a aquellos que incurran en comportamientos tales como expresiones irrespetuosas difamatorias o abusivas
397,7 no está permitido el contenido ilegal al igual que el uso de spam o bot de marketing de productos o servicios
398,be kind and courteous were here due to a shared love of savage worlds lets treat everyone with respect healthy disagreements are natural but politeness is required
399,no hate speech or bullying make sure everyone feels safe bullying of any kind isnt allowed and degrading comments about things like race religion culture sexual orientation gender or identity will not be tolerated
400,respect copyright its fine to discuss plot and mechanics from savage worlds products but dont quote the rules or text verbatim this applies to all copyright material
401,when in doubt rules from the savage worlds fb group apply when in doubt the rules from the official savage worlds facebook group apply here as well
402,seid freundlich
403,haltet euch an deutsches recht
404,jegliche art von spam ist verboten
405,bitte postet keine pornografie
406,keine gewerbliche nutzung
407,be nice to each other
408,do not publish advertisements
409,do not publish conspiracy myths
410,do not publish content illegal in germany such as holocaust denial or nazi symbolism
411,do not publish content that is hateful towards specific individuals or groups or intended to cause or incite harm
412,nsfw stuff should be marked nsfw especially pornography of any kind
413,nazifascismo é crime e é proibido aqui
414,trollagem comportamentos típicos de outras redes não serão permitidos nessa instância quem incorrer em xingamentos a pessoas acusações levianas e provocações desnecessárias será banidoa da instância
415,pornografia infantil ou qualquer conteúdo que fetichista crianças são obviamente proibidos
416,discurso de ódio aqui é proibido qualquer discurso de ódio ou seus derivados machismo misoginia racismo xenofobia transfobia homofobia apologia a toda e qualquer forma de opressão exploração e humilhação entre seres humanos apologia a governos autoritários nacionalismo extremista
417,notícias mentirosasmanipulação se for intencional banimento imediato se for sem dolo congelamento da conta por alguns dias com banimento se o comportamento continuar
418,ameaças toda publicação de ameaça é causa de banimento
419,atitudes invasivas estão sujeitos à punição que vai depender do nível de violência comentários eou perguntas invasivas ex pedir a localização de alguém assédio continuar uma conversa que alguém não quer mais que continue
420,assédio sexual banimento imediato outros comportamentos nocivos como piadas ou comentários sexuais receberão punições que podem variar dependendo da gravidade
421,representação falsa contas criadas em nome de marcas ou celebridades devem ser sinalizadas como paródia
422,floddar tl local ou global com conversas infinitas é um comportamento desencorajado a continuidade pode levar à suspensão
423,conteúdo violento chocante sempre com cw e caso tenha imagens com aviso de imagem sensível dependendo do conteúdo se não for uma denúncia válida e necessária pode causar o banimento da conta
424,spoiler sem cw também nunca qualquer spoiler precisa de aviso de conteúdo
425,spam nunca independente do conteúdo spam é caso de banimento
426,dont be mean
427,sexually explicit or violent media must be marked as sensitive when posting
428,no racism sexism homophobia transphobia xenophobia or casteism
429,no incitement of violence or promotion of violent ideologies
430,no harassment dogpiling or doxxing of other users
431,no content illegal in the united states
432,do not share false or misleading information that may lead to physical harm
433,sei vernünftig
434,keine diskriminierung jeder art keinen rassismus keinen sexismus keine beschimpfungen keine ungewollten belästigungen anderer nutzer
435,keine inhalte die in deutschland illegal sind
436,kein spam
437,keine sexuellen inhalte keine gewaltdarstellungen
438,do not post any sexually explicit or violent media on this server but if you must the content must be marked as sensitive when posting
439,no racism sexism homophobia transphobia xenophobia or casteism
440,no incitement of violence or promotion of violent ideologies
441,no harassment dogpiling or doxxing of other users
442,no content illegal in australia europe usa singapore thailand or your country of residence
443,do not share intentionally false or misleading information
444,avoid following hate content and report banned content to the moderator
445,the goal of this community is to bring tech for good likeminded people together its funded by an individual and will be scraped if it does not meet its goal
446,
447,
448,
449,
450,
451,
452,nuair a bios fearg ort fuirich greis is gabh cupan tì mus sgrìobh thu rud a bhiodh tu duilich mu dhèidhinn an uairsin
