,instance,rule,preprocessed rules,lang
49,under-bank.blue,"愚痴などネガティブ要素の多い投稿はcwを活用して下さい。
愚痴などの見る人を選びやすい要素の投稿は、cw（コンテンツワーニング）機能を使って文章を伏せて投稿して下さい。ネガティブな発言を見たくない人への配慮となります。またUNDER-BANK.blueは愚痴や悩みの投稿を制限することはありません。もやもやした気持ちを言葉にすることにより、自身の思考を整理する効果があるためです。積極的に活用して下さい。",愚痴などネガティブ要素の多い投稿はcwを活用して下さい 愚痴などの見る人を選びやすい要素の投稿はcwコンテンツワーニング機能を使って文章を伏せて投稿して下さいネガティブな発言を見たくない人への配慮となりますまたunderbankblueは愚痴や悩みの投稿を制限することはありませんもやもやした気持ちを言葉にすることにより自身の思考を整理する効果があるためです積極的に活用して下さい,non-Englsih
50,under-bank.blue,"【当サーバー独自の禁止事項】管理人の趣味嗜好の都合で以下の要素を禁止します。 これらはあくまで当インスタンス内での扱いであり、該当する二次創作の存在そのものを否定するものではありません。

・作中キャラクターの安易な変態化(但しキャラクターの真面目さ・不器用さ等、公式の性格を重んじた結果の行動であればこの限りではありません) 

。作中キャラクターの安易な守銭奴化、ヤクザ化(但しキャラクターの真面目さ・不器用さ等、公式の性格を重んじた結果の行動であればこの限りではありません) 

どこからどこまでかの基準は管理者xanacに委ねられます。
",当サーバー独自の禁止事項管理人の趣味嗜好の都合で以下の要素を禁止します これらはあくまで当インスタンス内での扱いであり該当する二次創作の存在そのものを否定するものではありません 作中キャラクターの安易な変態化但しキャラクターの真面目さ不器用さ等公式の性格を重んじた結果の行動であればこの限りではありません 作中キャラクターの安易な守銭奴化ヤクザ化但しキャラクターの真面目さ不器用さ等公式の性格を重んじた結果の行動であればこの限りではありません どこからどこまでかの基準は管理者xanacに委ねられます,non-Englsih
51,under-bank.blue,ヘイトスピーチ、思想の押し付け等他者の表現の自由を阻害する行為を禁止します。最終的な判断は管理者がジャッジを下します。,ヘイトスピーチ思想の押し付け等他者の表現の自由を阻害する行為を禁止します最終的な判断は管理者がジャッジを下します,non-Englsih
52,mastodon.iut-larochelle.fr,"Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).
",conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local,non-Englsih
53,mastodon.iut-larochelle.fr,"La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation.",la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation,non-Englsih
54,mastodon.iut-larochelle.fr,"Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes ou transphobes.",sont interdits les propos images ou vidéos racistes sexistes homophobes ou transphobes,non-Englsih
55,mastodon.iut-larochelle.fr,"Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.",sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes,non-Englsih
56,mastodon.iut-larochelle.fr,"Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.",il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite,non-Englsih
57,mastodon.iut-larochelle.fr,"Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.",sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes,non-Englsih
58,selfy.army,post good please,post good please,English
59,coales.co,"Personal attacks, derogatory remarks or discriminatory behaviour towards others based on ANY personal characteristics will not be tolerated!",personal attacks derogatory remarks or discriminatory behaviour towards others based on any personal characteristics will not be tolerated,English
60,coales.co,"Content that is considered obscene, libelous, hate speech or otherwise unlawful under Canadian law will be removed immediately and the user who posted it banned without warning",content that is considered obscene libelous hate speech or otherwise unlawful under canadian law will be removed immediately and the user who posted it banned without warning,English
61,coales.co,"Users are responsible for vetting articles/links they post or share. Users who deliberately and repeatedly post ""fake news"" without stating it is as such will be suspended or banned.",users are responsible for vetting articleslinks they post or share users who deliberately and repeatedly post fake news without stating it is as such will be suspended or banned,English
62,coales.co,"Bots are allowed only if they do not clutter the timeline, perform mass follows or otherwise engage with other users without their permission. Please contact site administration before using bots to be sure they are appropriate or the bot may be banned!",bots are allowed only if they do not clutter the timeline perform mass follows or otherwise engage with other users without their permission please contact site administration before using bots to be sure they are appropriate or the bot may be banned,English
63,coales.co,Accounts that mislead or misrepresent the true identity of a user will be banned immediately (no fake celebrities allowed unless the profile explicitly states it is fake!),accounts that mislead or misrepresent the true identity of a user will be banned immediately no fake celebrities allowed unless the profile explicitly states it is fake,English
64,coales.co,Advertisements of any kind without the express written permission of site administration are PROHIBITED. Please ask permission before posting anything of a commercial nature.,advertisements of any kind without the express written permission of site administration are prohibited please ask permission before posting anything of a commercial nature,English
65,coales.co,"Use ""Content Warnings"" for sensitive topics. Such topics include lewd/sexual content, expressly political discussions, health/sickness/disorders, pictures/media that could be disturbing or harmful (such as flashing images or loud sounds). Willful violators will have accounts silenced.",use content warnings for sensitive topics such topics include lewdsexual content expressly political discussions healthsicknessdisorders picturesmedia that could be disturbing or harmful such as flashing images or loud sounds willful violators will have accounts silenced,English
66,real-escape.jp,絶対ネタバレは禁止です（リアル脱出ゲーム好きはわかりますね！）,絶対ネタバレは禁止ですリアル脱出ゲーム好きはわかりますね,non-Englsih
67,real-escape.jp,CW や NSFW をつけたとしても、このサーバでは18禁ネタは禁止です。,cw や nsfw をつけたとしてもこのサーバでは18禁ネタは禁止です,non-Englsih
68,real-escape.jp,Bot や多量のフォローインポートなど当サーバへの負荷、他サーバへの迷惑になる行為は禁止です。,bot や多量のフォローインポートなど当サーバへの負荷他サーバへの迷惑になる行為は禁止です,non-Englsih
69,real-escape.jp,法律は守ってくださいね。,法律は守ってくださいね,non-Englsih
70,real-escape.jp,迷惑ユーザと判断した場合はそのユーザを停止することがあります。,迷惑ユーザと判断した場合はそのユーザを停止することがあります,non-Englsih
71,chablis.social,On reste courtois sur ce site.,on reste courtois sur ce site,non-Englsih
72,chablis.social,On respecte la légalité.,on respecte la légalité,non-Englsih
73,chablis.social,"Liberté, Égalité, FRATERNITÉ.
Vous êtes libres de penser ce que vous voulez. Pas de l'écrire ici. Merci de me signaler toute publication qui suggèrerait que certains humains sont supérieurs ou inférieurs à d'autres. Pas chez moi.",liberté égalité fraternité vous êtes libres de penser ce que vous voulez pas de lécrire ici merci de me signaler toute publication qui suggèrerait que certains humains sont supérieurs ou inférieurs à dautres pas chez moi,non-Englsih
74,poils.pachyderme.net,"ici on respecte les règles de trapouille des éléphants. Et contrairement à ce que l’on dit, les Mammouths sont des gars très polis. Bien rasés, les ongles vernis.",ici on respecte les règles de trapouille des éléphants et contrairement à ce que lon dit les mammouths sont des gars très polis bien rasés les ongles vernis,non-Englsih
75,zenyasai.g-fukurowl.club,公序良俗と法に反せず、各位仲良くワイワイやってね,公序良俗と法に反せず各位仲良くワイワイやってね,non-Englsih
76,straylight.expectnomore.net,"No racism, homophobia, transphobia, sexism, or bigotry of any kind. Automatic ban or instance block when this is obviously observed.",no racism homophobia transphobia sexism or bigotry of any kind automatic ban or instance block when this is obviously observed,English
77,straylight.expectnomore.net,"Avoid pedantic nit-picking. No one can be 100% perfect on 100% of the issues 100% of the time. (When tempted, ask yourself if you're actually helping to educate someone or just stroking your own ego.)
",avoid pedantic nitpicking no one can be 100 perfect on 100 of the issues 100 of the time when tempted ask yourself if youre actually helping to educate someone or just stroking your own ego,English
78,straylight.expectnomore.net,Engage in good faith and give people benefit of the doubt. Life is a learning experience and everyone makes mistakes. Remember the human.,engage in good faith and give people benefit of the doubt life is a learning experience and everyone makes mistakes remember the human,English
79,straylight.expectnomore.net,Exploitation of rules #2 and #3 in order to stealthily engage in any form of harassment (including breaking rule #1) is grounds for a ban or instance block.,exploitation of rules 2 and 3 in order to stealthily engage in any form of harassment including breaking rule 1 is grounds for a ban or instance block,English
80,mastodon.ctseuro.com,This Server is not public open.,this server is not public open,English
81,biscuit.town,"No hate speech allowed : no racism, sexism, transphobia, ableism, fatphobia, and in general harrassment",no hate speech allowed no racism sexism transphobia ableism fatphobia and in general harrassment,English
82,biscuit.town,"Use CWs as much as possible : general topics to CW are nudity, hate speech (when referring to it), violence, politics...  You can also use CWs as spoilers warnings for movies & games.",use cws as much as possible general topics to cw are nudity hate speech when referring to it violence politics you can also use cws as spoilers warnings for movies games,English
83,biscuit.town,Always CW NSFW content and mark it as sensible.,always cw nsfw content and mark it as sensible,English
84,biscuit.town,"Avoid public settling of differences. If you have a problem with anyone, try to resolve it privately or contact the moderation team. Unwanted subtoot is not allowed.  ",avoid public settling of differences if you have a problem with anyone try to resolve it privately or contact the moderation team unwanted subtoot is not allowed,English
85,biscuit.town,"Do not harass anyone : don't send targeted hatred to someone, repeated attacks to a specific person, participate in mass bullying.",do not harass anyone dont send targeted hatred to someone repeated attacks to a specific person participate in mass bullying,English
86,felesitas.cloud,本日は晴天なり。,本日は晴天なり,non-Englsih
87,mastodon.multimob.be,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
88,mastodon.multimob.be,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
89,mastodon.multimob.be,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
90,mastodon.multimob.be,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
91,mastodon.multimob.be,No content illegal in Germany,no content illegal in germany,non-Englsih
92,mastodon.multimob.be,"Toots should be written in English, French or Dutch. (Until we have more moderators we cannot add other languages.)",toots should be written in english french or dutch until we have more moderators we cannot add other languages,English
93,iys.io,don't be an idiot,dont be an idiot,English
94,social.simcu.com,"佛系,不论政.",佛系不论政,non-Englsih
95,v2.nyoki.club,"【荒らさない】

無用な連投やふぁぼ・ブースト連打は本サーバーやネットワークに負荷をかけるだけです。
ネタとしてやるならOKですが、常識の範囲でね。",荒らさない 無用な連投やふぁぼブースト連打は本サーバーやネットワークに負荷をかけるだけです ネタとしてやるならokですが常識の範囲でね,non-Englsih
96,v2.nyoki.club,"【法律の範囲で自由】
何を発言しても何を投稿しても問題ないけど、国内法に触れない範囲で。
もちろん人が嫌がることはしちゃダメです。",法律の範囲で自由 何を発言しても何を投稿しても問題ないけど国内法に触れない範囲で もちろん人が嫌がることはしちゃダメです,non-Englsih
97,v2.nyoki.club,"【みんな仲良く】
人数が少ない招待制サーバーなので、ギスギスしてるよりはほんわか仲良くありたいものです。",みんな仲良く 人数が少ない招待制サーバーなのでギスギスしてるよりはほんわか仲良くありたいものです,non-Englsih
98,v2.nyoki.club,"【CW・NSFWを活用しよう】
長ーい長文を投稿する時やセンシティブな話題を投稿するときは積極的にCWを活用しようね。
成人向け画像を投稿する時にはNSFWを活用しようね。",cwnsfwを活用しよう 長ーい長文を投稿する時やセンシティブな話題を投稿するときは積極的にcwを活用しようね 成人向け画像を投稿する時にはnsfwを活用しようね,non-Englsih
99,raggedfeathers.com,Don't be a dick.,dont be a dick,English
100,raggedfeathers.com,Don't spam.,dont spam,non-Englsih
101,raggedfeathers.com,Don't sockpuppet.,dont sockpuppet,non-Englsih
102,raggedfeathers.com,Mod and admin decisions are final.,mod and admin decisions are final,English
103,fiasco.social,Be excellent to each other.,be excellent to each other,English
104,mastodon.hofud.com,"I already spend too much time on this machine.
Don't make me waste more time, I am the superuser and have little patience.",i already spend too much time on this machine dont make me waste more time i am the superuser and have little patience,English
105,mctetsudou.net,マインクラフトを使用する場合は、そのEULAと関連する規約を守ってください。,マインクラフトを使用する場合はそのeulaと関連する規約を守ってください,non-Englsih
106,mctetsudou.net,マインクラフトのMOD・プラグイン・その他これに類するものを使用する場合は、それらの利用規約を守ってください。,マインクラフトのmodプラグインその他これに類するものを使用する場合はそれらの利用規約を守ってください,non-Englsih
107,mctetsudou.net,日本法またはEU圏の法律で違法とされるものは、トゥート・ブースト・お気に入りにしないでください。(注: このインスタンスはEU圏内に設置されています),日本法またはeu圏の法律で違法とされるものはトゥートブーストお気に入りにしないでください注 このインスタンスはeu圏内に設置されています,non-Englsih
108,mctetsudou.net,人々の感情を動かし、良い気持ちにさせることを心がけましょう。,人々の感情を動かし良い気持ちにさせることを心がけましょう,non-Englsih
109,mctetsudou.net,仲良く楽しくマストドンを！,仲良く楽しくマストドンを,non-Englsih
114,social.mootech.eu,Don't harrass others,dont harrass others,English
115,social.mootech.eu,"Use tools (user block, instance block, user report) for dealing with problems. Admins/mods will take care of reports",use tools user block instance block user report for dealing with problems adminsmods will take care of reports,English
116,social.mootech.eu,Punch nazis. They are not welcome here,punch nazis they are not welcome here,English
117,social.ksite.de,"Keine Belästigung, Stalking oder Doxxing.

",keine belästigung stalking oder doxxing,non-Englsih
118,social.ksite.de,"Kein Rassismus, Sexismus, Beschimpfungen oder deren Befürwortung.",kein rassismus sexismus beschimpfungen oder deren befürwortung,non-Englsih
119,social.ksite.de,Keine Diskriminierung von Geschlechtern und Minderheiten.,keine diskriminierung von geschlechtern und minderheiten,non-Englsih
120,social.ksite.de,"Keine gewalttätige nationalistische Propaganda, Nazi-Symbolismus oder Förderung der Ideologie des Nationalsozialismus.",keine gewalttätige nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus,non-Englsih
121,social.ksite.de,"Keine Kontaktaufnahme zu Menschen, die deutlich gemacht haben, dass sie keinen Kontakt wollen. ( Dogpiling).",keine kontaktaufnahme zu menschen die deutlich gemacht haben dass sie keinen kontakt wollen dogpiling,non-Englsih
122,social.ksite.de,"Kein Posten und Verbreiten von sexuellem Inhalt, Gewaltdarstellungen oder Falschinformationen.",kein posten und verbreiten von sexuellem inhalt gewaltdarstellungen oder falschinformationen,non-Englsih
123,social.ksite.de,Werbung muss als solche gekennzeichnet sein. Keine übermäßige oder automatisierte Werbung.,werbung muss als solche gekennzeichnet sein keine übermäßige oder automatisierte werbung,non-Englsih
124,social.ksite.de,"Keine Inhalte, die gegen die Gesetze der Bundesrepublik Deutschland verstoßen.",keine inhalte die gegen die gesetze der bundesrepublik deutschland verstoßen,non-Englsih
137,mstdn.ikebuku.ro,公序良俗に反する行為はしないでください,公序良俗に反する行為はしないでください,non-Englsih
138,mstdn.ikebuku.ro,日本国内の法律、条例に違反する投稿はしないでください,日本国内の法律条例に違反する投稿はしないでください,non-Englsih
139,mstdn.ikebuku.ro,誹謗中傷など、他の人への精神的、経済的な負担を与える投稿はしないでください,誹謗中傷など他の人への精神的経済的な負担を与える投稿はしないでください,non-Englsih
140,mstdn.ikebuku.ro,他の人の著作権を尊重し、侵害しないよう心がけてください,他の人の著作権を尊重し侵害しないよう心がけてください,non-Englsih
141,mstdn.ikebuku.ro,アフィリエイトなど商業利用はできません,アフィリエイトなど商業利用はできません,non-Englsih
142,mstdn.ikebuku.ro,その他にもいくつかルールがあるので、利用規約を確認してください。,その他にもいくつかルールがあるので利用規約を確認してください,non-Englsih
143,fellies.social,No racism,no racism,non-Englsih
144,fellies.social,No sexism,no sexism,non-Englsih
145,fellies.social,No discrimination,no discrimination,non-Englsih
146,fellies.social,No stalking,no stalking,non-Englsih
147,fellies.social,"No content illegal in Germany, such as holocaust denial or Nazi symbolism",no content illegal in germany such as holocaust denial or nazi symbolism,English
148,fellies.social,Much fluff,much fluff,non-Englsih
149,fellies.social,Much gay ,much gay,non-Englsih
150,travelpandas.fr,"Respectez-vous les uns les autres 🤝
",respectezvous les uns les autres,non-Englsih
151,travelpandas.fr,Ne pas envoyer de spam/flood ✋,ne pas envoyer de spamflood,non-Englsih
152,travelpandas.fr," Pas de racisme, de xénophobie, de sexisme, de discrimination, de propagande... ☮️
",pas de racisme de xénophobie de sexisme de discrimination de propagande ️,non-Englsih
153,travelpandas.fr,"Veuillez ne pas publier de contenu illégal (ou de liens vers) en France ⛔
",veuillez ne pas publier de contenu illégal ou de liens vers en france,non-Englsih
154,travelpandas.fr,"Pour le contenu NSFW, utilisez l'avertissement de contenu ou le filtre NSFW, sinon veuillez afficher votre toot comme non listé 🔞",pour le contenu nsfw utilisez lavertissement de contenu ou le filtre nsfw sinon veuillez afficher votre toot comme non listé,non-Englsih
155,travelpandas.fr,Utilisez l'avertissement de contenu pour les spoilers ❗,utilisez lavertissement de contenu pour les spoilers,non-Englsih
156,travelpandas.fr,Les bots et les comptes commerciaux sont autorisés uniquement si ils ne sont pas spam/flood,les bots et les comptes commerciaux sont autorisés uniquement si ils ne sont pas spamflood,non-Englsih
157,travelpandas.fr,Un compte local peut être suspendu ou banni s'il ne respecte pas les règles. 🔐,un compte local peut être suspendu ou banni sil ne respecte pas les règles,non-Englsih
158,travelpandas.fr,Nous ne bloquons/suspendons les comptes et les instances étrangères que pour des raisons juridiques.,nous ne bloquonssuspendons les comptes et les instances étrangères que pour des raisons juridiques,non-Englsih
159,travelpandas.fr,Les comptes inactifs depuis 1 mois (aucune connexion au compte) seront supprimés 💣 ,les comptes inactifs depuis 1 mois aucune connexion au compte seront supprimés,non-Englsih
160,travelpandas.fr,Amusez-vous bien 🎉 ,amusezvous bien,non-Englsih
161,puppo.space,NFSW/Lewd/Adult Content MUST be hidden behind a CW,nfswlewdadult content must be hidden behind a cw,English
162,puppo.space,Do not post content owned by someone else without permission,do not post content owned by someone else without permission,English
163,puppo.space,No posts promoting excessive or extremist levels of violence,no posts promoting excessive or extremist levels of violence,English
164,puppo.space,No distribution of malware or other potentially unwanted software through the service,no distribution of malware or other potentially unwanted software through the service,English
165,puppo.space,No hurtful or targeted language to attack a certain group or user,no hurtful or targeted language to attack a certain group or user,English
166,puppo.space,No excessive trolling,no excessive trolling,non-Englsih
167,puppo.space,"No misappropriating memes as use as hate symbols, this includes posting memes that are largely considered to be hate symbols",no misappropriating memes as use as hate symbols this includes posting memes that are largely considered to be hate symbols,English
168,puppo.space,No stalking or harassment ,no stalking or harassment,non-Englsih
169,puppo.space,No intentional attempts to mislead or impersonate a specific user or group,no intentional attempts to mislead or impersonate a specific user or group,English
170,mstdn.plusminus.io,"利用規約
https://plusminus.io/mstdn-plusminus-io/terms-of-service",利用規約 httpsplusminusiomstdnplusminusiotermsofservice,non-Englsih
171,mstdn.myifn.de,Die Verwaltung und Moderation wird so neutral wie möglich gehandhabt ,die verwaltung und moderation wird so neutral wie möglich gehandhabt,non-Englsih
172,mstdn.myifn.de,"Die ergriffenen Maßnahmen beschränken sich auf das Nötigste, um den Betrieb des Netzes aufrechtzuerhalten und die Fähigkeit der Nutzer der Instanzen, mit anderen Personen in Verbindung zu treten, nicht zu beeinträchtigen ",die ergriffenen maßnahmen beschränken sich auf das nötigste um den betrieb des netzes aufrechtzuerhalten und die fähigkeit der nutzer der instanzen mit anderen personen in verbindung zu treten nicht zu beeinträchtigen,non-Englsih
173,mstdn.myifn.de,"Kommunikation vor Aktionen - Es wird zuerst versucht, über Probleme und Lösungen zu sprechen",kommunikation vor aktionen es wird zuerst versucht über probleme und lösungen zu sprechen,non-Englsih
174,mstdn.myifn.de,Wir empfehlen keine Blocks,wir empfehlen keine blocks,non-Englsih
175,mstdn.myifn.de,Keine Schuld durch Assoziation/Verband,keine schuld durch assoziationverband,non-Englsih
176,mstdn.at,Bleibt freundlich und höflich. Behandle andere mit Respekt.,bleibt freundlich und höflich behandle andere mit respekt,non-Englsih
177,mstdn.at,Halte dich an die in Österreich geltenden Gesetze.,halte dich an die in österreich geltenden gesetze,non-Englsih
178,mstdn.at,"Keine Belästigung, Stalking und/oder Doxxing von anderen.",keine belästigung stalking undoder doxxing von anderen,non-Englsih
