,instance,rule,preprocessed rules,lang
24,mastodon.top,"Ne pas spammer (Bots limités à 1 publication par heure)
",ne pas spammer bots limités à 1 publication par heure,non-Englsih
25,mastodon.top,"Pas de racisme, de xénophobie, de sexisme, de discrimination…
",pas de racisme de xénophobie de sexisme de discrimination,non-Englsih
26,mastodon.top,"Merci de ne pas publier de contenu illégal (sauf les torrents)
",merci de ne pas publier de contenu illégal sauf les torrents,non-Englsih
27,mastodon.top,"Pour le contenu NSFW, utilisez l'avertissement de contenu ou le filtre NSFW.
",pour le contenu nsfw utilisez lavertissement de contenu ou le filtre nsfw,non-Englsih
28,mastodon.top,"Utiliser l'avertissement de contenu pour les spoilers
",utiliser lavertissement de contenu pour les spoilers,non-Englsih
29,mastodon.top,Ne partagez pas intentionnellement des informations fausses ou trompeuses,ne partagez pas intentionnellement des informations fausses ou trompeuses,non-Englsih
30,mastodon.top,"Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».",est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie,non-Englsih
31,mastodon.top,Ajoutez une description avec vos signalements et ne signalez pas abusivement d'autres comptes.,ajoutez une description avec vos signalements et ne signalez pas abusivement dautres comptes,non-Englsih
56,mamot.fr,"Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).",conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local,non-Englsih
57,mamot.fr,"Les contenus pornographiques ou visiblement violents doivent être marqués avec le drapeau ""sensible / sensitive"". Les comptes ne respectant pas cette règle seront rendus invisibles aux flux locaux et fédérés. ",les contenus pornographiques ou visiblement violents doivent être marqués avec le drapeau sensible sensitive les comptes ne respectant pas cette règle seront rendus invisibles aux flux locaux et fédérés,non-Englsih
58,mamot.fr,"La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation. ",la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation,non-Englsih
59,mamot.fr,"Approchez les personnes avec précaution et politesse. Si une personne vous demande d'arrêter de la mentionner ou qu'elle exprime ne plus vouloir participer à une discussion, arrêtez immédiatement. ",approchez les personnes avec précaution et politesse si une personne vous demande darrêter de la mentionner ou quelle exprime ne plus vouloir participer à une discussion arrêtez immédiatement,non-Englsih
60,mamot.fr,"Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes ou transphobes.",sont interdits les propos images ou vidéos racistes sexistes homophobes ou transphobes,non-Englsih
61,mamot.fr,Sont interdits les avances ou propositions à caractères sexuels non-sollicitées.,sont interdits les avances ou propositions à caractères sexuels nonsollicitées,non-Englsih
62,mamot.fr,"Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.",sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes,non-Englsih
63,mamot.fr,"Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.",il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite,non-Englsih
64,mamot.fr,"Il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction peut être considéré comme du harcèlement, indépendamment de la confidentialité employée.",il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction peut être considéré comme du harcèlement indépendamment de la confidentialité employée,non-Englsih
65,mamot.fr,"Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».",est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie,non-Englsih
66,mamot.fr,"Il est interdit publier ou diffuser intentionnellement des propos diffamatoires, calomnieux. Cela concerne aussi toute désinformation avec intention de tromper (le gorafi ou the onion sont donc autorisés).",il est interdit publier ou diffuser intentionnellement des propos diffamatoires calomnieux cela concerne aussi toute désinformation avec intention de tromper le gorafi ou the onion sont donc autorisés,non-Englsih
80,mastodon.fun,禁止毒品交易、儿童色情相关内容；禁止纯粹以发布广告为目的的账号；禁止传播盗版物；禁止发布疑似“传销拉人头”的信息；禁止利用本站发布诈骗信息；理性讨论，禁止言语蓄意引战或攻击他人；,禁止毒品交易儿童色情相关内容禁止纯粹以发布广告为目的的账号禁止传播盗版物禁止发布疑似传销拉人头的信息禁止利用本站发布诈骗信息理性讨论禁止言语蓄意引战或攻击他人,non-Englsih
81,mastodon.fun,我们欢迎各种思想，各种性取向，各种倾向的理性言论的发表，但反对一切谩骂，特别是针对种族、性别及性取向的言语攻击，我们支持你发表倾向性的看法，比如对某个事件、某个事物、某个种类的情绪性表达，但请注意你的言辞是否会给特定人群造成严重不适，无论是LGBT、特定性别、特定种族~ 长毛象宇宙是许多联邦构成的，维护整个宇宙的环境是每个小象义不容辞的责任~,我们欢迎各种思想各种性取向各种倾向的理性言论的发表但反对一切谩骂特别是针对种族性别及性取向的言语攻击我们支持你发表倾向性的看法比如对某个事件某个事物某个种类的情绪性表达但请注意你的言辞是否会给特定人群造成严重不适无论是lgbt特定性别特定种族 长毛象宇宙是许多联邦构成的维护整个宇宙的环境是每个小象义不容辞的责任,non-Englsih
82,queer.party,"Be gay, do crimes (responsibly).
Don't post or use this service for anything illegal in Scotland, Germany or the EU.",be gay do crimes responsibly dont post or use this service for anything illegal in scotland germany or the eu,English
83,queer.party,"Punch nazis, trebuchet terfs.
Any posts or usage which contain nazi symbolism or ideology, or which contain ""gender-critical""/""just asking questions"" tripe will get you banned immediately and without recourse. Weird pizza toppings are ""unpopular opinions"", human rights are not.",punch nazis trebuchet terfs any posts or usage which contain nazi symbolism or ideology or which contain gendercriticaljust asking questions tripe will get you banned immediately and without recourse weird pizza toppings are unpopular opinions human rights are not,English
84,queer.party,"Be nice.
No racism, homophobia, transphobia, xenophobia, or any other form of discrimination. In absence of clarity, assume positive intent.",be nice no racism homophobia transphobia xenophobia or any other form of discrimination in absence of clarity assume positive intent,English
85,queer.party,"Don't ruin it.
queer.party is a freely-provided and unmonetised service. Don't abuse it, don't use it to abuse federated instances, don't try to break things.",dont ruin it queerparty is a freelyprovided and unmonetised service dont abuse it dont use it to abuse federated instances dont try to break things,English
86,queer.party,"Be considerate.
Respect others that use this service, and keep in mind that any public post you make might show up in the public timelines of this and other instances that federate with queer.party. Use content warnings, use NSFW tags, don't be a jerk about it.",be considerate respect others that use this service and keep in mind that any public post you make might show up in the public timelines of this and other instances that federate with queerparty use content warnings use nsfw tags dont be a jerk about it,English
87,queer.party,"Don't be (outwardly) horny.
NSFW isn't banned, but your profile (avatar, header, display name, bio, etc) must be completely safe, or they will be removed. Be courteous with content warnings and don't make them overly explicit.",dont be outwardly horny nsfw isnt banned but your profile avatar header display name bio etc must be completely safe or they will be removed be courteous with content warnings and dont make them overly explicit,English
88,queer.party,"No monopoly money.
You may not use this service to recruit victims to your bitcoin scam. No NFTs, no cryptocurrency peddling, no blockchains, no investment bullshit.",no monopoly money you may not use this service to recruit victims to your bitcoin scam no nfts no cryptocurrency peddling no blockchains no investment bullshit,English
89,queer.party,"No misinformation. COVID is real, putin is a warmonger, trump lost. Do not use queer.party to spread unverified or false information. If you are joking, use the ""misinformation"" content warning.",no misinformation covid is real putin is a warmonger trump lost do not use queerparty to spread unverified or false information if you are joking use the misinformation content warning,English
90,masto.pt,"Não são permitidos comentários ofensivos, relacionados ou não com qualquer forma de discriminação.",não são permitidos comentários ofensivos relacionados ou não com qualquer forma de discriminação,non-Englsih
91,masto.pt,Não é permitido incitação à violência ou promoção de ideologias violentas.,não é permitido incitação à violência ou promoção de ideologias violentas,non-Englsih
92,masto.pt,"Não é permitido assédio, “dogpiling” ou “doxxing”.",não é permitido assédio dogpiling ou doxxing,non-Englsih
93,masto.pt,Não é permitido qualquer conteúdo ilegal em Portugal.,não é permitido qualquer conteúdo ilegal em portugal,non-Englsih
94,masto.pt,"Publicações com conteúdo sexual explícito ou que possa causar choque a terceiros tem de ser marcado como sensível.
",publicações com conteúdo sexual explícito ou que possa causar choque a terceiros tem de ser marcado como sensível,non-Englsih
95,masto.pt,"Não é permitido publicar desinformação, pseudociência e outras teorias da conspiração como factos ou seguir utilizadores que são fontes desse conteúdo.",não é permitido publicar desinformação pseudociência e outras teorias da conspiração como factos ou seguir utilizadores que são fontes desse conteúdo,non-Englsih
96,toot.aquilenet.fr,"Pas de propos offensants, oppressifs ou haineux ; ni de harcèlement.",pas de propos offensants oppressifs ou haineux ni de harcèlement,non-Englsih
97,toot.aquilenet.fr,"Les propos, écrits, idées d'extrême-droite prônant l'intolérance ne sont pas bienvenu⋅es. Il en va de même pour le confusionnisme.",les propos écrits idées dextrêmedroite prônant lintolérance ne sont pas bienvenues il en va de même pour le confusionnisme,non-Englsih
98,toot.aquilenet.fr,"Pas de prosélytisme, sous quelque forme qu'il soit.",pas de prosélytisme sous quelque forme quil soit,non-Englsih
99,toot.aquilenet.fr,Pas de publicité.,pas de publicité,non-Englsih
100,toot.aquilenet.fr,Précisez explicitement si votre compte est parodique ou s'il s'agit d'un bot.,précisez explicitement si votre compte est parodique ou sil sagit dun bot,non-Englsih
101,toot.aquilenet.fr,Le cross-posting automatisé est proscrit.,le crossposting automatisé est proscrit,non-Englsih
102,toot.aquilenet.fr,Publications principalement en français ou anglais.,publications principalement en français ou anglais,non-Englsih
103,toot.aquilenet.fr,Privilégiez l'usage du CW pour les contenus pouvant choquer. Éditez vos posts en cas de demande de CW.,privilégiez lusage du cw pour les contenus pouvant choquer éditez vos posts en cas de demande de cw,non-Englsih
104,toot.aquilenet.fr,Soyez sympa.,soyez sympa,non-Englsih
105,mastodon.nu,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
106,mastodon.nu,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
107,mastodon.nu,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
108,mastodon.nu,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English
109,mastodon.nu,No content illegal in Sweden.,no content illegal in sweden,non-Englsih
110,mastodon.nu,No advertisement without the explicit permission from the administrator.,no advertisement without the explicit permission from the administrator,English
111,mastodon.nu,No impersonation of other people or organisations.,no impersonation of other people or organisations,English
112,mastodon.scot,"No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.",no discrimination including but not limited to racism sexism homophobia or transphobia,English
113,mastodon.scot,No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,English
114,mastodon.scot,No harassment of other users on this or other servers.,no harassment of other users on this or other servers,English
115,mastodon.scot,"No content illegal in the following countries: United Kingdom, Germany",no content illegal in the following countries united kingdom germany,English
116,mastodon.scot,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
117,mastodon.scot,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English
118,mastodon.scot,"No spam. This includes commercial advertising, promotion of services, and SEO.",no spam this includes commercial advertising promotion of services and seo,English
119,mastodon.scot,"No impersonation of other individuals, public figures or organisations, unless clearly marked as a parody.",no impersonation of other individuals public figures or organisations unless clearly marked as a parody,English
120,mastodon.scot,"All automated (bot) accounts must enable the bot flag in their account preferences, respect #nobot markers, and post as unlisted unless making less than one post per hour.",all automated bot accounts must enable the bot flag in their account preferences respect nobot markers and post as unlisted unless making less than one post per hour,English
121,g0v.social,https://g0v.social/terms,httpsg0vsocialterms,non-Englsih
122,g0v.social,遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC,遵守參與守則 code of conduct httpsg0vhackmdioscoc,English
123,g0v.social,"閱讀使用說明 

https://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/
",閱讀使用說明 httpssiaulianwordpresscom20210114mastodontaiwanuserguide,non-Englsih
124,g0v.social,Taiwan is a country,taiwan is a country,English
125,g0v.social,"閱讀使用說明
https://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320",閱讀使用說明 httpswwwnotionsopeilunmastodon9257c3e1cd3f42ae9902d6fc9cda6320,non-Englsih
126,g0v.social,"多說做了什麼，少說看了什麼

Say what you did, not what you saw",多說做了什麼少說看了什麼 say what you did not what you saw,English
127,mastodon.art,No posting other artist's work without credit AND analysis/opinion .,no posting other artists work without credit and analysisopinion,English
128,mastodon.art,Respect other users' boundaries. ,respect other users boundaries,English
129,mastodon.art,"Tag sensitive content such as violence/blood, graphic nudity, lewd content, and other potentially upsetting or triggering topics, AND hide them under a Content Warning (CW). ",tag sensitive content such as violenceblood graphic nudity lewd content and other potentially upsetting or triggering topics and hide them under a content warning cw,English
130,mastodon.art,"No trolling, microaggressions, bullying, or harassment. See the Code of Conduct for the full list.",no trolling microaggressions bullying or harassment see the code of conduct for the full list,English
131,mastodon.art,"No unapproved bots, corporate advertising, or spam (this does *not* mean your shop links and commission pages! Please share those often!).",no unapproved bots corporate advertising or spam this does not mean your shop links and commission pages please share those often,English
132,mastodon.art,"No racism, sexism, discrimination against gender and sexual minorities, ableism, fatmisia, xenophobia and/or violent nationalism, or the advocation of all of the above.",no racism sexism discrimination against gender and sexual minorities ableism fatmisia xenophobia andor violent nationalism or the advocation of all of the above,English
133,mastodon.art,"No content that includes sexual depictions of minors (this includes loli), content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism, conduct promoting the ideology of National Socialism.",no content that includes sexual depictions of minors this includes loli content illegal in germany andor france such as holocaust denial or nazi symbolism conduct promoting the ideology of national socialism,English
134,mastodon.art,"Conduct intended to stalk or harass users, impede users from using the service, degrade the performance of the service, or incite others to perform any of the aforementioned actions, is disallowed. ",conduct intended to stalk or harass users impede users from using the service degrade the performance of the service or incite others to perform any of the aforementioned actions is disallowed,English
135,mastodon.art,No NFT content. None at all. There are crypto-related instances on the fediverse that would be more suitable. ,no nft content none at all there are cryptorelated instances on the fediverse that would be more suitable,English
136,mastodon.art,No AI-generated imagery allowed at all,no aigenerated imagery allowed at all,English
137,mastodon.art,No flooding the public timelines (making lots of public posts in quick succession).,no flooding the public timelines making lots of public posts in quick succession,English
138,imastodon.net,"Do not political claim.
政治的主張をする場ではありません。",do not political claim 政治的主張をする場ではありません,non-Englsih
139,imastodon.net,"Do not commercial advertising.
営利目的の広告をする場ではありません。",do not commercial advertising 営利目的の広告をする場ではありません,non-Englsih
140,vocalodon.net,当サーバは「ボーカロイドやUTAU、CeVIOなどの音声合成文化を愛好するユーザ」を対象としたサーバです。該当されない方は他のサーバをご利用ください。また、利用規約 https://vocalodon.net/about/more および内規 http://wiki.vocalodon.net/doku.php をお読みください。,当サーバはボーカロイドやutaucevioなどの音声合成文化を愛好するユーザを対象としたサーバです該当されない方は他のサーバをご利用くださいまた利用規約 httpsvocalodonnetaboutmore および内規 httpwikivocalodonnetdokuphp をお読みください,non-Englsih
141,vocalodon.net,はじめてログインされた方はまずはローカルタイムラインを開いてみてください。マストドン公式アプリの方は左上メニューから「ローカル」でアクセスできます。,はじめてログインされた方はまずはローカルタイムラインを開いてみてくださいマストドン公式アプリの方は左上メニューからローカルでアクセスできます,non-Englsih
142,kinky.business,Exclusively 18+. Zero tolerance for underage or otherwise illegal content.,exclusively 18 zero tolerance for underage or otherwise illegal content,English
143,kinky.business,Keep everything here consensual. No exceptions.,keep everything here consensual no exceptions,English
144,kinky.business,Do not flood the server with posts. No more than a small number of pictures in rapid succession. Violating it will get you silenced or suspended.,do not flood the server with posts no more than a small number of pictures in rapid succession violating it will get you silenced or suspended,English
145,kinky.business,"If you're posting a picture that's not yours, attribute it correctly. We like original content (text, pics, etc.) 100 times more than random porn off the Internet.",if youre posting a picture thats not yours attribute it correctly we like original content text pics etc 100 times more than random porn off the internet,English
146,kinky.business,Use sensitive media flag *and* content warning (CW) for NSFW media. No full-on nudity in avatars.,use sensitive media flag and content warning cw for nsfw media no fullon nudity in avatars,English
147,kinky.business,"Respect each other, absolutely no hate speech",respect each other absolutely no hate speech,English
148,kinky.business,"You're here to *be* here - the main purpose of an account on this instance should be to contribute to the community, not advertising a business or directing traffic elsewhere. Any advertisements should be unlisted or follower only.",youre here to be here the main purpose of an account on this instance should be to contribute to the community not advertising a business or directing traffic elsewhere any advertisements should be unlisted or follower only,English
149,mstdn.plus,Nudity and sexually explicit content is prohibited for accounts registered on this instance,nudity and sexually explicit content is prohibited for accounts registered on this instance,English
150,mstdn.plus,Violent media must be marked as sensitive when posting,violent media must be marked as sensitive when posting,English
151,mstdn.plus,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
152,mstdn.plus,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
153,mstdn.plus,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
154,mstdn.plus,"No content illegal in the United States, Germany, or Finland",no content illegal in the united states germany or finland,English
155,mstdn.plus,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
156,mstdn.plus,"Bots must be marked as bots in their profile preferences, and automated posts should be unlisted (exceptions apply).",bots must be marked as bots in their profile preferences and automated posts should be unlisted exceptions apply,English
157,mstdn.plus,You must select the appropriate language for each post.,you must select the appropriate language for each post,English
158,mstdn.plus,Do not spam or abuse network features.,do not spam or abuse network features,English
159,mstdn.plus,Please read https://mpp.bus-hit.me for moderation information and best practices.,please read httpsmppbushitme for moderation information and best practices,English
160,mastodont.cat,No és permès fer publicitat ni spam.,no és permès fer publicitat ni spam,non-Englsih
161,mastodont.cat,"L'ús de ""crossposters"" está acceptat només si és des de mastodont.cat cap a Twitter.",lús de crossposters está acceptat només si és des de mastodontcat cap a twitter,non-Englsih
162,mastodont.cat,Aquest servidor bloqueja totes les instàncies del programari birdsitelive,aquest servidor bloqueja totes les instàncies del programari birdsitelive,non-Englsih
163,mastodont.cat,La política de retenció dels fitxers multi mèdia remots és de 30 dies (seràn esborrats automàticament als 30 dies). Els arxius d'usuari seran esborrats als 7 dies. ,la política de retenció dels fitxers multi mèdia remots és de 30 dies seràn esborrats automàticament als 30 dies els arxius dusuari seran esborrats als 7 dies,non-Englsih
164,mastodont.cat,"Està prohibida qualsevol mostra de racisme, xenofòbia o homofòbia contra cap usuari local o remot. ",està prohibida qualsevol mostra de racisme xenofòbia o homofòbia contra cap usuari local o remot,non-Englsih
165,mastodont.cat,"L'ús d'altres llengües diferents del català en la majoria dels tuts publicats, pot provocar un avís i fins i tot suspensió del compte si és repetitiu.",lús daltres llengües diferents del català en la majoria dels tuts publicats pot provocar un avís i fins i tot suspensió del compte si és repetitiu,non-Englsih
166,mastodont.cat,"Està prohibida qualsevol mostra de nuesa, excepte quan aquesta tingui una procedència artística reconeguda i estigui degudament referenciada en el contingut del missatge",està prohibida qualsevol mostra de nuesa excepte quan aquesta tingui una procedència artística reconeguda i estigui degudament referenciada en el contingut del missatge,non-Englsih
167,mastodont.cat,"Està prohibida qualsevol mostra explícita de contingut sexual o pornogràfic, i especialment aquelles que continguin pederàstia o impliquin a menors d'edat, fet que a més serà denunciat a les autoritats pertinents.",està prohibida qualsevol mostra explícita de contingut sexual o pornogràfic i especialment aquelles que continguin pederàstia o impliquin a menors dedat fet que a més serà denunciat a les autoritats pertinents,non-Englsih
168,mastodont.cat,No és permeten faltes de respecte contra usuaris locals o remots. ,no és permeten faltes de respecte contra usuaris locals o remots,non-Englsih
169,mastodont.cat,"Els serveis addicionals de Blog (Wordpress), Git (Forgejo) i xmpp (Ejabberd), estan dedicats als usuaris actius. Els comptes registrats en aquests serveis addicionals seran esborrats si es detecta una falta d'activitat, a mastodont.cat i en els darrers 30 dies, dels usuaris locals relacionats.",els serveis addicionals de blog wordpress git forgejo i xmpp ejabberd estan dedicats als usuaris actius els comptes registrats en aquests serveis addicionals seran esborrats si es detecta una falta dactivitat a mastodontcat i en els darrers 30 dies dels usuaris locals relacionats,non-Englsih
170,mastodon.sdf.org,This server abides by the Mastodon Covenant ,this server abides by the mastodon covenant,English
171,mastodon.sdf.org,"Organizations are welcome to engage with the community in a non-commercial, non-advertising manner.",organizations are welcome to engage with the community in a noncommercial nonadvertising manner,English
172,mastodon.sdf.org,"Artists, musicians, writers and artisans are welcome to engage with the community regarding their craft.",artists musicians writers and artisans are welcome to engage with the community regarding their craft,English
173,mastodon.sdf.org,"Do not engage in harassment, hateful content or posts of a derogatory nature.",do not engage in harassment hateful content or posts of a derogatory nature,English
174,mastodon.sdf.org,Do not make advertising posts for the sake of purely promoting a commercial product or service.,do not make advertising posts for the sake of purely promoting a commercial product or service,English
175,mastodon.sdf.org,Content originating from this site may not be used for machine training or other data mining activities without the individual author's consent.,content originating from this site may not be used for machine training or other data mining activities without the individual authors consent,English
176,baraag.net,Do not post real life sexual content.,do not post real life sexual content,non-Englsih
177,baraag.net,Do not post illegal content or otherwise advocate for real life illegal action.,do not post illegal content or otherwise advocate for real life illegal action,English
178,baraag.net,Do not repost art that you did not draw yourself or commission.,do not repost art that you did not draw yourself or commission,English
179,baraag.net,"Do not post either AI generated content or realistic 3DCG renders without the use of proper tags (#AI, #3D, etc). Do not post realistic AI generated content PERIOD.",do not post either ai generated content or realistic 3dcg renders without the use of proper tags ai 3d etc do not post realistic ai generated content period,English
180,baraag.net,Do not spam the timeline with a flood of posts in a short period of time. Post as “Unlisted” to avoid this.,do not spam the timeline with a flood of posts in a short period of time post as unlisted to avoid this,English
181,baraag.net,"To apply for an account at baraag.net, you *must* include link examples of your artwork for approval registration.",to apply for an account at baraagnet you must include link examples of your artwork for approval registration,English
182,baraag.net,"⚠️⚠️⚠️ SERIOUSLY, provide link examples of your art or your application will be rejected.",️️️ seriously provide link examples of your art or your application will be rejected,English
183,mastodon.nl,Heb respect voor elkaar,heb respect voor elkaar,non-Englsih
184,mastodon.nl,"Geen links of referenties naar racistische, hatelijke of offensieve content",geen links of referenties naar racistische hatelijke of offensieve content,non-Englsih
185,mastodon.nl,Geen accounts en toots die nodeloos ongefundeerd zijn,geen accounts en toots die nodeloos ongefundeerd zijn,non-Englsih
186,mastodon.nl,Geen zaken die in Nederland illegaal zijn,geen zaken die in nederland illegaal zijn,non-Englsih
187,mastodon.nl,Geen reclame en spam,geen reclame en spam,non-Englsih
188,mastodon.nl,Bij herhaling provoceren of uitlokken (trolling) is niet toegestaan.,bij herhaling provoceren of uitlokken trolling is niet toegestaan,non-Englsih
189,mathstodon.xyz,Don’t do anything that’s illegal in the UK or EU.,dont do anything thats illegal in the uk or eu,English
190,mathstodon.xyz,Aggression and elitism are unwelcome here - it’s not a competition. Don’t assume you know better than the person you’re talking to.,aggression and elitism are unwelcome here its not a competition dont assume you know better than the person youre talking to,English
191,mathstodon.xyz,"We want to be inclusive; do not engage in exclusionary behaviour or language against anyone based on their race, caste, gender (binary, assigned or otherwise), disability, mental health, sexual orientation, level of education or age.",we want to be inclusive do not engage in exclusionary behaviour or language against anyone based on their race caste gender binary assigned or otherwise disability mental health sexual orientation level of education or age,English
192,mathstodon.xyz,Don’t make exclusionary jokes. Don’t even make them “ironically”.,dont make exclusionary jokes dont even make them ironically,English
193,mathstodon.xyz,"Don’t harass people. Unconsented contact or sexual attention can constitute harassment, even if it wasn’t intended to cause upset. Dressing or acting in a certain way is not consent.",dont harass people unconsented contact or sexual attention can constitute harassment even if it wasnt intended to cause upset dressing or acting in a certain way is not consent,English
194,mastodon.social,"This includes content that is particularly provocative even if it may not show specific body parts, as well as dead bodies, bloody injuries, and other gore. Particularly obscene content may be prohibited entirely. Profile pictures and header images may not contain sexually explicit or violent media.",this includes content that is particularly provocative even if it may not show specific body parts as well as dead bodies bloody injuries and other gore particularly obscene content may be prohibited entirely profile pictures and header images may not contain sexually explicit or violent media,English
195,mastodon.social,"Transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited. Promotion of ""conversion therapy"" is strictly prohibited. Criticism of governments and religions is permissible unless being used as a proxy for discrimination.",transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited promotion of conversion therapy is strictly prohibited criticism of governments and religions is permissible unless being used as a proxy for discrimination,English
196,mastodon.social,"Calling for people or groups to be assassinated, murdered, or attacked physically is strictly prohibited. Support for violent groups or events is prohibited.",calling for people or groups to be assassinated murdered or attacked physically is strictly prohibited support for violent groups or events is prohibited,English
