,formatted_rules,cleaned_rules,lang
68,"By programmatically crawling and/or scraping content generated by the users of this instance, you agree to donate $1,000 (one thousand United States dollars) to a charity of the administrator's choice every time your automated scraper is used on this instance. You can opt-out at any time. ",by programmatically crawling andor scraping content generated by the users of this instance you agree to donate 1000 one thousand united states dollars to a charity of the administrators choice every time your automated scraper is used on this instance you can optout at any time,English
69,禁止一切政党相关议题，尤其是涉及某东方大国的，出于风控考虑，讨论请去别处,禁止一切政党相关议题尤其是涉及某东方大国的出于风控考虑讨论请去别处,non-Englsih
70,禁止通过自动化方式大规模抓取本站信息；除非用户本人同意，禁止一切形式的博文搬运出站,禁止通过自动化方式大规模抓取本站信息除非用户本人同意禁止一切形式的博文搬运出站,non-Englsih
71,Be a good human being. ,be a good human being,non-Englsih
72,"Do not be: a Nazi, a Bigot, a Sexist, a Racist, a Conspiracy Nut, or a Self-Promoting Multi-Level Marketing Magnate",do not be a nazi a bigot a sexist a racist a conspiracy nut or a selfpromoting multilevel marketing magnate,English
73,Do not spread the propaganda of the aforementioned bad actors.,do not spread the propaganda of the aforementioned bad actors,English
74,"In general, no NSFW content.",in general no nsfw content,non-Englsih
75,"If you must post adult-oriented content, mark it as *sensitive*",if you must post adultoriented content mark it as sensitive,English
76,"Most other rules follow from #1 and #2, but I reserve the right to intervene in any situation that a user might flag as problematic.",most other rules follow from 1 and 2 but i reserve the right to intervene in any situation that a user might flag as problematic,English
77,ﾈｺﾁｬﾝ🐈,ﾈｺﾁｬﾝ,Error
78,Be kind and courteous to others,be kind and courteous to others,English
79,Use welcoming and inclusive language,use welcoming and inclusive language,English
80,Be respectful of differing viewpoints and experiences,be respectful of differing viewpoints and experiences,English
81,Collaborate with other community members,collaborate with other community members,English
82,Accept constructive criticism gracefully,accept constructive criticism gracefully,non-Englsih
83,Focus on what is best for the community,focus on what is best for the community,English
84,Show empathy towards other community members,show empathy towards other community members,English
85,Follow all rules on https://mastodon.social/about,follow all rules on httpsmastodonsocialabout,English
86,Respect and empathy.,respect and empathy,English
87,Don't be an asshole,dont be an asshole,English
88,Don't discriminate against anyone,dont discriminate against anyone,non-Englsih
89,No excessive advertising,no excessive advertising,non-Englsih
90,Use Content Warnings for content that might be common triggers,use content warnings for content that might be common triggers,English
91,Avoid posting sexually explicit or violent content,avoid posting sexually explicit or violent content,English
92,You must be 16 or older to join this instance,you must be 16 or older to join this instance,English
93,Abide by applicable laws unless it's the moral thing to do.,abide by applicable laws unless its the moral thing to do,English
94,"Invite only, for family and friends.",invite only for family and friends,English
95,"Keep it family friendly. Use content warnings for anything that might be for limited audiences (politics, spicy food, she wants her rocks)",keep it family friendly use content warnings for anything that might be for limited audiences politics spicy food she wants her rocks,English
96,Don't do anything to get us defederated! ,dont do anything to get us defederated,English
97,TO BE DONE,to be done,English
98,Pas de diffusion des idées d’extrême droite,pas de diffusion des idées dextrême droite,non-Englsih
99,Pas de racisme,pas de racisme,non-Englsih
100,Pas de xénophobie en général,pas de xénophobie en général,non-Englsih
101,Pas de confusionnisme,pas de confusionnisme,non-Englsih
102,Utilisation du CW pour la nudité ou la pornographie,utilisation du cw pour la nudité ou la pornographie,non-Englsih
103,Pas de spam,pas de spam,non-Englsih
104,Principalement francophone,principalement francophone,non-Englsih
105,Discussions dans le respect des autres utilisateurs,discussions dans le respect des autres utilisateurs,non-Englsih
106,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
107,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
108,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
109,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
110,No content illegal in the United States,no content illegal in the united states,English
111,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
112,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
113,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
114,"No harassment, dogpiling or doxxing of other people",no harassment dogpiling or doxxing of other people,English
115,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
116,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
117,居心地の良さを大切にするため、他の人には干渉しない,居心地の良さを大切にするため他の人には干渉しない,non-Englsih
118,他のSNSと違い、繋がりを求める場所ではない,他のsnsと違い繋がりを求める場所ではない,non-Englsih
119,嘘をつかない。未来の自分を守るために,嘘をつかない未来の自分を守るために,non-Englsih
120,「こうあるべき」という正義心は他人を苦しめるので捨てる,こうあるべきという正義心は他人を苦しめるので捨てる,non-Englsih
121,見返りを求めない。期待は自分と他人の両方を苦しめるため,見返りを求めない期待は自分と他人の両方を苦しめるため,non-Englsih
122,「〜みたい」と決めつけない。自他の可能性を奪わないため,みたいと決めつけない自他の可能性を奪わないため,non-Englsih
123,他人をコケにしない。醜くなる自分が未来を苦しめるから,他人をコケにしない醜くなる自分が未来を苦しめるから,non-Englsih
124,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
125,No spam or advertising.,no spam or advertising,non-Englsih
126,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
127,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
128,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English
129,No illegal content.,no illegal content,non-Englsih
130,Don't be rude to anyone here,dont be rude to anyone here,English
131,"No homophobia, racism, ableism, transphobia, etc.
(i.e. don’t discriminate against minorities and treat people like humans)",no homophobia racism ableism transphobia etc ie dont discriminate against minorities and treat people like humans,English
132,Be excellent to each other.,be excellent to each other,English
133,Harassment of other users is prohibited.,harassment of other users is prohibited,English
134,Do not post content that endangers or exploits children or vulnerable adults.,do not post content that endangers or exploits children or vulnerable adults,non-Englsih
135,Do not post content that glorifies abusing children or vulnerable adults.,do not post content that glorifies abusing children or vulnerable adults,English
136,"All posts containing commonly triggering content (such as suicide, self-harm, sexual assault, CSA, etc.) should have an appropriate content warning. If you do not know how to use content warnings, please see the Mastodon documentation.",all posts containing commonly triggering content such as suicide selfharm sexual assault csa etc should have an appropriate content warning if you do not know how to use content warnings please see the mastodon documentation,English
137,Please hide all NSFW content behind a CW.,please hide all nsfw content behind a cw,English
138,"This is a single-person instance so I'm not motivated enough to try to make an exhaustive list, but the majority of my interactions are with weirder.earth and scholar.social so you can expect that I'm following about the same standards as people there.",this is a singleperson instance so im not motivated enough to try to make an exhaustive list but the majority of my interactions are with weirderearth and scholarsocial so you can expect that im following about the same standards as people there,English
139,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
140,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
141,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
142,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English
143,No content illegal in USA,no content illegal in usa,non-Englsih
144,Do not share false or misleading information that may lead to physical harm.,do not share false or misleading information that may lead to physical harm,English
145,No spamming or aggressive promotion. If you want to promote something do it responsibly with supporting facts and never only links.,no spamming or aggressive promotion if you want to promote something do it responsibly with supporting facts and never only links,English
146,Bots must be marked as Bot in their profile,bots must be marked as bot in their profile,English
147,Agree to the Code of Conduct and Terms of Services,agree to the code of conduct and terms of services,English
148,no sex or p0rn - use content warnings wisely ,no sex or p0rn use content warnings wisely,English
149,no spam or advertising,no spam or advertising,non-Englsih
150,"no racism, sexism, homophobia, transphobia",no racism sexism homophobia transphobia,non-Englsih
151,no illegal content,no illegal content,non-Englsih
152,no incitement or promotion of violence or harm,no incitement or promotion of violence or harm,English
153,no harassment or doxing,no harassment or doxing,non-Englsih
154,"no fake news, disinformation",no fake news disinformation,English
155,"No theft of user’s IP (content, connections, profile) for monetorisation or advertising. ",no theft of users ip content connections profile for monetorisation or advertising,English
156,No profiling for advertising,no profiling for advertising,non-Englsih
157,No use of user data for training of AI / LLM / Algorithms,no use of user data for training of ai llm algorithms,English
158,"It's one rule for me, and well, that's it.",its one rule for me and well thats it,English
159,"Engage in respectful constructive conversations.
We are all allowed and welcome to disagree.
What is not acceptable is intolerance, harassment, hate, disrespect and illegal content.",engage in respectful constructive conversations we are all allowed and welcome to disagree what is not acceptable is intolerance harassment hate disrespect and illegal content,English
160,"Be kind. (Rewind?)

Be nice to people, and when you can't be nice, be firm but polite. Then move on. Block/mute if you gotta. 
Past that, use best judgement and/or pester your friendly neighborhood admin.",be kind rewind be nice to people and when you cant be nice be firm but polite then move on blockmute if you gotta past that use best judgement andor pester your friendly neighborhood admin,English
161,"Not Up For Debate

Insofar as politics may come up, they should be CW'd appropriate and such posts are not to be taken as invitations to start a ""debate."" Period.",not up for debate insofar as politics may come up they should be cwd appropriate and such posts are not to be taken as invitations to start a debate period,English
162,Don't be a jerk.,dont be a jerk,non-Englsih
163,No hacking.,no hacking,non-Englsih
164,No violence.,no violence,non-Englsih
165,No fascism.,no fascism,non-Englsih
166,No colonialism.,no colonialism,non-Englsih
167,"No white supremacy.
",no white supremacy,English
168,No religious extremism.,no religious extremism,non-Englsih
169,No nationalism.,no nationalism,non-Englsih
170,No racism.,no racism,non-Englsih
171,No homophobia.,no homophobia,non-Englsih
172,No transphobia.,no transphobia,non-Englsih
173,Safe Space: LGTBQIA+,safe space lgtbqia,non-Englsih
174,"Safe Space: neurodivergent (ADHD, Autism, etc.)",safe space neurodivergent adhd autism etc,non-Englsih
175,No speaking over the lived experiences of others.,no speaking over the lived experiences of others,English
176,Please follow Wheaton's Law,please follow wheatons law,English
177,"There's supposedly a line between dark humor and being offensive, but we've yet to find it. Though many of us personally are not offended by dark humor, please do not publicly post bigotry here. This is meant to be a safe place. If you are blatantly offensive, you will be banned. ",theres supposedly a line between dark humor and being offensive but weve yet to find it though many of us personally are not offended by dark humor please do not publicly post bigotry here this is meant to be a safe place if you are blatantly offensive you will be banned,English
178,Be Kind ❤️,be kind ️,non-Englsih
179,"There is only one rule.

Not ruling out the possibility that one day this unruly server might be rule-gulated, but that is not now nor is it anytime soon.",there is only one rule not ruling out the possibility that one day this unruly server might be rulegulated but that is not now nor is it anytime soon,English
180,"Be geeky, be kind",be geeky be kind,non-Englsih
181,Cite!,cite,non-Englsih
182,Black lives matter,black lives matter,non-Englsih
183,Trans rights are human rights,trans rights are human rights,English
184,Respect EVERYBODY!,respect everybody,English
185,This is a single user server.,this is a single user server,English
186," No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
187, No incitement of violence or promotion of violent ideologies ,no incitement of violence or promotion of violent ideologies,English
188," No harassment, dogpiling or doxxing of other users ",no harassment dogpiling or doxxing of other users,English
189, No content illegal in Switzerland ,no content illegal in switzerland,non-Englsih
190, Do not share intentionally false or misleading information ,do not share intentionally false or misleading information,English
191, Be excelent to each other ,be excelent to each other,English
192,Hlavně žádný homo!,hlavně žádný homo,non-Englsih
193,"Everyone is welcome here. But understand that this is an instance supporting a specific community and fandom. We are more then happy to welcome you in, but you are the one coming to us. Treat everyone with respect, and take the time to get to know the instance.",everyone is welcome here but understand that this is an instance supporting a specific community and fandom we are more then happy to welcome you in but you are the one coming to us treat everyone with respect and take the time to get to know the instance,English
194,All fan art should be posted with a link to the original artist. Official art from Studio Khara should be mark as such as well.,all fan art should be posted with a link to the original artist official art from studio khara should be mark as such as well,English
195,"All NSFW Content needs to be marked as such, especially visual content.",all nsfw content needs to be marked as such especially visual content,English
196,You must be either Stephen or Samantha Yeargin to have an account on this server.,you must be either stephen or samantha yeargin to have an account on this server,English
197,A great place to be a Sixie,a great place to be a sixie,English
198,This server is for Employees and Contractors of Amphora Research Systems and related companies. ,this server is for employees and contractors of amphora research systems and related companies,English
199,Don't be a dick,dont be a dick,English
200,Being far right means being a dick. ,being far right means being a dick,English
201,"When you post content, make sure you got the permission from the original creator, if it's not your own content. ",when you post content make sure you got the permission from the original creator if its not your own content,English
202,You must not post anything what is illegal in Germany. ,you must not post anything what is illegal in germany,English
203,"Behave yourself, all of you.. me... us",behave yourself all of you me us,English
204,Sei immer freundlich und höflich. Behandle andere mit Respekt.,sei immer freundlich und höflich behandle andere mit respekt,non-Englsih
205,"Belästige und beleidige niemanden und unterlasse persönliche Angriffe.Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.",belästige und beleidige niemanden und unterlasse persönliche angriffeweder allein noch als gruppe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen doxing wird als belästigung ausgelegt,non-Englsih
206,"Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet",die nutzung oder befürwortung von rassistischer sexistischer homophober transphober behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter sprache wird nicht geduldet,non-Englsih
207,Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht,nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht,non-Englsih
208,No illegal content.,no illegal content,non-Englsih
209,"No harassment, incitement of violence, promotion of violent ideologies, dogpiling, or doxxing of anyone.",no harassment incitement of violence promotion of violent ideologies dogpiling or doxxing of anyone,English
210,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, or other behavior of the kind.",no racism sexism homophobia transphobia xenophobia casteism or other behavior of the kind,English
211,Do not share intentionally false or misleading information. You have a responsibility to reasonably vet the content you share to ensure it meets this standard.,do not share intentionally false or misleading information you have a responsibility to reasonably vet the content you share to ensure it meets this standard,English
212,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
213,僕がルールだ！,僕がルールだ,non-Englsih
214,"Zero tolerance for hate or harassment, including transphobia, homophobia, racism, sexism, etc. ",zero tolerance for hate or harassment including transphobia homophobia racism sexism etc,English
215,"Keep discussions civil. Disagreements are natural, but bullying and harassment are not.",keep discussions civil disagreements are natural but bullying and harassment are not,English
216,Tag all NSFW content and use content warnings when discussing things that could be considered sensitive (use your best judgment).,tag all nsfw content and use content warnings when discussing things that could be considered sensitive use your best judgment,English
217,Remember to add alt text to your images please. Thank you! 😎,remember to add alt text to your images please thank you,English
218,Be nice to one another,be nice to one another,English
219,"Please be respectful of others. Age, gender, sexual orientation, gender identity, background, etc. are all _NOT_ reasons to be unpleasant.",please be respectful of others age gender sexual orientation gender identity background etc are all _not_ reasons to be unpleasant,English
220,"Everyone is encouraged to report inappropriate behaviour, which will be listened to, and action will always be taken. This action ranges from a warning, to a full ban. Moderation decisions will be made using the Paradox of Tolerance (https://en.wikipedia.org/wiki/Paradox_of_tolerance).",everyone is encouraged to report inappropriate behaviour which will be listened to and action will always be taken this action ranges from a warning to a full ban moderation decisions will be made using the paradox of tolerance httpsenwikipediaorgwikiparadox_of_tolerance,English
221,"Expect anything you post on scuttle.cloud to be public, including direct messages - that way you can never be surprised or embarrassed",expect anything you post on scuttlecloud to be public including direct messages that way you can never be surprised or embarrassed,English
222,"If you apply for an account on scuttle.cloud, and you've actually read the rules, please end your ""Why do you want to join?"" question with the phrase ""donkey balls""",if you apply for an account on scuttlecloud and youve actually read the rules please end your why do you want to join question with the phrase donkey balls,English
223,"No spam, no commercial advertising (you may occasional post personal listings), no threats of violence.",no spam no commercial advertising you may occasional post personal listings no threats of violence,English
224,"No illegal content - this server is hosted in Finland, but managed in the UK - meaning that the laws of _BOTH_ countries apply here",no illegal content this server is hosted in finland but managed in the uk meaning that the laws of _both_ countries apply here,English
225,"Your right to free speech does not automatically confer the right to be obnoxious. As such, expect to be challenged for such behaviour",your right to free speech does not automatically confer the right to be obnoxious as such expect to be challenged for such behaviour,English
226,Be nice to each other!,be nice to each other,English
227,"We treat other people with respect regardless of their gender, race and religion",we treat other people with respect regardless of their gender race and religion,English
228,"We use welcoming language and inclusive language towards our fellow human beings
",we use welcoming language and inclusive language towards our fellow human beings,English
229,"We refrain from trolling and using insulting/derogatory comments as well as personal attacks
 ",we refrain from trolling and using insultingderogatory comments as well as personal attacks,English
230," We don't publish other people's private information or reveal their identity
",we dont publish other peoples private information or reveal their identity,English
231,Respect everyone,respect everyone,English
232,Don't post unlawful things,dont post unlawful things,English
233,"Please flag explicit violence, pornography, pedophilia",please flag explicit violence pornography pedophilia,English
234,Don't question administration choices,dont question administration choices,non-Englsih
235,Please protect nudity with Content Warning and tag as #nsfw,please protect nudity with content warning and tag as nsfw,English
236,Mind the youth,mind the youth,English
237,,,Error
238,,,Error
239,,,Error
240,,,Error
241,,,Error
242,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
243,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
244,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
245,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
246,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
247,"El servidor de Mastodon solo estará disponible para los Administradores de Fincas Colegiados (AFC) registrados.
",el servidor de mastodon solo estará disponible para los administradores de fincas colegiados afc registrados,non-Englsih
248,"El uso del servidor está sujeto a cumplir con las leyes y normas aplicables en materia de protección de datos, derecho de autor, y cualquier otra regulación relevante.",el uso del servidor está sujeto a cumplir con las leyes y normas aplicables en materia de protección de datos derecho de autor y cualquier otra regulación relevante,non-Englsih
249,"Los usuarios deberán respetar las opiniones y creencias de los demás, evitando cualquier tipo de discriminación o acoso.",los usuarios deberán respetar las opiniones y creencias de los demás evitando cualquier tipo de discriminación o acoso,non-Englsih
250,El contenido compartido en el servidor debe ser apropiado y respetar los derechos de terceros. Cualquier contenido inapropiado será eliminado y el usuario será sancionado.,el contenido compartido en el servidor debe ser apropiado y respetar los derechos de terceros cualquier contenido inapropiado será eliminado y el usuario será sancionado,non-Englsih
251,"El uso de la plataforma para fines comerciales está estrictamente prohibido, a menos que sea previamente autorizado por los administradores del servidor.",el uso de la plataforma para fines comerciales está estrictamente prohibido a menos que sea previamente autorizado por los administradores del servidor,non-Englsih
252,Los usuarios deben mantener la confidencialidad de cualquier información privada o confidencial obtenida a través del uso del servidor.,los usuarios deben mantener la confidencialidad de cualquier información privada o confidencial obtenida a través del uso del servidor,non-Englsih
253,Los usuarios deben cumplir con las normas y regulaciones de la profesión.,los usuarios deben cumplir con las normas y regulaciones de la profesión,non-Englsih
254,Los administradores del servidor se reservan el derecho de revocar el acceso a cualquier usuario que no cumpla con estas normas de conducta.,los administradores del servidor se reservan el derecho de revocar el acceso a cualquier usuario que no cumpla con estas normas de conducta,non-Englsih
255,"Don’t be an asshole to anyone, even if they deserve it.",dont be an asshole to anyone even if they deserve it,English
256,Не являетесь профи в вопросе - держите мнение при себе если реально не пытаетесь разобраться. Религиозные (в том числе политические) войны закрыты.,не являетесь профи в вопросе держите мнение при себе если реально не пытаетесь разобраться религиозные в том числе политические войны закрыты,non-Englsih
257,"Никто никому ничего не должен. Везде. Особенно ""на халяву"".",никто никому ничего не должен везде особенно на халяву,non-Englsih
258,Негатива и за окном хватает. Хотите ныть - не сюда.,негатива и за окном хватает хотите ныть не сюда,non-Englsih
259,"Rules are flexible, because I'm the only user. That said, you won't find any ugly stuff on this server. ",rules are flexible because im the only user that said you wont find any ugly stuff on this server,English
260,"This is a single-user instance. That said, I try to avoid racism, sexism, classism, transphobia, homophobia, religious bigotry, nationalism, etc.",this is a singleuser instance that said i try to avoid racism sexism classism transphobia homophobia religious bigotry nationalism etc,English
261,You have to be an Araneum member in good standing,you have to be an araneum member in good standing,English
262,Be excellent to each other!,be excellent to each other,English
263,Be kind,be kind,non-Englsih
264,Don't be an asshole.,dont be an asshole,English
265,My intent is not to cause harm. When I do cause harm I will gratefully accept feedback and suggestions for correction. (I understand that I am not owed feedback.),my intent is not to cause harm when i do cause harm i will gratefully accept feedback and suggestions for correction i understand that i am not owed feedback,English
266,Beachte die Gesetze der Bundesrepublik Deutschland und des guten Umgangs zwischen Menschen,beachte die gesetze der bundesrepublik deutschland und des guten umgangs zwischen menschen,non-Englsih
267,"Insbesondere beleidige niemanden und verbreite, erstelle oder referenziere keine rechtswidrige Inhalte",insbesondere beleidige niemanden und verbreite erstelle oder referenziere keine rechtswidrige inhalte,non-Englsih
