,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
30,41,toot.berlin,Attempt collaboration before conflict.,attempt collaboration before conflict,English,attempt collaboration before conflict
31,42,toot.berlin,"Refrain from demeaning, discriminatory, or harassing behavior and speech.",refrain from demeaning discriminatory or harassing behavior and speech,English,refrain from demeaning discriminatory or harassing behavior and speech
32,43,toot.berlin,"Be mindful of your surroundings and of your fellow participants. Alert community leaders if you notice a dangerous situation, someone in distress, or violations of this Code of Conduct, even if they seem inconsequential.",be mindful of your surroundings and of your fellow participants alert community leaders if you notice a dangerous situation someone in distress or violations of this code of conduct even if they seem inconsequential,English,be mindful of your surroundings and of your fellow participants alert community leaders if you notice a dangerous situation someone in distress or violations of this code of conduct even if they seem inconsequential
33,60,mastodon.hk,"你發佈的內容屬於你，你需要為它們負責。
You own what you post and are responsible for it.",你發佈的內容屬於你你需要為它們負責 you own what you post and are responsible for it,English,你發佈的內容屬於你你需要為它們負責 you own what you post and are responsible for it
34,61,mastodon.hk,"請勿發佈惡意、傷害性、騷擾、歧視或非法的內容。

No malicious, abusive, harassment, discriminatory, violent or illegal content.",請勿發佈惡意傷害性騷擾歧視或非法的內容 no malicious abusive harassment discriminatory violent or illegal content,non-Englsih,Do not post maliciously harm sexual harassment discrimination or illegal content No Malicious Abusive Harassment Discriminatic Violent or Illegal Content
35,62,mastodon.hk,"我們不保證能長期在線，或者效能流暢。請緊記備份。

We cannot guarantee the availability or performance of this service.",我們不保證能長期在線或者效能流暢請緊記備份 we cannot guarantee the availability or performance of this service,English,我們不保證能長期在線或者效能流暢請緊記備份 we cannot guarantee the availability or performance of this service
36,63,mastodon.hk,"你的 IP 位址、活動時間、活動網址均有紀錄，以作維護本站服務用途。

Your IP address, time, request URL is logged on the server for maintenance purpose.",你的 ip 位址活動時間活動網址均有紀錄以作維護本站服務用途 your ip address time request url is logged on the server for maintenance purpose,English,你的 ip 位址活動時間活動網址均有紀錄以作維護本站服務用途 your ip address time request url is logged on the server for maintenance purpose
37,64,mastodon.hk,"伺服器守則可能會在未來進行修訂。

This server rule may be modified in the future.",伺服器守則可能會在未來進行修訂 this server rule may be modified in the future,English,伺服器守則可能會在未來進行修訂 this server rule may be modified in the future
38,65,xoxo.zone,"No harassment. For a detailed definition, refer to the XOXO Code of Conduct at xoxofest.com/conduct.",no harassment for a detailed definition refer to the xoxo code of conduct at xoxofestcomconduct,English,no harassment for a detailed definition refer to the xoxo code of conduct at xoxofestcomconduct
39,66,xoxo.zone,"No hate speech, including but not limited to sexist, racist, homophobic, and transphobic posts.",no hate speech including but not limited to sexist racist homophobic and transphobic posts,English,no hate speech including but not limited to sexist racist homophobic and transphobic posts
40,67,xoxo.zone,No illegal content or activity.,no illegal content or activity,English,no illegal content or activity
41,68,xoxo.zone,"Use content warnings for adult content, or posts that may be disturbing or triggering.",use content warnings for adult content or posts that may be disturbing or triggering,English,use content warnings for adult content or posts that may be disturbing or triggering
42,69,xoxo.zone,No sharing personal information about others without their consent.,no sharing personal information about others without their consent,English,no sharing personal information about others without their consent
43,70,xoxo.zone,No intentional sharing of false or misleading information.,no intentional sharing of false or misleading information,English,no intentional sharing of false or misleading information
44,71,xoxo.zone,"No spam. Self-promotion is welcome, sending mass unsolicited replies is not.",no spam selfpromotion is welcome sending mass unsolicited replies is not,English,no spam selfpromotion is welcome sending mass unsolicited replies is not
45,72,chitter.xyz,"This is a safe and welcoming community. Abusive or antisocial behaviour will not be tolerated.
",this is a safe and welcoming community abusive or antisocial behaviour will not be tolerated,English,this is a safe and welcoming community abusive or antisocial behaviour will not be tolerated
46,73,chitter.xyz,"In particular, no hate speech or bigotry, including dogwhistles (implicit but deliberate discrimination through coded language).
",in particular no hate speech or bigotry including dogwhistles implicit but deliberate discrimination through coded language,English,in particular no hate speech or bigotry including dogwhistles implicit but deliberate discrimination through coded language
47,74,chitter.xyz,No posting others' personal information or private exchanges without permission.,no posting others personal information or private exchanges without permission,English,no posting others personal information or private exchanges without permission
48,75,chitter.xyz,"Do not continue to engage a person, or incite others to do so, after they have requested otherwise.
",do not continue to engage a person or incite others to do so after they have requested otherwise,English,do not continue to engage a person or incite others to do so after they have requested otherwise
49,76,chitter.xyz,"No content that is illegal in the United Kingdom, Germany, or France. This includes ""grey area"" content such as sexualized, artistic depictions of minors.",no content that is illegal in the united kingdom germany or france this includes grey area content such as sexualized artistic depictions of minors,English,no content that is illegal in the united kingdom germany or france this includes grey area content such as sexualized artistic depictions of minors
50,77,chitter.xyz,"Sexual or sexually suggestive content must be tagged as such, with a clear content warning. Avatars and profile banners must be clean.
",sexual or sexually suggestive content must be tagged as such with a clear content warning avatars and profile banners must be clean,English,sexual or sexually suggestive content must be tagged as such with a clear content warning avatars and profile banners must be clean
51,78,chitter.xyz,"Same goes for artistic depictions of graphic violence or gore. Real pictures and recordings of gore and violence are generally not acceptable, you better have a really good reason. Shock value is not a good reason.
",same goes for artistic depictions of graphic violence or gore real pictures and recordings of gore and violence are generally not acceptable you better have a really good reason shock value is not a good reason,English,same goes for artistic depictions of graphic violence or gore real pictures and recordings of gore and violence are generally not acceptable you better have a really good reason shock value is not a good reason
52,79,chitter.xyz,"Bots are OK as long as they don't post to the public TL more than twice a day and don't interact with folks out of the blue. That means no followbots.
",bots are ok as long as they dont post to the public tl more than twice a day and dont interact with folks out of the blue that means no followbots,English,bots are ok as long as they dont post to the public tl more than twice a day and dont interact with folks out of the blue that means no followbots
53,80,chitter.xyz,"When in doubt about something you'd like to post, ask a mod. When in doubt about something you saw posted, report liberally.",when in doubt about something youd like to post ask a mod when in doubt about something you saw posted report liberally,English,when in doubt about something youd like to post ask a mod when in doubt about something you saw posted report liberally
54,81,chitter.xyz,We may take administrative action for reasons not listed here.,we may take administrative action for reasons not listed here,English,we may take administrative action for reasons not listed here
55,82,bonn.social,"Fühl Dich wie zu Hause in Bonn. Benimm Dich so, als könnten wir uns morgen wieder persönlich auf der Straße begegnen.",fühl dich wie zu hause in bonn benimm dich so als könnten wir uns morgen wieder persönlich auf der straße begegnen,non-Englsih,Feel like at home in Bonn behave as if we could meet each other personally on the street tomorrow
56,83,bonn.social,Als Nutzer*in von Bonn.social bist Du für Deine eigenen Inhalte verantwortlich.,als nutzerin von bonnsocial bist du für deine eigenen inhalte verantwortlich,non-Englsih,"As a user of BonnSocial, you are responsible for your own content"
57,84,bonn.social,Missbrauch kannst Du mit den Reporting-Tools oder unter email@bonn.digital melden. ,missbrauch kannst du mit den reportingtools oder unter emailbonndigital melden,non-Englsih,You can report abuse with the reporting tools or under email bonus
58,85,bonn.social,"Wir entwickeln die Regeln für diese Instanz so weiter, dass sich hier jeder wohlfühlen kann.",wir entwickeln die regeln für diese instanz so weiter dass sich hier jeder wohlfühlen kann,non-Englsih,We develop the rules for this instance so that everyone can feel comfortable here
59,86,tablegame.mstdn.cloud,このサーバーが設置されている日本の法律に従ってください,このサーバーが設置されている日本の法律に従ってください,non-Englsih,Follow the Japanese law where this server is installed
60,87,tablegame.mstdn.cloud,故意にこのサーバーや連合している他のサーバー、そしてそれぞれのユーザーに迷惑をかけないでください,故意にこのサーバーや連合している他のサーバーそしてそれぞれのユーザーに迷惑をかけないでください,non-Englsih,"Don't bother this server, other coalition servers, and each user"
61,88,oransns.com,人であることをバレてはいけない,人であることをバレてはいけない,non-Englsih,Don't be a person
62,89,oransns.com,あなたはbot、そうあなたはbotなのです,あなたはbotそうあなたはbotなのです,non-Englsih,You are bot so you are bot
63,90,tenforward.social,"No racism

",no racism,non-Englsih,no racism
64,91,tenforward.social,No sexism,no sexism,non-Englsih,no sexism
65,92,tenforward.social,No queerphobia,no queerphobia,non-Englsih,No queerphobia
66,93,tenforward.social,No fascists or fascist adjacents,no fascists or fascist adjacents,non-Englsih,no fascists or fascist adjacents
67,94,tenforward.social,No ableism,no ableism,non-Englsih,no ableism
68,95,otogamer.me,みんななかよく,みんななかよく,non-Englsih,Everyone is good
69,96,mikumikudance.cloud,日本国内の法律及び各自治体の条例を守ってください,日本国内の法律及び各自治体の条例を守ってください,non-Englsih,Please follow the laws of Japan and the regulations of each local government
70,97,mikumikudance.cloud,過度に露骨な性や暴力を表現した投稿はしないでください,過度に露骨な性や暴力を表現した投稿はしないでください,non-Englsih,Do not post that expresses excessively explicit gender and violence
71,98,mikumikudance.cloud,差別的な行為や誹謗中傷などは行わないでください,差別的な行為や誹謗中傷などは行わないでください,non-Englsih,Please do not do discriminatory acts or slander
72,99,mstdn.mx,NO SE ACEPTAN CUENTAS NI BOTS DE MARKETING,no se aceptan cuentas ni bots de marketing,non-Englsih,No accounts or marketing bots are accepted
73,100,mstdn.mx,"NO PORN (de ningún tipo: soft, loli, etc.)",no porn de ningún tipo soft loli etc,non-Englsih,Not porn of any soft loli etc
74,101,mstdn.mx,"NO Discriminación (raza, género, preferencia, identidad, clase, etc.)",no discriminación raza género preferencia identidad clase etc,non-Englsih,NO DISCRIMINATION GENDER GENDER PREFERENCE CLASS ETC etc.
75,102,mstdn.mx,"No se acepta propaganda política, de ningún tipo, de ninguna persona, de ningún país",no se acepta propaganda política de ningún tipo de ninguna persona de ningún país,non-Englsih,No political propaganda of any type of any country is accepted
76,103,mstdn.mx,"NO SPAM (usar la cuenta solo para anunciar productos/servicios, crossposting, postear imágenes y/o texto indiscriminadamente, etc...)",no spam usar la cuenta solo para anunciar productosservicios crossposting postear imágenes yo texto indiscriminadamente etc,non-Englsih,Do not spam Use the account just to announce products CrossPosting Services posting images indiscriminately etc.
77,104,mstdn.mx,"Toda expresión de odio, acoso o ataque personal está prohibido.",toda expresión de odio acoso o ataque personal está prohibido,non-Englsih,Any expression of hate harassment or personal attack is prohibited
78,105,mstdn.mx,Todo tema controversial (como política) debe publicarse con un Content Warning (CW),todo tema controversial como política debe publicarse con un content warning cw,non-Englsih,Any controversial issue as a policy must be published with a content warning cw
79,106,mastodon.uy,No difusión de contenido/actividad ilegales en Uruguay,no difusión de contenidoactividad ilegales en uruguay,non-Englsih,NO DISSEMINATION OF CONTENT illegal activity in Uruguay
80,107,mastodon.uy,"No contenido con pedofília, acoso, doxxing o violencia explícita...",no contenido con pedofília acoso doxxing o violencia explícita,non-Englsih,Not contained with pedophilia doxxing or explicit violence
81,108,mastodon.uy,"No discriminación, homofobia, xenofobia, sexismo, discurso de odio...",no discriminación homofobia xenofobia sexismo discurso de odio,non-Englsih,non -discrimination homophobia xenophobia sexism hate speech
82,109,mastodon.uy,"No contenido o apología a la violencia, fascismo o nazismo",no contenido o apología a la violencia fascismo o nazismo,non-Englsih,No contained or apology to violence fascism or Nazism
83,110,mastodon.uy,"No inundar visualmente, ni bots ni cuentas con fines de marketing",no inundar visualmente ni bots ni cuentas con fines de marketing,non-Englsih,Do not flood visually or bots or accounts for marketing purposes
84,111,mastodon.uy,No publicaciones sexualmente explícitas sin advertencia de contenido,no publicaciones sexualmente explícitas sin advertencia de contenido,non-Englsih,No sexually explicit publications without content warning
85,112,mastodon.pl,"Nie używaj rasistowskich, seksistowskich, homofobicznych, transfobicznych, ableistycznych lub w inny sposób dyskryminujących innych ludzi wypowiedzi. Unikaj języka nienawiści. Nie promuj nienawistnych ideologii.",nie używaj rasistowskich seksistowskich homofobicznych transfobicznych ableistycznych lub w inny sposób dyskryminujących innych ludzi wypowiedzi unikaj języka nienawiści nie promuj nienawistnych ideologii,non-Englsih,"Do not use racist sexist homophobic transphobic ableistic or otherwise discriminating against other people, avoid hate language, do not promote hateful ideologies"
86,113,mastodon.pl,Nie wolno nękać ani uczestniczyć w grupowym nękaniu kogokolwiek lub w inny sposób angażować się w ataki osobiste. Publikowanie lub grożenie publikacją danych osobowych innych osób jest traktowane jako nękanie.,nie wolno nękać ani uczestniczyć w grupowym nękaniu kogokolwiek lub w inny sposób angażować się w ataki osobiste publikowanie lub grożenie publikacją danych osobowych innych osób jest traktowane jako nękanie,non-Englsih,"You must not harass or participate in a group harassment of anyone or in a different way to get involved in personal attacks, publishing or threatening the publication of personal data of other people is treated as harassment"
87,114,mastodon.pl,"Pisanie postów za pomocą automatycznego narzędzia jest w porządku, o ile jesteś aktywnym członkiem społeczności. Nie lubimy kont, których aktywność sprowadza się jedynie do automatycznej publikacji postów.",pisanie postów za pomocą automatycznego narzędzia jest w porządku o ile jesteś aktywnym członkiem społeczności nie lubimy kont których aktywność sprowadza się jedynie do automatycznej publikacji postów,non-Englsih,"Writing posts with the help of an automatic tool is fine if you are an active member of the community, we do not like accounts whose activity only boils down to the automatic publication of posts"
88,115,mastodon.pl,"Nie zamieszczaj spamu. Tooty (posty), które nie są niczym innym niż linkiem i/lub zawierają nadmierną ilość hashtagów możemy potraktować jako spam, podobnie jak każdą nadmiernie komercyjną autopromocję. Pisz o swojej działalności, ale nie rób tego w przesadnie komercyjny sposób.",nie zamieszczaj spamu tooty posty które nie są niczym innym niż linkiem ilub zawierają nadmierną ilość hashtagów możemy potraktować jako spam podobnie jak każdą nadmiernie komercyjną autopromocję pisz o swojej działalności ale nie rób tego w przesadnie komercyjny sposób,non-Englsih,"Do not post spam toota posts that are nothing other than the Ilub link contain excessive number of hashtags, we can treat as spam, like any excessive commercial self -promotion, write about your activities but do not do it in an excessively commercial way"
89,116,mastodon.pl,Unikaj publikacji postów na tematy zapalne i kontrowersyjne bez ostrzeżenia o takiej treści. Mastodon ma narzędzie do oznaczania takich postów więc korzystaj z niego jeśli publikowana treść może być kontrowersyjna dla niektórych odbiorców.,unikaj publikacji postów na tematy zapalne i kontrowersyjne bez ostrzeżenia o takiej treści mastodon ma narzędzie do oznaczania takich postów więc korzystaj z niego jeśli publikowana treść może być kontrowersyjna dla niektórych odbiorców,non-Englsih,Avoid publishing posts on inflammatory and controversial topics without warning with this content Mastodon has a tool for marking such posts so use it if the published content may be controversial for some recipients
90,117,mastodon.pl,"Staraj się nie angażować w wyzwiska, nieprzyjemne epitety, ataki ad hominem ani inne niegodne zachowania. Krytykuj idee, niekoniecznie ludzi.",staraj się nie angażować w wyzwiska nieprzyjemne epitety ataki ad hominem ani inne niegodne zachowania krytykuj idee niekoniecznie ludzi,non-Englsih,Try not to engage in insults unpleasant epithets Ad hominus attacks or other unworthy behaviors criticize the ideas of not necessarily people
91,118,mastodon.pl,"Nie stawaj w roli policjanta. Wpis może naruszać standardy grzeczności, które ustaliliśmy, ale postaraj się nie krytykować użytkowników za jego sposób czy ton komunikacji. Nie angażuj sie w to. Jeśli w jakiś sposób dana Ci przeszkadza możesz użytkownika zgłosić lub nie krępuj się go zablokować :)",nie stawaj w roli policjanta wpis może naruszać standardy grzeczności które ustaliliśmy ale postaraj się nie krytykować użytkowników za jego sposób czy ton komunikacji nie angażuj sie w to jeśli w jakiś sposób dana ci przeszkadza możesz użytkownika zgłosić lub nie krępuj się go zablokować,non-Englsih,"Do not stand as a policeman, the entry may violate the standards of the courtesy we have determined but try not to criticize users for his way or tonnes of communication, do not engage in it if you have somehow bother you, you can report or not block it"
92,119,mastodon.pl,"Mastodon.pl to instancja dla polskiej społeczności stąd taka domena i nazwa ""Mastodon Polska"". Staraj się pisać w naszym ojczystym języku. Dopuszczamy język angielski, ale umówmy się, niech to nie będzie język dominujący i jedyny w Twoich postach.",mastodonpl to instancja dla polskiej społeczności stąd taka domena i nazwa mastodon polska staraj się pisać w naszym ojczystym języku dopuszczamy język angielski ale umówmy się niech to nie będzie język dominujący i jedyny w twoich postach,non-Englsih,"Mastodonpl is an instance for the Polish community, hence such a domain and name Mastodon Polska Try to write in our native language we allow English but let's agree, let it not be a dominant language and the only one in your posts"
93,120,mstdn-bike.net,日本国内法は守ってください,日本国内法は守ってください,non-Englsih,Please protect Japanese domestic law
94,121,mstdn-bike.net,露骨な性表現や暴力的なメディアの禁止,露骨な性表現や暴力的なメディアの禁止,non-Englsih,Extremely sexual expression and violent media prohibition
95,122,mstdn-bike.net,差別行為・暴力行為を行わないこと,差別行為暴力行為を行わないこと,non-Englsih,Do not perform violence
96,123,mstdn-bike.net,他のユーザーに対する嫌がらせ行為の禁止,他のユーザーに対する嫌がらせ行為の禁止,non-Englsih,Prohibition of harassment acts on other users
97,124,mastodon.mit.edu,"The safety of yourself, of others, and of property should have highest priority.",the safety of yourself of others and of property should have highest priority,English,the safety of yourself of others and of property should have highest priority
98,125,mastodon.mit.edu,Safety is more important than getting boosts and faves.,safety is more important than getting boosts and faves,English,safety is more important than getting boosts and faves
99,126,mastodon.mit.edu,Be subtle: leave no evidence you were here.,be subtle leave no evidence you were here,English,be subtle leave no evidence you were here
100,127,mastodon.mit.edu,Brute force is the last resort of the incompetent.,brute force is the last resort of the incompetent,English,brute force is the last resort of the incompetent
101,128,mastodon.mit.edu,"Leave things as you found them or better. Cause no permanent damage while on this instance. If you find something broken, contact an admin.",leave things as you found them or better cause no permanent damage while on this instance if you find something broken contact an admin,English,leave things as you found them or better cause no permanent damage while on this instance if you find something broken contact an admin
102,129,mastodon.mit.edu,"Do not steal anything; if you must borrow something, leave a note saying when it will be returned and remember to return it.",do not steal anything if you must borrow something leave a note saying when it will be returned and remember to return it,English,do not steal anything if you must borrow something leave a note saying when it will be returned and remember to return it
103,130,mastodon.mit.edu,Do not drop things without a ground crew to make sure no one is underneath.,do not drop things without a ground crew to make sure no one is underneath,English,do not drop things without a ground crew to make sure no one is underneath
104,131,mastodon.mit.edu,Shitposts are not graffiti and should not be seen by the general public. Shitposts exhibit one's pride in having had an interesting thought and should be seen only by other fedizens. Keep shitposts small and respect other posters' shitposts.,shitposts are not graffiti and should not be seen by the general public shitposts exhibit ones pride in having had an interesting thought and should be seen only by other fedizens keep shitposts small and respect other posters shitposts,English,shitposts are not graffiti and should not be seen by the general public shitposts exhibit ones pride in having had an interesting thought and should be seen only by other fedizens keep shitposts small and respect other posters shitposts
105,132,mastodon.mit.edu,Never drink and post.,never drink and post,non-Englsih,never drink and post
106,133,mastodon.mit.edu,Never post alone. Have someone who can get help in an emergency.,never post alone have someone who can get help in an emergency,English,never post alone have someone who can get help in an emergency
107,134,mastodon.mit.edu,"Know your limitations and do not exceed them. If you do not know how to boost a post, send a DM, etc., then learn from someone who knows before trying.",know your limitations and do not exceed them if you do not know how to boost a post send a dm etc then learn from someone who knows before trying,English,know your limitations and do not exceed them if you do not know how to boost a post send a dm etc then learn from someone who knows before trying
108,135,mastodon.mit.edu,"Learn how not to get caught, but if you do get caught, accept gracefully and coöperate fully.",learn how not to get caught but if you do get caught accept gracefully and coöperate fully,English,learn how not to get caught but if you do get caught accept gracefully and coöperate fully
109,136,mastodon.mit.edu,Share your knowledge and experience with other posters.,share your knowledge and experience with other posters,English,share your knowledge and experience with other posters
110,137,mastodon.mit.edu,"Above all, exercise common sense.",above all exercise common sense,non-Englsih,above all exercise common sense
111,138,toot.blue,●テーマは設けていません。自由に投稿してください。,テーマは設けていません自由に投稿してください,non-Englsih,"There is no theme, please post freely"
112,139,toot.blue,"●エログロやSPAM、過度の連投や，自動大量フォロー、個人情報の書き込みの他、法に抵触する可能性のある投稿があった場合には、管理人の判断で予告なく消去する場合、アカウントの停止を行う場合があります。また、成人向画像については、たとえ画像にNSFWの処置があっても、管理人の判断で予告なく消去する場合、アカウントの停止を行う場合があります。 
",エログロやspam過度の連投や自動大量フォロー個人情報の書き込みの他法に抵触する可能性のある投稿があった場合には管理人の判断で予告なく消去する場合アカウントの停止を行う場合がありますまた成人向画像についてはたとえ画像にnsfwの処置があっても管理人の判断で予告なく消去する場合アカウントの停止を行う場合があります,non-Englsih,"If there is a post that may conflict with other methods of writing erogros, SPAM excessive pitching, and personal information writing of personal information, the account may be stopped if the manager is deleted without notice at the manager's discretion.For adult -oriented images, even if the image is treated with NSFW, the account may be suspended if the caretaker is deleted without notice at the discretion of the manager."
113,140,toot.blue,●人種差別、外国人差別、民族差別、性差別、LGBTQ+差別などの差別発言やヘイト発言、またそうした差別につながる可能性のある発言も厳禁です。 ,人種差別外国人差別民族差別性差別lgbtq差別などの差別発言やヘイト発言またそうした差別につながる可能性のある発言も厳禁です,non-Englsih,"Racist discrimination ethnic discrimination discrimination discrimination, such as discrimination, and hate remarks, and remarks that may lead to such discrimination are also strictly prohibited."
114,141,toot.blue,●小児性愛など性的な同意をすることができない対象に対する性的欲求の発露・表現（画像・テキストの掲示）を行うことを禁止します。社会的な話題として小児性愛について扱うときには内面で幼児・小児を対象とした性愛・性的嗜好を持つ「ペドフィリア」と、違法行為を実行する児童性虐待者「チャイルド・マレスター」を混同せず、区別して論じてください。,小児性愛など性的な同意をすることができない対象に対する性的欲求の発露表現画像テキストの掲示を行うことを禁止します社会的な話題として小児性愛について扱うときには内面で幼児小児を対象とした性愛性的嗜好を持つペドフィリアと違法行為を実行する児童性虐待者チャイルドマレスターを混同せず区別して論じてください,non-Englsih,"Prohibition of posting indexed expression image textbooks for sexual desire for objects that cannot be sexually consent, such as pediatricityDiscuss the childhood abuse that performs illegal acts with sexual preferences and childhood abuser Child Marestar."
115,142,toot.blue,●その他　規約に明確に規定されていなくても、管理者の判断で不適切と判断した場合、投稿に関する削除・停止・修正要請を行う場合や、アカウントの制限・停止・削除を行う場合があります。,その他 規約に明確に規定されていなくても管理者の判断で不適切と判断した場合投稿に関する削除停止修正要請を行う場合やアカウントの制限停止削除を行う場合があります,non-Englsih,"In addition, even if it is not clearly stipulated in the rules, if it is determined that it is inappropriate by the administrator's judgment, it may be requested to be deleted for posting or deleting an account stopped."
116,143,moe.cat,Please be open to any user or any content that hold different opinions with you,please be open to any user or any content that hold different opinions with you,English,please be open to any user or any content that hold different opinions with you
117,144,moe.cat,"Any content that introduces or instigates criminal offenses or introducing others to approach incite violence, or any terrorism content, or personal attacks towards other users, are prohibited",any content that introduces or instigates criminal offenses or introducing others to approach incite violence or any terrorism content or personal attacks towards other users are prohibited,English,any content that introduces or instigates criminal offenses or introducing others to approach incite violence or any terrorism content or personal attacks towards other users are prohibited
118,145,moe.cat,"Any content that introduces or instigates suicide, sales or provides lethal substances, anti-personnel weapons, and methods of making them, which may endanger the personal safety of other users, are prohibited",any content that introduces or instigates suicide sales or provides lethal substances antipersonnel weapons and methods of making them which may endanger the personal safety of other users are prohibited,English,any content that introduces or instigates suicide sales or provides lethal substances antipersonnel weapons and methods of making them which may endanger the personal safety of other users are prohibited
